num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
256999,2012,Hyundai,Genesis Coupe,2.0T,Genesis Coupe,automatic,kmhht6kd5cu074049,fl,3.8,23868.0,black,black,hyundai motor finance,15450,16500,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
257000,2012,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae9ch132001,fl,3.7,32007.0,gray,gray,hyundai motor finance,10650,10600,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
257001,2012,Hyundai,Genesis Coupe,3.8 Track,Genesis Coupe,automatic,kmhhu6kh5cu079400,fl,4.2,35590.0,silver,black,hyundai motor finance,16450,17900,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
257002,2012,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4aexcu389976,mn,4.5,29948.0,gray,gray,hyundai motor finance,10750,11300,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
257003,2012,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4dd7cu198756,fl,3.9,39295.0,black,black,hyundai motor finance,17900,21000,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
257004,2012,Hyundai,Elantra,GLS,Sedan,manual,kmhdh4ae9cu294745,oh,2.7,32616.0,gray,gray,meridian remarketing,10650,9100,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
257005,2012,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4ae1cu361600,mn,3.8,32037.0,red,tan,hyundai motor finance,10650,10700,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
257006,2012,Hyundai,Accent,GLS,Sedan,automatic,kmhcu4ae9cu125171,fl,3.5,22904.0,red,beige,hyundai motor finance,8950,9200,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
257007,2012,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4aexcu331141,mn,4.2,35235.0,red,tan,hyundai motor finance,10500,10900,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
257008,2012,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4dd2cu198387,fl,3.9,37222.0,black,black,hyundai motor finance,17800,18000,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
257009,2012,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4aexcu355939,fl,4.0,62189.0,gray,gray,hyundai motor finance,9275,9500,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
257010,2012,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4aexcu401561,fl,3.5,26485.0,red,beige,hyundai motor finance,10850,10800,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
257011,2012,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4dd9cu188777,fl,3.5,69433.0,red,gold,the hertz corporation,13600,13900,Thu Feb 26 2015 01:15:00 GMT-0800 (PST)
257012,2012,Hyundai,Elantra,Limited,Sedan,automatic,kmhdh4ae9cu370674,mn,3.6,42353.0,black,black,hyundai motor finance,11900,12100,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
257013,2012,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4dd6cu171953,fl,4.2,32001.0,white,beige,hyundai motor finance,18950,22000,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
257014,2012,Hyundai,Elantra Touring,GLS,Hatchback,automatic,kmhdc8ae0cu150118,fl,4.3,9197.0,gray,black,hyundai motor finance,10950,12100,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
257015,2012,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4ae3cu334138,mn,4.3,42406.0,gray,gray,hyundai motor finance,10150,10900,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
257016,2012,Hyundai,Elantra,Limited,Sedan,automatic,kmhdh4ae9cu224517,mn,1.9,45257.0,silver,black,hyundai motor finance,11750,9500,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
257017,2012,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae0ch142187,fl,4.2,22190.0,black,beige,hyundai motor finance,11150,11700,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
257018,2012,Hyundai,Elantra,Limited,Sedan,automatic,kmhdh4ae5cu316918,fl,4.2,51376.0,gray,gray,hyundai motor finance,11500,11700,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
257019,2012,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae2ch148508,nc,4.3,31563.0,off-white,tan,primeritus remarketing/aas,10600,11100,Mon Feb 09 2015 01:30:00 GMT-0800 (PST)
257020,2012,Hyundai,Sonata,Limited,Sedan,automatic,5npec4ac3ch477624,mn,4.3,40583.0,silver,gray,hyundai motor finance,15100,15200,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
257021,2012,Hyundai,Sonata,SE,Sedan,automatic,5npec4ac5ch416906,fl,4.3,22933.0,—,gray,hyundai motor finance,14200,14100,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
257022,2012,Hyundai,Sonata,GLS PZEV,Sedan,automatic,5npeb4ac6ch325310,tx,4.3,40686.0,gray,gray,woodhouse sioux city inc,13200,12500,Thu Feb 19 2015 03:00:00 GMT-0800 (PST)
257023,2012,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac8ch497774,mn,4.4,41003.0,white,tan,hyundai motor finance,11350,11600,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
257024,2012,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4acxch447149,mn,3.7,20955.0,black,gray,hyundai motor finance,12400,13000,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
257025,2012,Hyundai,Sonata,SE,Sedan,automatic,5npec4ab9ch397574,mn,4.3,36626.0,red,gray,hyundai motor finance,13350,14000,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
257026,2012,Hyundai,Sonata,Limited,Sedan,automatic,5npec4ac5ch433558,mn,4.5,41143.0,white,beige,hyundai motor finance,15050,15200,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
257027,2012,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac5ch443851,mn,4.4,34320.0,gray,gray,hyundai motor finance,11700,12300,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
257028,2012,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac9ch435851,fl,4.3,19206.0,red,beige,hyundai motor finance,12450,12700,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
257029,2012,Hyundai,Sonata,SE,Sedan,automatic,5npec4ac2ch443156,mn,4.7,25421.0,black,black,hyundai motor finance,14050,13700,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
257030,2012,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac0ch407212,mn,4.1,34582.0,silver,gray,hyundai motor finance,11700,11200,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
257031,2012,Hyundai,Sonata,Limited,Sedan,automatic,5npec4ac5ch435231,fl,4.3,34365.0,gray,gray,hyundai motor finance,15450,15900,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
257032,2012,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac4ch412879,fl,3.8,21902.0,gray,black,hyundai motor finance,12300,12600,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
257033,2012,Hyundai,Sonata,SE,Sedan,automatic,5npec4ab0ch428274,mn,3.6,37764.0,blue,gray,hyundai motor finance,13250,13800,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
257034,2012,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac7ch453958,fl,2.8,27071.0,black,beige,hyundai motor finance,12000,10700,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
257035,2012,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac4ch432582,ca,3.9,34687.0,white,tan,hyundai motor finance,11600,12750,Tue Feb 10 2015 04:30:00 GMT-0800 (PST)
257036,2012,Hyundai,Sonata,GLS,Sedan,manual,5npeb4ac2ch389831,fl,3.4,71289.0,silver,gray,hyundai motor finance,9700,8400,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
