num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
259999,2006,Mazda,Mazda3,s,Hatchback,automatic,jm1bk143761417843,fl,1.9,86676.0,white,black,napletons north palm auto park inc,5250,2100,Thu Feb 05 2015 02:05:00 GMT-0800 (PST)
260000,2006,Lexus,IS 250,Base,Sedan,automatic,jthbk262965005568,ga,3.8,95811.0,blue,black,mercedes benz of buckhead,9775,10500,Thu Feb 05 2015 01:00:00 GMT-0800 (PST)
260001,2006,Mercedes-Benz,C-Class,C230 Sport,Sedan,automatic,wdbrf52h86a898631,ca,3.1,90602.0,black,black,premium auto wholesale,6675,6500,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
260002,2006,Lexus,IS 250,Base,Sedan,automatic,jthbk262865009305,ga,2.9,86781.0,gray,beige,tds auto brokers,10100,10600,Thu Feb 05 2015 02:00:00 GMT-0800 (PST)
260003,2006,Lincoln,LS,Sport,Sedan,automatic,1lnfm87a16y624083,fl,1.9,49521.0,gray,beige,gm financial,4675,2500,Wed Feb 11 2015 01:15:00 GMT-0800 (PST)
260004,2006,Mercedes-Benz,E-Class,E350 4MATIC,Sedan,manual,wdbuf87j06x186876,pa,3.6,124514.0,gray,black,r hollenshead auto sales inc,6650,6300,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
260005,2006,Nissan,Altima,2.5 S,Sedan,automatic,1n4al11d96c102851,nc,1.9,196195.0,black,gray,dt inventory,2525,1700,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
260006,2006,Mercedes-Benz,E-Class,E350 4MATIC,Sedan,automatic,wdbuf87j06x208164,pa,4.4,106481.0,silver,—,kly international llc,7550,7400,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
260007,2006,Mitsubishi,Endeavor,Limited,SUV,automatic,4a4mm41s36e054491,fl,4.2,116187.0,white,black,credit acceptance corp/vrs/southfield,3975,3700,Tue Feb 10 2015 02:35:00 GMT-0800 (PST)
260008,2006,Mercury,Milan,Base,Sedan,automatic,3mefm07z96r607069,va,1.9,76701.0,white,brown,fiserv/dealer funding llc,4000,1200,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
260009,2006,Nissan,Altima,2.5 S,Sedan,automatic,1n4al11d06c154093,fl,1.9,155847.0,red,black,credit acceptance corp/vrs/southfield,3275,1850,Tue Feb 10 2015 02:35:00 GMT-0800 (PST)
260010,2006,Mercedes-Benz,E-Class,E350 4MATIC,Sedan,automatic,wdbuf87j86x200975,ga,2.5,138590.0,black,beige,mercedes benz of buckhead,5900,6200,Thu Feb 05 2015 01:00:00 GMT-0800 (PST)
260011,2006,Nissan,Altima,2.5,Sedan,automatic,1n4al11d46c112770,tn,2.0,160355.0,—,black,santander consumer,2725,2400,Tue Feb 10 2015 02:00:00 GMT-0800 (PST)
260012,2006,Mercedes-Benz,M-Class,ML350,SUV,automatic,4jgbb86e66a003827,ga,3.6,141209.0,gray,gray,carworks inc,8050,7800,Thu Feb 05 2015 02:00:00 GMT-0800 (PST)
260013,2006,Nissan,Altima,3.5 SE,Sedan,automatic,1n4bl11dx6c202042,fl,1.6,57280.0,gray,black,gm financial,4700,6200,Wed Feb 11 2015 01:15:00 GMT-0800 (PST)
