num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
260999,2001,Isuzu,Rodeo,LSE,SUV,automatic,4s2ck58w914300647,ga,1.9,89571.0,gray,gray,tdaf remarketing,1275,2200,Thu Feb 05 2015 02:00:00 GMT-0800 (PST)
261000,2001,Honda,Odyssey,LX,Minivan,automatic,2hkrl18541h513518,nj,2.2,204999.0,gray,gray,autolenders liquidation center,1000,500,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
261001,2001,Honda,Accord,EX V-6,Sedan,automatic,1hgcg165x1a049303,oh,1.0,208722.0,black,gray,select remarketing group llc/loan max title,1400,600,Tue Feb 10 2015 05:00:00 GMT-0800 (PST)
261002,2001,Hyundai,Elantra,GLS,Sedan,automatic,kmhdn45d71u182517,fl,1.9,132857.0,black,gray,courtesy hyundai,1075,500,Thu Feb 05 2015 08:20:00 GMT-0800 (PST)
261003,2001,Ford,Taurus,SES,Sedan,automatic,1fafp55u01a107534,pa,2.0,186705.0,beige,tan,purple heart,650,375,Tue Feb 10 2015 05:01:00 GMT-0800 (PST)
261004,2001,Honda,Odyssey,EX,Minivan,automatic,2hkrl18601h534360,fl,2.4,169586.0,silver,—,courtesy toyota of brandon,1625,2000,Thu Feb 05 2015 08:20:00 GMT-0800 (PST)
261005,2001,Ford,Windstar,LX,Minivan,automatic,2fmza51491bb77063,tn,1.0,163127.0,silver,—,titlemax/clarksville tn1,725,600,Tue Feb 10 2015 02:00:00 GMT-0800 (PST)
261006,2001,Mercedes-Benz,M-Class,ML320,SUV,automatic,4jgab54e31a252513,ca,1.9,130130.0,gray,gray,california fleet inc,2375,2600,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
261007,2001,Mazda,Tribute,LX-V6,SUV,automatic,4f2yu09151km11015,mo,1.9,176585.0,green,tan,eldorado motors,1650,1100,Mon Feb 09 2015 03:00:00 GMT-0800 (PST)
261008,2001,Mercedes-Benz,C-Class,C240,Sedan,automatic,wdbrf61j61f072561,fl,2.8,168576.0,white,tan,david j leahy jr,2350,2700,Thu Feb 12 2015 08:00:00 GMT-0800 (PST)
261009,2001,Nissan,Quest,GXE,Minivan,automatic,4n2zn15t21d814272,nc,2.8,123336.0,silver,gray,peoples credit company inc,1550,1500,Mon Feb 09 2015 00:31:00 GMT-0800 (PST)
261010,2001,Mercedes-Benz,C-Class,C320,Sedan,automatic,wdbrf64j41f071811,va,3.5,95958.0,blue,gray,sullivan auto trading inc,3150,4800,Thu Feb 12 2015 01:35:00 GMT-0800 (PST)
261011,2001,Nissan,Sentra,SE,Sedan,automatic,3n1bb51d61l112018,ma,1.9,152185.0,gray,gray,boch honda west,1275,1100,Thu Feb 05 2015 10:30:00 GMT-0800 (PST)
261012,2001,Mitsubishi,Eclipse,GT,Hatchback,manual,4a3ac84h61e084286,or,1.9,62989.0,white,gray,remarketing by ge/linn co federal credit union,2100,3800,Tue Feb 10 2015 04:00:00 GMT-0800 (PST)
261013,2001,Nissan,Pathfinder,SE,SUV,automatic,jn8dr07x81w500985,fl,2.3,178539.0,gold,tan,credit acceptance corp/vrs/southfield,2075,2150,Tue Feb 10 2015 02:35:00 GMT-0800 (PST)
261014,2001,Lexus,LS 430,Base,Sedan,automatic,jthbn30fx10027626,az,2.8,146021.0,silver,black,earnhardt,5850,6000,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
