num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
262999,2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae4dh334102,mn,4.7,39978.0,gold,beige,avis corporation,11100,11100,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
263000,2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae2dh271470,co,4.1,51246.0,brown,tan,avis corporation,10450,10500,Wed Feb 11 2015 03:45:00 GMT-0800 (PST)
263001,2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4aexdh247451,co,3.7,53685.0,brown,tan,avis corporation,10350,10300,Wed Feb 11 2015 03:45:00 GMT-0800 (PST)
263002,2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae5dh414704,fl,3.5,25937.0,silver,gray,merchants leasing,11800,11600,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
263003,2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae8dh287575,mn,4.4,26897.0,—,gray,hyundai motor finance,11800,11900,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
263004,2013,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4ae4du776203,mn,4.6,23701.0,gray,gray,hyundai motor finance,12000,12300,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
263005,2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae6dh413867,fl,3.5,23213.0,silver,gray,merchants leasing,11950,12400,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
263006,2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac4dh735184,ca,3.8,35315.0,white,beige,enterprise veh exchange/rental,12500,12900,Thu Feb 05 2015 03:30:00 GMT-0800 (PST)
263007,2013,Hyundai,Santa Fe,Sport,SUV,automatic,5xyzu3lb8dg022189,tx,4.5,25797.0,blue,gray,dick poe chrysler jeep,17450,18500,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
263008,2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac9dh757746,co,4.4,41577.0,white,tan,avis corporation,12100,12200,Wed Feb 11 2015 03:45:00 GMT-0800 (PST)
263009,2013,Hyundai,Sonata Hybrid,Base,Sedan,automatic,kmhec4a40da069627,co,3.9,40513.0,silver,gray,avis corporation,13250,13300,Wed Feb 11 2015 03:45:00 GMT-0800 (PST)
263010,2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac0dh692897,co,3.8,50567.0,silver,gray,avis corporation,11650,11600,Wed Feb 11 2015 03:45:00 GMT-0800 (PST)
263011,2013,Hyundai,Santa Fe,Sport,SUV,automatic,5xyztdlb1dg039814,co,3.8,52674.0,brown,brown,avis corporation,17400,17600,Wed Feb 18 2015 03:45:00 GMT-0800 (PST)
263012,2013,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4dd8du209393,ga,3.9,72014.0,gray,black,innovative auto llc,12850,13000,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
263013,2013,Hyundai,Santa Fe,Sport,SUV,automatic,5xyztdlb2dg031902,va,3.9,61711.0,blue,gray,sullivan auto trading inc,16450,15500,Thu Feb 05 2015 01:35:00 GMT-0800 (PST)
263014,2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac8dh568795,fl,4.9,10318.0,silver,gray,hyundai motor finance,13850,15000,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
263015,2013,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4dd0du236121,fl,4.7,12642.0,black,beige,hyundai motor finance,19300,24000,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
263016,2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac0dh751270,fl,4.0,12310.0,black,gray,hyundai motor finance,13700,14200,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
263017,2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac1dh516392,mn,3.5,21038.0,red,tan,hyundai motor finance,13250,12000,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
263018,2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac0dh711559,ca,3.6,38162.0,red,gray,enterprise veh exchange/rental,12350,12500,Thu Feb 05 2015 03:30:00 GMT-0800 (PST)
263019,2013,Hyundai,Santa Fe,GLS,SUV,automatic,km8sndhf1du028393,ga,4.2,8824.0,red,—,remarketing by ge/the credit union loan source,23300,25000,Thu Feb 05 2015 02:00:00 GMT-0800 (PST)
