num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
265999,2013,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk8du646807,oh,4.4,47115.0,red,tan,byers car rentals llc,13400,13100,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
266000,2013,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk2du663991,nj,3.6,61907.0,red,black,the hertz corporation,12450,12700,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
266001,2013,Scion,xB,Base,Wagon,automatic,jtlze4fexdj038813,ca,1.9,32493.0,blue,black,arrow auto sales,12800,11800,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
266002,2013,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk2du211152,mn,3.2,53150.0,black,gray,the hertz corporation,12950,12100,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
266003,2013,Subaru,Legacy,2.5i Premium,Sedan,automatic,4s3bmcb65d3038134,oh,4.1,41655.0,white,gray,byers car rentals llc,15150,15100,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
266004,2013,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk6du702047,fl,4.2,15105.0,blue,black,world omni financial corporation,16300,16300,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
266005,2013,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk8du227839,oh,4.1,55746.0,black,gray,toyota financial services/avis budget group-open,12800,12500,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
266006,2013,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk2du662131,oh,4.3,45079.0,black,gray,byers car rentals llc,13400,12800,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
266007,2013,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk2du227710,oh,3.9,52815.0,silver,gray,byers car rentals llc,12950,12400,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
266008,2013,Subaru,Impreza WRX,Base,Hatchback,manual,jf1gr7e60dg884826,ca,3.7,8081.0,blue,black,california fleet inc,22900,25000,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
266009,2013,Scion,tC,Base,Hatchback,manual,jtkjf5c74d3051863,ca,4.4,38078.0,white,black,skyhigh remarketing inc,13400,14800,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
266010,2013,smart,fortwo,pure coupe,Hatchback,automatic,wmeej3ba4dk596171,nj,4.9,33454.0,white,black,mercedes-benz financial services,8050,8200,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
266011,2013,Subaru,Outback,2.5i Premium,Wagon,automatic,4s4brcbc4d3256987,oh,4.1,40793.0,red,black,byers car rentals llc,19350,18900,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
266012,2015,BMW,X1,xDrive28i,SUV,automatic,wbavl1c52fvy32300,nj,4.8,13217.0,black,black,bmw north america greer,32800,32750,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266013,2015,BMW,5 Series,535i,Sedan,automatic,wba5b1c59fd919412,nj,5.0,5187.0,white,black,bmw north america greer,49300,48250,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266014,2015,Cadillac,Escalade,Premium,SUV,automatic,1gys4ckj8fr236866,co,4.5,12081.0,black,black,brac of salt lake city,76000,76000,Wed Feb 11 2015 04:00:00 GMT-0800 (PST)
266015,2015,BMW,5 Series,535i,Sedan,automatic,wba5b1c5xfd918558,nj,4.5,7192.0,white,black,bmw north america greer,48800,48500,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266016,2015,BMW,4 Series,435i,Coupe,automatic,wba3r1c56fk193099,nj,4.3,7823.0,gray,black,bmw north america greer,43500,43000,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266017,2015,BMW,X1,xDrive28i,SUV,automatic,wbavl1c5xfvy29449,nj,4.4,12972.0,brown,black,bmw north america greer,32900,31750,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266018,2015,BMW,4 Series,428i,Coupe,automatic,wba3n3c5xfk232283,nj,4.9,7061.0,gray,black,bmw north america greer,37400,37250,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266019,2015,BMW,X3,xDrive28i,SUV,automatic,5uxwx9c56f0d45979,ca,4.1,17288.0,black,black,sixt rent a car llc,30200,29000,Tue Mar 03 2015 04:45:00 GMT-0800 (PST)
266020,2015,BMW,X1,sDrive28i,SUV,automatic,wbavm1c53fvz94160,nj,5.0,5792.0,white,black,bmw north america greer,27700,27000,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266021,2015,BMW,X1,sDrive28i,SUV,automatic,wbavm1c53fv315407,nj,4.9,10173.0,black,black,bmw north america greer,26900,26500,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266022,2015,Buick,LaCrosse,Leather Group,Sedan,automatic,1g4gb5g38ff120491,fl,4.0,14864.0,white,beige,gm/enterprise vehicle exchange,23800,24800,Mon Feb 09 2015 05:00:00 GMT-0800 (PST)
266023,2015,BMW,5 Series,535i,Sedan,automatic,wba5b1c55fd919603,nj,5.0,5112.0,gray,—,bmw north america greer,49300,50000,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266024,2015,BMW,Z4,sDrive35i,Convertible,automatic,wbalm7c54fj798892,nj,4.4,7937.0,black,black,bmw north america greer,49000,36000,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266025,2015,BMW,X1,xDrive28i,SUV,automatic,wbavl1c54fvy29267,nj,4.9,8001.0,gray,beige,bmw north america greer,33700,33750,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266026,2015,BMW,5 Series,535i,Sedan,automatic,wba5b1c56fd918699,nj,4.3,4807.0,black,black,bmw north america greer,49400,48250,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266027,2015,BMW,X1,xDrive28i,SUV,automatic,wbavl1c51fvy29260,nj,5.0,8135.0,beige,black,bmw north america greer,33700,32750,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266028,2015,BMW,X1,xDrive28i,SUV,automatic,wbavl1c51fvy29128,nj,4.4,9640.0,—,black,bmw north america greer,33400,31500,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266029,2015,BMW,X1,xDrive28i,SUV,automatic,wbavl1c50fvy33199,nj,5.0,5608.0,white,black,bmw north america greer,34100,33750,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266030,2015,Buick,Enclave,Leather Group,SUV,automatic,5gakrbkd5fj105597,fl,4.0,13757.0,white,gray,gm/enterprise vehicle exchange,34800,34400,Mon Feb 09 2015 05:00:00 GMT-0800 (PST)
266031,2015,Buick,Enclave,Leather Group,SUV,automatic,5gakrbkd4fj120690,fl,4.0,14598.0,white,beige,enterprise veh exchange/rental,34600,33800,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
266032,2015,BMW,X1,xDrive28i,SUV,automatic,wbavl1c55fvy29150,nj,4.7,10456.0,black,black,bmw north america greer,33300,31750,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266033,2015,BMW,X3,xDrive28i,SUV,automatic,5uxwx9c56f0d46033,ca,3.6,18240.0,silver,black,sixt rent a car llc,30100,29000,Tue Mar 03 2015 04:45:00 GMT-0800 (PST)
266034,2015,BMW,4 Series,435i,Coupe,automatic,wba3r1c54fk193134,nj,4.3,5799.0,—,black,bmw north america greer,43900,41250,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266035,2015,BMW,X1,sDrive28i,SUV,automatic,wbavm1c53fv315410,nj,4.9,5077.0,blue,beige,bmw north america greer,27800,36200,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266036,2015,BMW,4 Series,435i,Coupe,automatic,wba3r1c52fk193701,nj,4.7,5230.0,gray,black,bmw north america greer,44100,46000,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266037,2015,BMW,X1,xDrive28i,SUV,automatic,wbavl1c56fvy29450,nj,4.9,9751.0,brown,black,bmw north america greer,33400,33250,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266038,2015,BMW,5 Series,535i,Sedan,automatic,wba5b1c5xfd919077,nj,4.9,5561.0,white,black,bmw north america greer,49200,49000,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266039,2015,BMW,X1,sDrive28i,SUV,automatic,wbavm1c56fvz94105,nj,4.6,6660.0,gray,black,bmw north america greer,27600,27250,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266040,2015,BMW,X3,xDrive28i,SUV,automatic,5uxwx9c54f0d46001,ca,4.2,18700.0,gray,black,sixt rent a car llc,31400,29800,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
266041,2015,BMW,X1,xDrive28i,SUV,automatic,wbavl1c57fvy29067,nj,4.6,10720.0,—,black,bmw north america greer,33200,31250,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266042,2015,BMW,X1,xDrive28i,SUV,automatic,wbavl1c50fvy27080,nj,5.0,4576.0,—,black,bmw na manheim new jersey,34300,36750,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266043,2015,BMW,X1,xDrive28i,SUV,automatic,wbavl1c53fvy32371,nj,5.0,6953.0,gray,black,bmw north america greer,33900,33750,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266044,2015,BMW,X1,xDrive28i,SUV,automatic,wbavl1c58fvy32396,nj,4.5,7560.0,black,black,bmw north america greer,33800,34000,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266045,2015,BMW,X3,xDrive28i,SUV,automatic,5uxwx9c56f0d45965,ca,3.5,15557.0,black,black,sixt rent a car llc,31400,30000,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
266046,2015,BMW,4 Series,428i,Coupe,automatic,wba3n3c57fk232306,nj,4.6,8356.0,white,black,bmw north america greer,37100,39500,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266047,2015,BMW,X1,xDrive28i,SUV,automatic,wbavl1c52fvy29154,nj,4.9,5858.0,—,beige,bmw north america greer,34000,31250,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266048,2015,Audi,A3,1.8 TFSI Premium,Sedan,automatic,wauacgff2f1001960,pa,4.6,5193.0,black,black,hbl llc,23700,24250,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
266049,2015,BMW,4 Series,435i,Coupe,automatic,wba3r1c52fk193648,nj,4.9,6836.0,black,black,bmw north america greer,43700,45750,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266050,2015,BMW,X3,xDrive28i,SUV,automatic,5uxwx9c58f0d46065,ca,4.2,19481.0,white,black,sixt rent a car llc,30700,30000,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
266051,2015,BMW,X1,sDrive28i,SUV,automatic,wbavm1c5xfvw57369,nj,4.3,14072.0,white,black,bmw north america greer,26200,26000,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266052,2015,BMW,Z4,sDrive28i,Convertible,manual,wball5c54fj997691,nj,4.6,5323.0,red,—,bmw na manheim new jersey,44000,45500,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266053,2015,BMW,X1,sDrive28i,SUV,automatic,wbavm1c57fv314745,nj,4.9,8258.0,brown,black,bmw north america greer,27300,29000,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266054,2015,BMW,X1,sDrive28i,SUV,automatic,wbavm1c5xfv314724,nj,5.0,5854.0,gray,black,bmw north america greer,27700,29500,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266055,2015,BMW,5 Series,535i,Sedan,automatic,wba5b1c56fd918587,nj,4.6,11878.0,gray,black,bmw north america greer,47500,46000,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266056,2015,BMW,Z4,sDrive35i,Convertible,automatic,wbalm7c56fj798909,nj,4.9,7080.0,—,black,bmw na manheim new jersey,49100,50500,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266057,2015,BMW,5 Series,535i,Sedan,automatic,wba5b1c50fd919007,nj,4.4,5188.0,gray,black,bmw north america greer,49300,48500,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266058,2015,BMW,X1,xDrive28i,SUV,automatic,wbavl1c55fvy32548,nj,4.9,5937.0,black,beige,bmw north america greer,34000,34250,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266059,2015,BMW,X1,sDrive28i,SUV,automatic,wbavm1c58fvw58665,nj,5.0,5542.0,black,beige,bmw north america greer,27800,28750,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
266060,2014,Chevrolet,Camaro,LT,Convertible,automatic,2g1fc3d37e9271098,fl,4.0,19188.0,red,black,gm remarketing,22900,24300,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
266061,2014,Chevrolet,Camaro,LS,Coupe,automatic,2g1fa1e39e9213938,tx,4.0,13770.0,red,black,santander consumer,18050,21100,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
266062,2014,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcukrec3eg394812,mn,4.0,21945.0,white,black,flex fleet rental exchange,29300,30000,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
266063,2014,Chevrolet,Camaro,SS,Coupe,manual,2g1ft1ew2e9281275,fl,3.3,24404.0,gray,black,army aviation center fcu,27400,27800,Tue Feb 10 2015 04:15:00 GMT-0800 (PST)
266064,2014,Chevrolet,Camaro,LT,Convertible,automatic,2g1fb3d39e9291839,fl,4.3,17938.0,red,white,tdaf remarketing,23100,24200,Tue Feb 10 2015 01:00:00 GMT-0800 (PST)
