num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
266999,2012,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar4cm672920,tn,4.0,26300.0,—,black,nissan infiniti lt,20400,21600,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
267000,2012,Hyundai,Veracruz,GLS,SUV,automatic,km8nu4cc4cu204428,tx,4.2,53582.0,silver,gray,music city autoplex llc,14750,15000,Wed Mar 04 2015 02:20:00 GMT-0800 (PST)
267001,2012,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar8cm978793,il,4.0,14939.0,black,gray,nissan infiniti lt,21400,21600,Tue Feb 17 2015 02:00:00 GMT-0800 (PST)
267002,2012,Hyundai,Sonata,SE,Sedan,automatic,5npec4ab8ch414977,pa,4.3,22978.0,gray,gray,hyundai motor finance,14250,14200,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
267003,2012,Hyundai,Veloster,Base,Hatchback,automatic,kmhtc6adxcu039826,pa,3.7,40968.0,black,tan,hyundai motor finance,11850,12100,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
267004,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap8cm625551,ca,2.9,22166.0,gray,black,nissan infiniti lt,21200,19750,Tue Feb 10 2015 04:30:00 GMT-0800 (PST)
267005,2012,Hyundai,Veloster,Base,Hatchback,automatic,kmhtc6ad4cu043676,nj,3.7,51981.0,blue,gray,pine belt enterprises inc,11250,11200,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
267006,2012,Hyundai,Sonata,GLS PZEV,Sedan,automatic,5npeb4ac8ch433637,pa,4.2,46944.0,black,tan,hyundai motor finance,14650,12200,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
267007,2012,Hyundai,Sonata,SE,Sedan,automatic,5npec4acxch391405,pa,4.3,38792.0,black,black,hyundai motor finance,13550,12900,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
267008,2012,Infiniti,G Sedan,G25x,G Sedan,automatic,jn1dv6ar5cm731011,fl,2.9,24887.0,black,black,nissan infiniti lt,18350,16800,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
267009,2012,Infiniti,FX,FX35,SUV,automatic,jn8as1mw7cm155410,tn,3.0,19702.0,black,brown,nissan infiniti lt,33300,28400,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
