num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
268999,2010,Lincoln,MKS,Base,Sedan,automatic,1lnhl9ft5ag610741,fl,3.2,83166.0,—,black,"ford motor credit company,llc",13750,13700,Thu Feb 12 2015 01:00:00 GMT-0800 (PST)
269000,2010,Lincoln,MKZ,Base,Sedan,automatic,3lnhl2gc0ar653561,tx,4.1,123820.0,—,black,"ford motor credit company,llc",8375,7700,Thu Feb 12 2015 06:00:00 GMT-0800 (PST)
269001,2010,Mercedes-Benz,C-Class,C300 Sport 4MATIC,Sedan,automatic,wddgf8bb5af432968,tn,3.9,27893.0,—,tan,ford-lincoln dealer program,18000,18200,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
269002,2010,Lincoln,MKZ,Base,Sedan,automatic,3lnhl2jc8ar606898,wi,1.9,71549.0,black,black,financial services remarketing (lease),10700,7000,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
269003,2010,Mazda,Mazda3,i Touring,Sedan,automatic,jm1bl1sf5a1103580,fl,1.9,64771.0,blue,black,j & b auto & truck inc,6900,6200,Tue Feb 10 2015 01:20:00 GMT-0800 (PST)
269004,2010,Mercedes-Benz,GL-Class,GL450 4MATIC,SUV,automatic,4jgbf7be1aa577930,mo,4.2,85356.0,white,beige,volvo of brentwood,23800,23000,Tue Feb 10 2015 03:00:00 GMT-0800 (PST)
269005,2010,Lexus,RX 350,Base,SUV,automatic,2t2bk1ba0ac079851,tn,4.1,46209.0,black,beige,wholesale inc # 2,22900,24000,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
269006,2010,Mazda,CX-7,i Sport,SUV,automatic,jm3er2w54a0303768,hi,3.1,86064.0,gray,black,first hawaiian bank,8075,8000,Wed Feb 11 2015 06:30:00 GMT-0800 (PST)
269007,2010,Kia,Forte,EX,Sedan,automatic,knafu4a25a5148586,pa,3.5,92897.0,black,gray,r hollenshead auto sales inc,5225,5300,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
269008,2010,Nissan,Pathfinder,SE,SUV,automatic,5n1ar1nn2ac608683,il,4.3,44575.0,gray,gray,wells fargo dealer services,15100,14300,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
269009,2010,Nissan,Titan,SE,Crew Cab,automatic,1n6ba0ed4an313233,tx,2.1,56683.0,white,gray,capital one auto finance,16100,14000,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
269010,2010,Scion,xB,Base,Wagon,automatic,jtlze4fe6a1102356,nj,2.8,92832.0,black,black,wells fargo dealer services,7875,6600,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
269011,2010,Mercedes-Benz,S-Class,S63 AMG,Sedan,automatic,wddng7hb8aa340708,tx,4.8,31821.0,silver,black,music city autoplex llc,54500,53500,Wed Feb 25 2015 02:20:00 GMT-0800 (PST)
269012,2010,Nissan,Pathfinder,LE,SUV,automatic,5n1ar1nn9ac604940,ca,2.2,139598.0,gray,black,nissan-infiniti lt,6100,9500,Tue Feb 10 2015 04:30:00 GMT-0800 (PST)
269013,2010,Nissan,Maxima,3.5 S,Sedan,automatic,1n4aa5ap6ac865829,nj,1.9,43232.0,gray,black,wells fargo dealer services,13550,9400,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
269014,2010,Nissan,Versa,1.8 SL,Sedan,automatic,3n1bc1apxal417425,tn,1.9,66633.0,white,gray,exeter finance corp,5875,4500,Tue Feb 10 2015 02:30:00 GMT-0800 (PST)
269015,2010,Nissan,Cube,1.8 S,Wagon,automatic,jn8az2krxat158688,tn,2.6,100508.0,—,gray,nissan motor acceptance corporation,5625,5800,Tue Feb 10 2015 02:30:00 GMT-0800 (PST)
269016,2010,Nissan,Versa,1.8 S,Hatchback,automatic,3n1bc1cp0al426924,oh,3.6,64255.0,white,black,pauley motor car co preowned vehicles llc,5250,6700,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
269017,2010,Nissan,Versa,1.8 S,Hatchback,automatic,3n1bc1cp7al352367,il,2.8,67480.0,blue,gray,bank of america,5400,5100,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
269018,2010,Nissan,Versa,1.8 S,Hatchback,automatic,3n1bc1cp1al459723,tn,2.6,45222.0,red,black,fifth third bank,5825,6700,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
269019,2010,Nissan,Titan,SE,Crew Cab,automatic,1n6aa0ej9an307994,pa,4.3,76545.0,white,black,alans autos,14900,17800,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
269020,2010,Nissan,Altima,2.5 S,Coupe,automatic,1n4al2ep9ac102044,va,2.5,61860.0,blue,black,wells fargo dealer services,8750,7900,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
269021,2010,Mercury,Mariner,Premier,SUV,automatic,4m2cn9hg6akj14895,il,4.0,78918.0,white,beige,fifth third bank,10700,12000,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
269022,2010,Scion,xB,Base,Wagon,automatic,jtlze4fe3a1115484,fl,3.7,91500.0,blue,black,world omni/santander,8000,8400,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
269023,2010,Scion,xB,Base,Wagon,automatic,jtlze4fe9a1113934,ca,1.0,96382.0,gray,black,wells fargo dealer services,7825,3900,Tue Feb 10 2015 05:00:00 GMT-0800 (PST)
269024,2010,Nissan,Maxima,3.5 S,Sedan,automatic,1n4aa5ap3ac820217,nc,3.9,62211.0,gray,gray,santander consumer,12350,13800,Mon Feb 09 2015 01:30:00 GMT-0800 (PST)
269025,2010,Mitsubishi,Outlander,SE,SUV,automatic,ja4as3aw0az004172,fl,3.0,63847.0,gray,black,"mmca, inc",9775,8500,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
269026,2010,Nissan,Versa,1.8 S,Hatchback,automatic,3n1bc1cp1al372940,ca,1.9,63259.0,black,black,nissan motor acceptance corporation,5275,6500,Tue Feb 10 2015 04:30:00 GMT-0800 (PST)
269027,2010,Nissan,Sentra,2.0 SR,Sedan,automatic,3n1ab6ap7al721288,ca,1.9,22864.0,white,gray,nissan-infiniti lt,8125,8750,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
