num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
270999,2002,Chevrolet,Avalanche,1500,Crew Cab,automatic,3gnek13t82g148382,sc,1.9,174832.0,black,tan,jim hudson ford,4375,2500,Mon Feb 09 2015 02:00:00 GMT-0800 (PST)
271000,2002,Buick,LeSabre,Custom,Sedan,automatic,1g4hp54k524199562,il,2.7,58255.0,silver,gray,wells fargo dealer services,2925,2300,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
271001,2002,Chevrolet,Avalanche,1500,Crew Cab,automatic,3gnec13tx2g103120,va,2.8,135422.0,green,black,wells fargo dealer services,5000,4000,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
271002,2002,Chevrolet,Avalanche,1500,Crew Cab,automatic,3gnek13t72g324371,va,2.6,187417.0,white,gray,credit acceptance corp/vrs/southfield,3925,4300,Thu Feb 12 2015 01:05:00 GMT-0800 (PST)
271003,2002,Buick,LeSabre,Limited,Sedan,automatic,1g4hr54k22u274647,or,2.3,91469.0,gold,tan,"jpmorgan chase bank,n.a.",2950,1600,Tue Feb 10 2015 04:00:00 GMT-0800 (PST)
271004,2002,Chevrolet,Suburban,1500 LS,SUV,automatic,1gnec16z02j120636,tx,2.0,156886.0,red,gray,titlemax/san antonio tx24,1825,1900,Wed Feb 11 2015 02:20:00 GMT-0800 (PST)
271005,2002,Audi,A4,3.0,Sedan,automatic,waujt68e12a306665,nc,1.9,171191.0,gray,tan,primeritus remarketing/atlas,1475,1800,Mon Feb 09 2015 01:30:00 GMT-0800 (PST)
271006,2003,Volkswagen,New Beetle,GLS,Hatchback,automatic,3vwck21cx3m422643,ga,2.7,192891.0,gray,gray,nalley lexus smyrna,1775,1800,Tue Feb 10 2015 05:00:00 GMT-0800 (PST)
271007,2003,Volkswagen,Passat,GLS 1.8T,Sedan,automatic,wvwpd63b53p200063,ca,2.0,148153.0,silver,black,james family auto sales,1550,1000,Tue Feb 10 2015 04:00:00 GMT-0800 (PST)
271008,2003,Volvo,S60,2.5T,Sedan,automatic,yv1rh59h532245367,co,3.2,99175.0,blue,beige,hertz remarketing,2975,2800,Tue Feb 10 2015 04:00:00 GMT-0800 (PST)
271009,2002,Chevrolet,Avalanche,1500,Crew Cab,automatic,3gnek13t62g252045,nj,2.2,103596.0,black,gray,wells fargo dealer services,6800,4200,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
271010,2002,Chevrolet,Venture,Warner Brothers,Minivan,automatic,1gndx13e12d156125,ny,1.9,107878.0,burgundy,gray,tdaf remarketing,1575,1250,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
271011,2002,Chevrolet,Impala,LS,Sedan,automatic,2g1wh55k129214586,oh,1.0,142735.0,blue,gray,car now acceptance co/columbus,1675,1100,Thu Feb 12 2015 01:00:00 GMT-0800 (PST)
271012,2002,Ford,Expedition,Eddie Bauer,SUV,automatic,1fmru17lx2la08119,nc,2.3,138547.0,blue,tan,ace motor acceptance corporation,1800,1700,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
271013,2002,Chrysler,PT Cruiser,Base,Wagon,automatic,3c4fy48b22t267131,ma,1.9,102313.0,blue,tan,clay nissan of newton inc.,1075,300,Tue Feb 10 2015 02:00:00 GMT-0800 (PST)
271014,2002,Ford,Econoline Cargo,E-250,Van,automatic,1ftne24l62ha66838,tn,3.0,23717.0,white,gray,lease plan usa/tra,2850,6600,Tue Feb 10 2015 02:00:00 GMT-0800 (PST)
271015,2002,Dodge,Durango,SLT Plus,SUV,automatic,1b4hs58n52f182849,va,2.6,143366.0,burgundy,black,credit acceptance corp/vrs/southfield,1475,1600,Thu Feb 12 2015 01:05:00 GMT-0800 (PST)
271016,2002,Chrysler,Sebring,GTC,Convertible,automatic,1c3el75r22n222918,fl,1.9,122461.0,black,tan,coral springs honda,1075,700,Fri Feb 06 2015 01:30:00 GMT-0800 (PST)
271017,2002,Dodge,Grand Caravan,eX,Minivan,automatic,2b8gp74l72r796063,nj,1.9,152141.0,blue,gray,lester glenn buick,1450,1300,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
271018,2002,Chevrolet,TrailBlazer,EXT LT,SUV,automatic,1gnet16s426100587,va,2.5,154533.0,beige,gray,credit acceptance corp/vrs/southfield,2025,2800,Thu Feb 12 2015 01:05:00 GMT-0800 (PST)
271019,2002,Chevrolet,Tahoe,LS,SUV,automatic,1gnek13z82r159385,pa,1.9,99547.0,beige,beige,the luxury haus inc,5350,4700,Fri Feb 06 2015 01:15:00 GMT-0800 (PST)
271020,2002,Chevrolet,Prizm,Base,Sedan,automatic,1y1sk52842z424374,ga,1.9,149439.0,burgundy,beige,nalley toyota stonecrest,675,900,Tue Feb 10 2015 05:00:00 GMT-0800 (PST)
271021,2002,Honda,Accord,LX,Sedan,manual,1hgcg55422a101251,ga,1.9,223169.0,gray,gray,nalley ford sandy springs,1675,900,Tue Feb 10 2015 05:00:00 GMT-0800 (PST)
271022,2002,Honda,Accord,EX,Coupe,automatic,1hgcg32522a013575,or,2.3,174161.0,black,black,hertz remarketing,1775,1700,Tue Feb 10 2015 04:00:00 GMT-0800 (PST)
271023,2002,Ford,F-150,XLT,SuperCab,automatic,2ftrx17262ca79167,mn,2.2,170048.0,green,gray,wells fargo dealer services,2900,1400,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
271024,2002,GMC,Yukon XL,Denali,SUV,automatic,1gkfk66u02j336315,mo,2.7,185300.0,black,gray,santander consumer,2900,3400,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
271025,2002,Ford,Ranger,XLT,SuperCab,manual,1ftyr14d52pa13560,nc,1.9,144332.0,burgundy,gray,primeritus remarketing/aas,2700,3500,Mon Feb 09 2015 01:30:00 GMT-0800 (PST)
271026,2002,Ford,Explorer Sport,Choice,SUV,automatic,1fmyu60e02ua95513,ga,3.7,103327.0,white,tan,nalley lexus roswell,1850,2800,Tue Feb 10 2015 05:00:00 GMT-0800 (PST)
271027,2002,GMC,Envoy,SLE,SUV,automatic,1gkdt13s122206628,sc,4.1,128762.0,white,gray,jim hudson ford,3225,3800,Mon Feb 09 2015 02:00:00 GMT-0800 (PST)
271028,2002,Honda,Civic,EX,Sedan,automatic,1hges26712l003220,ga,2.6,210106.0,gold,tan,crown nissan greenville,1550,2900,Tue Feb 10 2015 05:00:00 GMT-0800 (PST)
271029,2002,Ford,Explorer,XLT,SUV,automatic,1fmdu73w12uc78556,va,2.0,140126.0,beige,tan,wells fargo dealer services,1925,2400,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
271030,2002,Ford,Explorer,XLT,SUV,automatic,1fmzu73w02zc63183,ga,2.0,214428.0,blue,—,nalley lexus smyrna,1400,2200,Tue Feb 10 2015 05:00:00 GMT-0800 (PST)
271031,2002,Honda,Insight,Base,Hatchback,automatic,jhmze14782t000236,nv,4.0,99686.0,silver,black,unique autos,2025,2800,Thu Feb 12 2015 03:45:00 GMT-0800 (PST)
271032,2002,Ford,F-150,XLT,SuperCab,automatic,1ftrx17w12nb93400,tx,2.0,159561.0,silver,gray,titlemax/castle hills tx1,3625,1500,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
271033,2002,Honda,Odyssey,EX,Minivan,automatic,5fnrl186x2b047487,pa,2.6,174808.0,white,gray,peruzzi mitsubishi,1575,1200,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
271034,2002,Ford,Mustang,Base,Coupe,automatic,1fafp40472f198288,tx,1.0,182592.0,white,gray,titlemax/san antonio tx3,1400,700,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
271035,2002,Jaguar,X-Type,2.5,Sedan,automatic,sajea51d02xc08542,fl,1.9,135984.0,burgundy,—,coral springs honda,1575,1600,Fri Feb 13 2015 01:30:00 GMT-0800 (PST)
271036,2002,Jeep,Liberty,Limited,SUV,automatic,1j4gk58k62w277421,ga,4.0,144259.0,white,—,nalley ford sandy springs,2625,4000,Tue Feb 10 2015 05:00:00 GMT-0800 (PST)
271037,2002,Lexus,IS 300,Base,Sedan,automatic,jthbd192620046263,tx,2.9,193826.0,red,tan,texas direct auto,3125,3400,Wed Feb 11 2015 02:20:00 GMT-0800 (PST)
271038,2002,Honda,Odyssey,EX-L,Minivan,automatic,2hkrl18952h503570,nj,2.5,133661.0,gray,gray,keyvoor inc,1900,2300,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
271039,2002,Hyundai,Sonata,GLS,Sedan,automatic,kmhwf35h52a585451,ga,2.3,135358.0,white,—,nalley ford sandy springs,1625,1800,Tue Feb 10 2015 05:00:00 GMT-0800 (PST)
