num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
271999,2014,Kia,Soul,+,Wagon,automatic,kndjp3a58e7058092,tx,4.9,13724.0,black,black,"kia motors america, inc",14150,14200,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
272000,2014,Kia,Soul,+,Wagon,automatic,kndjp3a58e7078360,oh,4.9,11227.0,white,black,"kia motors america, inc",14200,14200,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
272001,2014,Kia,Soul,+,Wagon,automatic,kndjp3a5xe7726880,tx,4.8,10227.0,silver,black,"kia motors america, inc",14300,14100,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
272002,2014,Kia,Soul,+,Wagon,automatic,kndjp3a51e7004892,mo,4.2,37196.0,yellow,black,avis corporation,13100,13100,Wed Feb 18 2015 03:15:00 GMT-0800 (PST)
272003,2014,Kia,Soul,+,Wagon,automatic,kndjp3a55e7729573,oh,4.9,10818.0,red,black,"kia motors america, inc",14200,14300,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
272004,2014,Kia,Soul,Base,Wagon,automatic,kndjn2a27e7013313,ga,4.7,13991.0,white,black,kia motors finance,12550,13100,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
272005,2014,Kia,Soul,+,Wagon,automatic,kndjp3a50e7012112,ca,4.5,29739.0,brown,black,avis corporation,13300,13700,Tue Feb 10 2015 04:30:00 GMT-0800 (PST)
272006,2014,Kia,Sportage,LX,SUV,automatic,kndpb3ac5e7549114,tn,5.0,18876.0,white,—,ford-lincoln dealer program,15900,16100,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
272007,2014,Lincoln,MKS,Base,Sedan,automatic,1lnhl9dk1eg602734,fl,3.4,20728.0,—,black,ford motor credit company,25100,22200,Thu Feb 12 2015 01:00:00 GMT-0800 (PST)
272008,2014,Kia,Sportage,LX,SUV,automatic,kndpbcacxe7629430,oh,4.6,19355.0,—,black,"kia motors america, inc",17700,17300,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
272009,2014,Lexus,IS 250,Base,Sedan,automatic,jthbf1d22e5010336,fl,4.7,15090.0,gray,gray,lexus of pembroke pines,29400,28800,Fri Feb 20 2015 09:30:00 GMT-0800 (PST)
272010,2014,Lincoln,MKS,Base,Sedan,automatic,1lnhl9ek6eg605451,ca,4.1,34228.0,silver,tan,ford motor credit company,25100,24400,Wed Feb 18 2015 05:00:00 GMT-0800 (PST)
272011,2014,Lexus,RX 350,Base,SUV,automatic,2t2zk1ba4ec135715,fl,4.0,9076.0,blue,brown,onesource/kendall toyota,36500,33200,Mon Feb 09 2015 16:00:00 GMT-0800 (PST)
272012,2014,Lincoln,MKZ,Base,Sedan,automatic,3ln6l2g94er825348,tn,4.8,4750.0,—,tan,ford-lincoln dealer program,26500,29300,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
272013,2014,Land Rover,Range Rover Sport,HSE,SUV,automatic,salwg2wf9ea323700,pa,5.0,13061.0,gray,black,west herr auto exchange inc,64000,66500,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
272014,2014,Lincoln,MKX,Base,SUV,automatic,2lmdj6jk6ebl09642,ga,4.6,13764.0,black,black,ford-lincoln dealer program,30500,29000,Mon Feb 09 2015 02:00:00 GMT-0800 (PST)
272015,2014,Ford,Altima,Base,Sedan,automatic,2lmhj5nk3ebl55435,tn,3.5,18299.0,black,black,avis budget group,30200,31200,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
272016,2014,Lincoln,MKS,Base,Sedan,automatic,1lnhl9dk2eg606324,tx,4.9,1699.0,green,beige,"ford motor credit company,llc",28200,30400,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
272017,2014,Lincoln,MKT,Base,Wagon,automatic,2lmhj5fk0ebl52569,mo,4.2,34468.0,red,black,ars/avis budget group,24900,24900,Tue Feb 17 2015 03:00:00 GMT-0800 (PST)
272018,2014,Lincoln,MKS,Base,Sedan,automatic,1lnhl9ek8eg603636,nj,3.7,82754.0,black,black,american leasing/northstar,21900,18000,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
272019,2014,Kia,Sportage,LX,SUV,automatic,kndpb3acxe7556284,tn,4.3,38132.0,red,black,avis corporation,14650,14900,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
272020,2014,Land Rover,LR4,HSE,SUV,automatic,salag2v61ea718076,tn,4.8,19064.0,white,black,wholesale inc # 2,55700,52500,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
272021,2014,MINI,Cooper Countryman,Base,Wagon,automatic,wmwzb3c58ewr39294,nj,4.9,4489.0,blue,beige,bmw mini north america,18700,21750,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
272022,2014,MINI,Cooper Countryman,Base,Wagon,automatic,wmwzb3c56ewr38807,ca,1.0,19103.0,white,black,enterprise vehicle exchange / tra / rental / tulsa,18200,11100,Tue Feb 10 2015 04:00:00 GMT-0800 (PST)
272023,2014,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,wddgf4hb7er309533,ca,4.3,7014.0,white,gray,mercedes benz of palm springs,26800,25750,Tue Feb 10 2015 04:30:00 GMT-0800 (PST)
272024,2014,MINI,Cooper Clubman,S,Hatchback,manual,wmwzg3c5xety33626,nj,4.9,5460.0,white,black,bmw mini north america,20200,17000,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
