num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
272999,2013,Ford,Fusion,Titanium,Sedan,automatic,3fa6p0k93dr188770,fl,4.5,22069.0,black,black,"ford motor credit company,llc",18900,18300,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
273000,2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0h76dr329028,nv,2.9,58414.0,blue,black,fox rent a car,12250,12200,Fri Feb 20 2015 04:00:00 GMT-0800 (PST)
273001,2013,Ford,Fusion,Titanium,Sedan,automatic,3fa6p0k91dr303236,tx,4.1,21672.0,white,black,"ford motor credit company,llc",18950,19200,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
273002,2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0h7xdr289097,fl,4.4,30180.0,black,black,"ford motor credit company,llc",14000,14000,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
273003,2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0h75dr214016,mi,4.4,42386.0,purple,black,"ford motor credit company,llc",13300,12100,Thu Feb 12 2015 01:00:00 GMT-0800 (PST)
273004,2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0h79dr199990,mo,3.1,29927.0,gray,black,"ford motor credit company,llc",14000,12600,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
273005,2013,Ford,Fusion,Titanium,Sedan,automatic,3fa6p0k92dr271588,fl,3.6,22403.0,—,black,"ford motor credit company,llc pd",18950,16200,Thu Feb 12 2015 01:00:00 GMT-0800 (PST)
273006,2013,Ford,Fusion,Titanium,Sedan,automatic,3fa6p0k97dr211998,fl,4.4,17733.0,gray,black,"ford motor credit company,llc",19350,20800,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
273007,2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0hr8dr170014,ca,3.3,33100.0,white,black,"ford motor credit company,llc",14600,15900,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
273008,2013,Ford,Fusion Hybrid,SE,Sedan,automatic,3fa6p0luxdr202859,oh,5.0,85285.0,silver,black,flexco fleet services,12750,14200,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
273009,2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0h95dr237961,nc,4.4,65696.0,blue,black,ge fleet services for itself/servicer,12550,12000,Tue Feb 10 2015 01:15:00 GMT-0800 (PST)
273010,2013,Ford,Fusion,Titanium,Sedan,automatic,3fa6p0k93dr132618,mi,1.9,21526.0,white,black,"ford motor credit company,llc",19000,15500,Thu Feb 12 2015 01:00:00 GMT-0800 (PST)
273011,2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0h76dr349232,nv,2.4,57885.0,blue,black,fox rent a car,12250,12100,Fri Feb 13 2015 04:00:00 GMT-0800 (PST)
273012,2013,Ford,Fusion Hybrid,SE,Sedan,automatic,3fa6p0lu7dr192548,mo,4.3,44160.0,burgundy,black,"ford motor credit company,llc",16500,14800,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
273013,2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0hr9dr104829,nj,4.1,23965.0,white,black,"ford motor credit company,llc",15150,14900,Wed Feb 11 2015 01:00:00 GMT-0800 (PST)
273014,2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0hr3dr285734,ca,2.1,31406.0,black,black,"ford motor credit company,llc",14700,10800,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
273015,2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0h79dr132693,mo,3.3,30797.0,black,black,"ford motor credit company,llc",13950,13800,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
273016,2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0hr5dr132742,mo,3.8,44193.0,gray,black,"ford motor credit company,llc",13700,13700,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
273017,2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0h71dr127343,tx,1.9,30585.0,—,beige,"ford motor credit company,llc",14050,9000,Thu Feb 12 2015 02:30:00 GMT-0800 (PST)
273018,2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0hr8dr112341,mo,3.8,26861.0,burgundy,black,"ford motor credit company,llc",14950,14500,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
273019,2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0hrxdr257252,il,4.1,81311.0,burgundy,black,ge fleet services for itself/servicer,11550,10600,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
