num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
274999,2008,Chevrolet,Impala,LS,Sedan,automatic,2g1wt58k081207288,fl,2.1,132815.0,black,beige,consumer portfolio services,4400,4600,Tue Feb 10 2015 10:00:00 GMT-0800 (PST)
275000,2008,Chevrolet,Impala,LS,Sedan,automatic,2g1wb55k581233960,wi,4.3,137362.0,gray,black,capital one auto finance,3925,4100,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
275001,2008,Chevrolet,Cobalt,LT,Sedan,automatic,1g1al58f987274911,va,3.4,99421.0,blue,beige,dt credit corporation,3675,4500,Thu Feb 12 2015 01:05:00 GMT-0800 (PST)
275002,2008,Chevrolet,Impala,LS,Sedan,automatic,2g1wb58k689284705,la,3.5,108219.0,white,black,lease plan usa,5000,4300,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
275003,2008,Chevrolet,Avalanche,LT,Crew Cab,automatic,3gnfk12388g219241,ut,3.8,186651.0,gray,gray,ge fleet services for itself/servicer,10650,9600,Wed Feb 11 2015 03:30:00 GMT-0800 (PST)
275004,2008,Chevrolet,Cobalt,LT,Coupe,manual,1g1al15f887334612,il,3.0,69161.0,blue,black,ally,4950,3000,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
275005,2008,Chevrolet,Cobalt,LT,Sedan,automatic,1g1al58f887307901,nj,2.0,145100.0,red,gray,gateway one lending & finance,2300,1800,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
275006,2008,Chevrolet,Malibu,LT,Sedan,automatic,1g1zj57758f260982,md,1.0,116635.0,silver,black,santander consumer,5825,3100,Tue Feb 10 2015 05:00:00 GMT-0800 (PST)
275007,2008,Chevrolet,Impala,LT,Sedan,automatic,2g1wt58k289200554,va,3.5,173709.0,red,black,dt credit corporation,2825,2500,Thu Feb 12 2015 01:05:00 GMT-0800 (PST)
275008,2008,Chevrolet,Tahoe,LT,SUV,automatic,1gnfk13058j116071,mi,5.0,56906.0,red,black,remarketing by ge/vic canever chevrolet inc,19400,21600,Thu Feb 12 2015 01:30:00 GMT-0800 (PST)
275009,2008,Chrysler,Town and Country,LX,Minivan,automatic,2a8hr44h98r833886,ut,2.0,56209.0,silver,gray,fifth third bank,7000,8200,Wed Feb 11 2015 03:30:00 GMT-0800 (PST)
275010,2008,Chrysler,Town and Country,Limited,Minivan,automatic,2a8hr64x78r722353,mn,3.2,72045.0,silver,gray,morries chippewa valley mazda,10400,10900,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
275011,2008,Chevrolet,Tahoe,LT,SUV,automatic,1gnfk13088j111222,nj,2.8,108538.0,black,black,paramus ford inc,15800,16800,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
275012,2008,Chrysler,Town and Country,Touring,Minivan,automatic,2a8hr54p88r815747,mi,3.5,111255.0,blue,gray,remarketing by ge/michigan schools & govt cu,6675,6100,Thu Feb 12 2015 01:30:00 GMT-0800 (PST)
275013,2008,Chrysler,PT Cruiser,Base,Wagon,automatic,3a8fy48b88t114366,fl,2.6,82237.0,gray,gray,santander consumer,3075,3100,Wed Feb 11 2015 01:05:00 GMT-0800 (PST)
275014,2008,Chrysler,Town and Country,Touring,Minivan,automatic,2a8hr54p98r663218,va,3.5,100184.0,blue,gray,brown's manassas subaru,7150,7100,Thu Feb 12 2015 01:05:00 GMT-0800 (PST)
275015,2008,Dodge,Avenger,SXT,Sedan,automatic,1b3lc56r68n230665,fl,2.7,135884.0,blue,gray,consumer portfolio services,3725,3000,Tue Feb 10 2015 10:00:00 GMT-0800 (PST)
275016,2008,Chrysler,PT Cruiser,Touring,Wagon,automatic,3a8fy58b88t146384,mi,3.0,102550.0,blue,gray,remarketing by ge/people driven credit union,3175,2000,Thu Feb 12 2015 01:30:00 GMT-0800 (PST)
275017,2008,Chevrolet,TrailBlazer,Fleet,SUV,automatic,1gndt13s582240163,va,3.1,128270.0,white,gray,dt credit corporation,3600,3700,Thu Feb 12 2015 01:05:00 GMT-0800 (PST)
275018,2008,Chrysler,300,LX,Sedan,automatic,2c3ka43r78h251259,md,3.2,92053.0,silver,black,darcars imports inc,7325,6400,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
275019,2008,Chrysler,Sebring,Touring,Sedan,automatic,1c3lc56r78n273737,wi,2.8,60078.0,gray,gray,new look enterprises inc,6300,7600,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
275020,2008,Dodge,Charger,Base,Sedan,automatic,2b3ka43r68h117131,va,1.9,104938.0,black,gray,brown's manassas subaru,6475,5000,Thu Feb 12 2015 01:05:00 GMT-0800 (PST)
275021,2008,Dodge,Charger,Base,Sedan,automatic,2b3ka43g68h316095,mi,2.0,95259.0,black,black,remarketing by ge/people driven credit union,6950,5800,Thu Feb 12 2015 01:30:00 GMT-0800 (PST)
275022,2008,Chrysler,Sebring,LX,Sedan,automatic,1c3lc46rx8n279686,va,1.0,137008.0,gray,gray,dt credit corporation,2650,1000,Thu Feb 12 2015 03:50:00 GMT-0800 (PST)
275023,2008,Chrysler,PT Cruiser,Base,Wagon,automatic,3a8fy48b78t111233,nc,2.1,95862.0,blue,—,hrft finance and leasing,2725,2900,Mon Feb 09 2015 01:30:00 GMT-0800 (PST)
275024,2008,Ford,Escape,XLT,SUV,automatic,1fmcu93178kb86321,pa,3.3,66939.0,black,brown,"jpmorgan chase bank,n.a.",8475,9000,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
275025,2008,Dodge,Charger,RT,Sedan,automatic,2b3ka53h38h124194,nc,3.4,91781.0,red,gray,capital chrysler jeep dodge llc,11550,12600,Mon Feb 09 2015 01:00:00 GMT-0800 (PST)
275026,2008,Dodge,Magnum,SXT,Wagon,automatic,2d4fv37v08h232283,wi,2.1,179973.0,white,gray,honor finance,1600,2150,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
275027,2008,Ford,Edge,SE,SUV,automatic,2fmdk36c28ba01946,wi,3.6,149130.0,white,black,capital one auto finance,5450,7000,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
275028,2008,Dodge,Ram Pickup 1500,SLT,Quad Cab,automatic,1d7hu18n78s577448,mi,2.5,102529.0,black,gray,santander consumer,12500,11000,Thu Feb 12 2015 01:30:00 GMT-0800 (PST)
275029,2008,Ford,Edge,Limited,SUV,automatic,2fmdk49c58ba73662,mo,4.5,93406.0,black,tan,o brien mitsubishi of normal,10850,12500,Tue Feb 10 2015 03:00:00 GMT-0800 (PST)
275030,2008,Ford,Econoline Cargo,E-250,Van,automatic,1ftne24wx8da17457,fl,2.3,151918.0,white,gray,ari,6500,6700,Wed Feb 11 2015 07:10:00 GMT-0800 (PST)
275031,2008,Ford,Econoline Cargo,E-250,Van,automatic,1ftne24l98da41819,va,2.8,65607.0,white,gray,wheels/cox,10650,13900,Thu Feb 12 2015 01:20:00 GMT-0800 (PST)
275032,2008,Dodge,Grand Caravan,SE,Minivan,automatic,1d8hn44h48b138525,mi,2.1,114022.0,silver,black,remarketing by ge/public service credit union,5050,3700,Thu Feb 12 2015 01:30:00 GMT-0800 (PST)
275033,2008,Dodge,Nitro,SLT,SUV,automatic,1d8gu58k38w235945,pa,3.6,130788.0,silver,gray,c & b motors,6250,7000,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
275034,2008,Dodge,Ram Pickup 1500,SLT,Quad Cab,automatic,1d7hu18n08j144320,ga,1.9,96842.0,black,gray,gm financial,13050,14300,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
275035,2008,Ford,Edge,Limited,SUV,automatic,2fmdk39c98ba32686,nj,1.9,81271.0,brown,black,"consolidated asset recovery systems, inc.",10950,7100,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
275036,2008,Dodge,Ram Pickup 1500,SLT,Quad Cab,automatic,1d7hu18238j221445,oh,4.0,49794.0,black,gray,exceptional motorcar llc,16550,16900,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
275037,2008,Ford,Escape,XLS,SUV,automatic,1fmcu02z68ka91266,mo,3.8,40680.0,green,gray,ford-lincoln dealer program,7775,10700,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
275038,2008,Ford,F-150,XLT,SuperCrew,automatic,1ftrw14w98fc07943,wi,2.7,111335.0,gray,gray,new look enterprises inc,12500,10900,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
275039,2008,Ford,Focus,SE,Sedan,automatic,1fahp35nx8w203836,nc,3.9,69862.0,blue,gray,meridian remarketing,5225,5000,Mon Feb 09 2015 01:30:00 GMT-0800 (PST)
275040,2008,Ford,F-250 Super Duty,XL,Crew Cab,automatic,1ftsw215x8eb46496,fl,4.4,75545.0,silver,beige,auto city of florida,10700,15200,Tue Feb 10 2015 01:00:00 GMT-0800 (PST)
275041,2008,Ford,F-350 Super Duty,Lariat,Crew Cab,automatic,1ftww33r18ee32681,nj,3.0,105158.0,black,beige,gateway one lending & finance,21400,20600,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
275042,2008,Ford,F-150,FX2,SuperCab,automatic,1ftpx12vx8kc55005,la,5.0,79723.0,red,black,american auto brokers inc,11750,14500,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
275043,2008,Ford,F-150,XL,SuperCrew,automatic,1ftrw12w98fa13979,wi,3.8,67271.0,gray,gray,capital one auto finance,10850,11500,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
275044,2008,Ford,F-150,Lariat,SuperCrew,automatic,1ftpw12vx8fa70772,ga,4.4,151545.0,black,black,akins ford dodge jeep chrysler ram,9975,10100,Tue Feb 10 2015 05:10:00 GMT-0800 (PST)
275045,2008,GMC,Acadia,SLE-1,SUV,automatic,1gkev13748j147728,va,3.6,111274.0,silver,black,dt inventory,8975,6900,Thu Feb 12 2015 01:05:00 GMT-0800 (PST)
275046,2008,GMC,Acadia,SLT-2,SUV,automatic,1gkev33718j142871,in,2.7,108730.0,burgundy,gray,remarketing by ge/suntrust bank,12200,11500,Wed Feb 11 2015 05:30:00 GMT-0800 (PST)
275047,2008,Ford,Focus,SES,Sedan,automatic,1fahp35n28w182237,pa,2.9,173518.0,black,black,faulkner mazda,2725,2600,Mon Feb 09 2015 04:00:00 GMT-0800 (PST)
275048,2008,Honda,Civic,EX,Coupe,automatic,2hgfg12828h564112,md,2.8,157337.0,red,black,gateway subaru,4125,4200,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
275049,2008,Honda,Civic,LX,Sedan,automatic,2hgfa16598h519556,ga,1.9,30105.0,blue,gray,"ahfc/honda lease trust/hvt, inc.",8875,6000,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
275050,2008,GMC,Envoy,SLT,SUV,automatic,1gkds13s582149765,nc,4.0,88281.0,black,gray,honda cars of rock hill,7550,8400,Wed Feb 11 2015 06:00:00 GMT-0800 (PST)
275051,2008,Honda,Accord,EX-L,Sedan,automatic,1hgcp26838a126572,ga,3.3,90348.0,black,black,"ahfc/honda lease trust/hvt, inc.",9650,10000,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
275052,2008,Honda,Accord,EX-L V-6,Sedan,automatic,1hgcp36808a009750,nj,2.2,61270.0,silver,black,manheim new jersey,11350,9500,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
275053,2008,Ford,Ranger,XL,Regular Cab,automatic,1ftyr10d68pa59137,fl,2.1,170405.0,white,gray,wheels exchange llc,4050,3200,Wed Feb 25 2015 02:10:00 GMT-0800 (PST)
275054,2008,Ford,Ranger,SPORT,SuperCab,automatic,1ftyr14u38pb02391,ut,2.5,71713.0,gray,black,capital one auto finance,8575,10000,Wed Feb 11 2015 03:30:00 GMT-0800 (PST)
275055,2008,Honda,Civic,EX-L,Coupe,manual,2hgfg11958h576801,fl,2.2,74589.0,black,black,remarketing by ge/west financial acceptance,7575,6600,Wed Feb 11 2015 01:00:00 GMT-0800 (PST)
275056,2008,Ford,Fusion,SEL,Sedan,automatic,3fahp02168r109164,mi,3.7,116547.0,beige,black,santander consumer,4475,5300,Thu Feb 12 2015 01:30:00 GMT-0800 (PST)
275057,2008,Ford,Taurus,SEL,Sedan,automatic,1fahp24w68g131239,ut,2.8,99146.0,blue,tan,remarketing by ge/america first credit union,5350,5600,Wed Feb 11 2015 03:30:00 GMT-0800 (PST)
275058,2008,Ford,Ranger,FX4 Off-Road,SuperCab,manual,1ftzr45e58pa82822,wi,3.6,58913.0,black,black,new look enterprises inc,12200,13200,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
275059,2008,GMC,Envoy,SLE,SUV,automatic,1gkds13s982129972,nc,2.8,105854.0,black,beige,sst financial,4450,4900,Tue Feb 10 2015 01:15:00 GMT-0800 (PST)
275060,2008,Ford,Fusion,SE,Sedan,automatic,3fahp07z68r172375,va,2.3,167416.0,gray,gray,dt credit corporation,2500,2700,Thu Feb 12 2015 01:05:00 GMT-0800 (PST)
275061,2008,GMC,Sierra 1500,Work Truck,Crew Cab,automatic,2gtec13c981154652,fl,3.7,59996.0,white,black,tdaf remarketing,15550,18000,Tue Feb 10 2015 01:00:00 GMT-0800 (PST)
275062,2008,Honda,Civic,Hybrid,Sedan,automatic,jhmfa36268s001041,md,2.5,125606.0,gray,blue,j b a automotive llc,4925,4900,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
