num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
277999,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6apxcm936463,tx,2.7,25615.0,silver,black,nissan infiniti lt,20800,21400,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
278000,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap6cm621370,ca,4.4,21489.0,white,tan,nissan infiniti lt,21300,22250,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
278001,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap5cm930196,ca,4.2,22497.0,gray,gray,nissan infiniti lt,21200,22250,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
278002,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap9cm930766,ca,3.9,29604.0,silver,black,nissan infiniti lt,20500,23750,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
278003,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap2cm621950,ca,4.0,24597.0,black,black,nissan infiniti lt,24500,24500,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
278004,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap4cm930531,ca,4.1,32046.0,gray,black,nissan infiniti lt,20200,21500,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
278005,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap0cm623101,ca,4.7,30234.0,gray,beige,nissan infiniti lt,20400,23000,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
278006,2012,Infiniti,G Convertible,G37,G Convertible,automatic,jn1cv6fexcm203031,tx,4.2,31329.0,black,black,nissan infiniti lt,26400,26800,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
278007,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap1cm931202,ca,3.1,24222.0,black,black,nissan infiniti lt,21000,20000,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
278008,2012,Infiniti,G Convertible,G37,G Convertible,automatic,jn1cv6fexcm201537,ca,3.4,54237.0,—,black,nissan infiniti lt,25300,23250,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
278009,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6apxcm626359,ca,4.2,39929.0,blue,beige,nissan infiniti lt,19500,18250,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
278010,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap8cm621788,ca,4.1,24009.0,blue,black,nissan infiniti lt,21000,20250,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
278011,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap9cm623419,ca,4.1,41736.0,—,black,nissan infiniti lt,19300,19750,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
278012,2012,Infiniti,G Convertible,G37,G Convertible,automatic,jn1cv6fe6cm202720,ca,3.3,15674.0,blue,beige,nissan infiniti lt,26800,25500,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
278013,2012,Infiniti,G Coupe,G37,G Coupe,automatic,jn1cv6ek0cm420286,ca,3.9,38463.0,gray,gray,nissan infiniti lt,21000,21500,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
278014,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap0cm621879,ca,4.3,30770.0,white,gray,nissan infiniti lt,20400,19250,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
278015,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap7cm622494,ca,3.4,39917.0,black,black,nissan infiniti lt,23100,22000,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
278016,2012,Infiniti,G Sedan,G25,G Sedan,automatic,jn1dv6ap5cm810516,ca,4.1,38704.0,white,black,nissan infiniti lt,16950,17750,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
278017,2012,Infiniti,G Coupe,G37,G Coupe,automatic,jn1cv6ek9cm421386,ca,3.1,30287.0,gray,black,nissan infiniti lt,21800,20750,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
278018,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap8cm626862,ca,4.8,22516.0,brown,black,nissan infiniti lt,21200,21000,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
278019,2012,Infiniti,G Coupe,G37,G Coupe,automatic,jn1cv6ek1cm421527,ca,3.9,38931.0,gray,beige,nissan infiniti lt,20900,22750,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
278020,2012,Infiniti,G Sedan,G25,G Sedan,automatic,jn1dv6ap0cm811637,ca,3.9,24470.0,silver,black,nissan infiniti lt,18400,18000,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
278021,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap9cm931187,ca,3.6,27182.0,white,black,nissan infiniti lt,20700,19000,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
278022,2012,Infiniti,G Sedan,G25,G Sedan,automatic,jn1dv6apxcm811032,ca,4.4,31706.0,gray,black,nissan infiniti lt,17700,17750,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
278023,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap7cm934170,tx,3.9,52675.0,white,beige,nissan infiniti lt,18050,18400,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
278024,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap1cm932740,ca,3.9,23170.0,white,gray,nissan infiniti lt,21100,21750,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
278025,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap4cm931128,ca,4.4,21808.0,gray,black,nissan infiniti lt,21200,21000,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
278026,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap7cm622379,ca,4.4,24932.0,silver,black,nissan infiniti lt,20900,22750,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
278027,2012,Infiniti,G Coupe,G37,G Coupe,automatic,jn1cv6ek2cm422928,ca,3.7,35271.0,gray,black,nissan infiniti lt,21300,22000,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
278028,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap3cm621486,ca,4.4,56705.0,silver,black,nissan infiniti lt,17850,18750,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
278029,2012,Infiniti,G Sedan,G25,G Sedan,automatic,jn1dv6ap7cm811361,ca,3.9,50187.0,blue,black,nissan infiniti lt,16550,16750,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
278030,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap9cm936518,ca,3.4,24806.0,gray,black,nissan infiniti lt,20600,19750,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
278031,2012,Infiniti,G Sedan,G25,G Sedan,automatic,jn1dv6ap7cm810274,ca,4.1,23014.0,gray,black,nissan infiniti lt,18600,18000,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
278032,2012,Jaguar,XJ,Base,Sedan,automatic,sajwa1cb6clv25756,ca,3.7,33269.0,black,black,"jpmorgan chase bank,n.a.",36600,38000,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
278033,2012,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar2cm672897,il,3.3,15386.0,—,beige,nissan infiniti lt,21400,21200,Tue Feb 17 2015 02:00:00 GMT-0800 (PST)
278034,2012,Infiniti,M,M37,Sedan,automatic,jn1by1ap7cm335209,ca,3.2,16636.0,black,black,nissan infiniti lt,27500,26500,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
278035,2012,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6arxcm671741,ca,3.8,31423.0,gray,black,nissan infiniti lt,19850,20750,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
278036,2012,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6arxcm672730,tx,3.5,29709.0,silver,black,nissan infiniti lt,20000,20000,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
