num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
279999,2007,Chrysler,Pacifica,Touring,Wagon,automatic,2a8gm68x87r149109,mo,2.9,131099.0,gray,gray,santander consumer,3700,2400,Mon Feb 09 2015 03:00:00 GMT-0800 (PST)
280000,2007,Chrysler,300,Touring,Sedan,automatic,2c3ka53g67h766028,or,2.7,41301.0,gray,black,dick hannah chrysler jeep dodge,8800,11300,Tue Feb 10 2015 04:30:00 GMT-0800 (PST)
280001,2007,Dodge,Caliber,R/T,Wagon,automatic,1b3hb78k57d141615,az,1.9,137783.0,black,gray,credit acceptance corp/vrs/southfield,3175,2800,Wed Feb 11 2015 03:15:00 GMT-0800 (PST)
280002,2007,Dodge,Caliber,Base,Wagon,automatic,1b3hb28b07d182060,la,2.6,117800.0,gray,gray,westfall auto sales,2750,4400,Wed Feb 11 2015 02:40:00 GMT-0800 (PST)
280003,2007,Dodge,Charger,Base,Sedan,automatic,2b3la43rx7h815213,ca,2.4,103478.0,gray,gray,wells fargo dealer services,6125,7200,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
280004,2007,Dodge,Nitro,SLT,SUV,automatic,1d8gt58k77w546053,ca,3.4,114387.0,silver,gray,livermore toyota and livermore scion,6725,6600,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
280005,2007,Dodge,Grand Caravan,SXT,Minivan,automatic,2d4gp44l27r114140,il,2.1,97413.0,green,gray,td auto finance,4250,3300,Tue Feb 10 2015 02:00:00 GMT-0800 (PST)
280006,2007,Dodge,Caravan,SE,Minivan,automatic,1d4gp25r37b222207,ga,4.2,129038.0,silver,beige,riverside toyota scion,2200,2800,Tue Feb 10 2015 04:30:00 GMT-0800 (PST)
280007,2007,Dodge,Magnum,SE,Wagon,automatic,2d8fv47t57h647634,ca,1.9,169399.0,white,gray,enterprise car sales/orange,2900,2900,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
280008,2007,Dodge,Caravan,SE,Minivan,automatic,1d4gp25r17b105824,tx,1.9,105759.0,white,gray,dt credit corporation,2725,3000,Wed Feb 11 2015 02:20:00 GMT-0800 (PST)
280009,2007,Dodge,Charger,Base,Sedan,automatic,2b3la43r77h720477,ca,2.6,146279.0,blue,black,tidalwave finance corp,4625,6500,Wed Feb 11 2015 04:05:00 GMT-0800 (PST)
280010,2007,Dodge,Caliber,SXT,Wagon,automatic,1b3hb48b67d262961,nc,2.3,148562.0,white,gray,fort mill ford inc,2525,2500,Tue Feb 10 2015 02:00:00 GMT-0800 (PST)
280011,2007,Dodge,Charger,RT,Sedan,automatic,2b3ka53h47h686622,nj,2.1,100187.0,black,gray,santander consumer,9100,7900,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
280012,2007,Dodge,Magnum,SE,Wagon,automatic,2d4fv47v07h746350,ga,2.3,169667.0,red,gray,westside used cars inc,2900,3500,Tue Feb 10 2015 04:50:00 GMT-0800 (PST)
280013,2007,Ford,F-150,XL,SuperCab,automatic,1ftrx12w27na61471,la,1.0,192310.0,white,gray,"enterprise fleet management exchange, inc.",3825,3300,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
280014,2007,Ford,Econoline Cargo,E-250,Van,automatic,1ftne24w17da21315,mi,2.1,69295.0,white,gray,ge fleet services for itself/servicer,8100,8600,Thu Feb 26 2015 01:30:00 GMT-0800 (PST)
280015,2007,Ford,Explorer,Eddie Bauer,SUV,automatic,1fmeu74e97ub43679,nj,3.5,95799.0,gray,tan,autolenders liquidation center,7950,9200,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
280016,2007,Ford,Explorer,XLT,SUV,automatic,1fmeu73e17ub58243,ne,3.5,106929.0,burgundy,tan,consumer portfolio services,6400,7200,Thu Feb 12 2015 04:15:00 GMT-0800 (PST)
280017,2007,Ford,Altima,Base,Sedan,automatic,1fmfk18577la31356,wa,3.8,107508.0,red,beige,wells fargo dealer services,11850,13900,Wed Feb 11 2015 05:00:00 GMT-0800 (PST)
280018,2007,Ford,Edge,SE,SUV,automatic,2fmdk36c17bb12471,il,2.2,79101.0,off-white,gray,whites auto sales llc,8150,9000,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
280019,2007,Ford,Explorer Sport Trac,XLT,Crew Cab,automatic,1fmeu31k67ua12390,ca,1.9,111460.0,white,beige,remarketing by ge/xpress rent a car,8400,8250,Tue Feb 10 2015 04:00:00 GMT-0800 (PST)
280020,2007,Ford,F-150,XL,SuperCab,automatic,1ftrx12w97kd14836,ca,1.9,163661.0,white,gray,800 loan mart,5150,3000,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
280021,2007,Ford,Altima,Base,Sedan,automatic,1ftpw025x7kd56590,fl,2.7,85281.0,white,—,innovate loan servicing corp,11450,9400,Thu Feb 12 2015 07:00:00 GMT-0800 (PST)
280022,2007,Ford,Expedition,Eddie Bauer,SUV,automatic,1fmfu18507la30494,az,2.5,152774.0,blue,black,modern financial services,8150,6900,Tue Feb 10 2015 03:00:00 GMT-0800 (PST)
280023,2007,Ford,F-150,XLT,SuperCab,automatic,1ftrx12w77fa66692,ca,4.0,123185.0,white,gray,northwestern chrys/j/d/ge,8350,7300,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
280024,2007,Dodge,Ram Pickup 2500,SLT,Quad Cab,automatic,3d7ks28d27g757256,ma,1.9,106145.0,blue,gray,premier cape cod,13000,8900,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
280025,2007,Ford,Escape,XLT,SUV,automatic,1fmyu03187ka76376,fl,3.5,140989.0,green,gray,coggin deland honda,3700,3300,Tue Feb 10 2015 10:00:00 GMT-0800 (PST)
280026,2007,Ford,Explorer Sport Trac,XLT,Crew Cab,automatic,1fmeu31k77ua22331,nc,2.2,112322.0,blue,beige,rick hendrick city chevrolet,8500,8500,Wed Feb 25 2015 06:00:00 GMT-0800 (PST)
280027,2007,Ford,Expedition,XLT,SUV,automatic,1fmfu15557la47070,ga,2.5,111608.0,red,tan,young motors llc,8100,10200,Thu Feb 19 2015 02:00:00 GMT-0800 (PST)
280028,2007,Ford,F-150,FX2,SuperCrew,automatic,1ftpw12v67kc62146,tx,1.9,96959.0,—,black,ford-lincoln dealer program,11300,12700,Thu Feb 12 2015 02:30:00 GMT-0800 (PST)
