num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
281999,2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7apxem680023,ca,4.1,17090.0,red,black,nissan infiniti lt,26800,25250,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
282000,2014,Infiniti,Q50,Base,Sedan,automatic,jn1bv7ap5em686540,fl,4.2,14294.0,black,black,lauderdale infiniti,28000,29000,Fri Mar 06 2015 01:35:00 GMT-0800 (PST)
282001,2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ap0em680502,ca,3.7,16655.0,red,black,nissan infiniti lt,28400,26750,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
282002,2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ap6em680570,ca,4.2,12073.0,red,black,nissan infiniti lt,29300,26250,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
282003,2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ap3em672314,ca,4.2,18904.0,black,gray,nissan infiniti lt,27900,25500,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
282004,2014,Infiniti,Q50,Sport,Sedan,automatic,jn1bv7ap7em689455,ca,4.4,4682.0,gray,black,nissan infiniti lt,35400,34500,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
282005,2014,Hyundai,Tucson,SE,SUV,automatic,km8ju3ag8eu886831,tx,4.8,34242.0,white,brown,enterprise vehicle exchange/dfw airport,16150,17100,Wed Feb 11 2015 02:15:00 GMT-0800 (PST)
282006,2014,Infiniti,Q60 Convertible,Base,Q60 Convertible,automatic,jn1cv6fe5em901713,ca,4.0,7436.0,white,beige,nissan north america inc.,36400,38000,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
282007,2014,Hyundai,Sonata,SE,Sedan,automatic,5npec4ac8eh837103,ca,3.7,6134.0,blue,gray,donlen corporation,17900,16600,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
282008,2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ap2em680100,ca,4.3,12513.0,red,black,nissan infiniti lt,29200,27000,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
282009,2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ap5em680625,ca,4.3,14283.0,red,black,nissan infiniti lt,28800,27000,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
282010,2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ap5em680544,ca,3.8,13565.0,red,black,nissan infiniti lt,27700,27000,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
282011,2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ap2em680257,ca,4.4,15618.0,red,black,nissan infiniti lt,28600,25750,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
282012,2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ap5em680415,ca,4.4,15650.0,red,black,nissan infiniti lt,27200,25500,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
282013,2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7apxem672889,ca,4.4,18799.0,gray,black,nissan infiniti lt,28000,25500,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
282014,2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ap1em680217,ca,3.9,15451.0,red,black,nissan infiniti lt,28600,25500,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
282015,2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ap0em680158,ca,4.2,13391.0,red,black,nissan infiniti lt,29000,28000,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
282016,2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ap8em670090,ca,3.9,10207.0,blue,black,nissan infiniti lt,29600,30000,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
282017,2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ap9em673905,ca,3.5,19946.0,gray,gray,nissan infiniti lt,26100,28250,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
282018,2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ap3em680414,ca,4.1,15207.0,red,black,nissan infiniti lt,28700,25500,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
282019,2014,Hyundai,Veloster,Turbo,Hatchback,automatic,kmhtc6ae3eu208919,fl,4.7,3682.0,black,black,hyundai motor america/co car,18000,17100,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
282020,2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ap9em677307,ca,4.3,18416.0,red,black,nissan infiniti lt,26500,25250,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
282021,2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ap1em680234,ca,4.2,16954.0,red,black,nissan infiniti lt,26800,25000,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
282022,2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ap3em677853,ca,4.3,11301.0,white,black,nissan infiniti lt,29400,30500,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
