num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
284999,2012,Jeep,Grand Cherokee,Laredo,SUV,automatic,1c4rjfag7cc225859,mn,5.0,22238.0,black,black,select lane,24300,24700,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
285000,2012,Jeep,Grand Cherokee,Laredo,SUV,automatic,1c4rjfag8cc163890,ga,3.9,62777.0,silver,black,young motors llc,19750,20600,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
285001,2012,Jeep,Liberty,Sport,SUV,automatic,1c4pjmakxcw156227,fl,3.7,59932.0,white,black,tdaf remarketing,13550,13700,Tue Feb 24 2015 01:00:00 GMT-0800 (PST)
285002,2012,Jeep,Liberty,Sport,SUV,automatic,1c4pjlakxcw178769,fl,3.8,51980.0,gray,black,tim short chevrolet,12450,12400,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
285003,2012,Jeep,Liberty,Sport,SUV,automatic,1c4pjlak7cw165767,fl,4.4,61275.0,silver,black,tdaf remarketing,11750,12400,Tue Feb 10 2015 01:00:00 GMT-0800 (PST)
285004,2012,Jeep,Liberty,Sport,SUV,automatic,1c4pjmakxcw140433,pa,4.3,37248.0,black,black,hann financial services,15000,13800,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
285005,2012,Jeep,Liberty,Sport,SUV,automatic,1c4pjmak6cw183702,fl,4.1,60058.0,white,black,tdaf remarketing,13500,13800,Tue Feb 10 2015 01:00:00 GMT-0800 (PST)
285006,2012,Jeep,Grand Cherokee,Laredo,SUV,automatic,1c4rjfag7cc234156,mi,4.9,31369.0,black,black,kevins marysville auto sales inc,23300,24900,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
285007,2012,Jeep,Compass,Latitude,SUV,automatic,1c4njdeb2cd651213,ca,3.6,15093.0,silver,black,ecars,16200,16500,Tue Feb 10 2015 04:30:00 GMT-0800 (PST)
285008,2012,Jeep,Grand Cherokee,Laredo,SUV,automatic,1c4rjfag8cc222016,mi,5.0,18579.0,black,black,kevins marysville auto sales inc,24600,23300,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
285009,2012,Jeep,Liberty,Sport,SUV,automatic,1c4pjlak0cw148793,fl,3.5,60220.0,silver,black,kly international llc,11800,11500,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
285010,2012,Jeep,Liberty,Sport,SUV,automatic,1c4pjmak8cw183393,fl,3.4,59832.0,black,gray,tdaf remarketing,13500,13700,Tue Feb 10 2015 01:00:00 GMT-0800 (PST)
285011,2012,Jeep,Liberty,Limited Jet,SUV,automatic,1c4pjmfk5cw150845,mi,5.0,32504.0,gray,gray,kevins marysville auto sales inc,20500,20800,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
285012,2012,Jeep,Liberty,Sport,SUV,automatic,1c4pjmak0cw142840,tx,4.3,61816.0,gray,black,the hertz corporation,13400,13800,Wed Feb 11 2015 02:05:00 GMT-0800 (PST)
