num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
286999,2010,Volvo,XC60,3.2,SUV,automatic,yv4982dz0a2086451,mo,3.8,81434.0,blue,tan,molle volkswagen molle audi,14550,14900,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
287000,2010,Volkswagen,Jetta,TDI,Sedan,manual,3vwrl7aj0am132900,ca,3.9,69648.0,gray,black,aaero sweet company,10100,11800,Wed Feb 11 2015 04:00:00 GMT-0800 (PST)
287001,2010,Toyota,Venza,Base,Wagon,automatic,4t3bk3bb5au031129,ga,4.1,94167.0,black,tan,metropolitan classic cars inc,14650,14000,Tue Feb 10 2015 05:10:00 GMT-0800 (PST)
287002,2010,Volkswagen,Tiguan,S,SUV,automatic,wvgav7ax5aw001097,ca,3.7,53863.0,white,black,bob baker volkswagen subaru,11350,12900,Wed Feb 11 2015 04:15:00 GMT-0800 (PST)
287003,2010,Toyota,RAV4,Limited,SUV,automatic,jtmdk4dv5ad015189,mi,4.3,10336.0,silver,gray,ars-cpo,18850,20000,Thu Feb 12 2015 01:00:00 GMT-0800 (PST)
287004,2010,Toyota,Yaris,Base,Sedan,automatic,jtdbt4k32a1364883,pa,3.7,75223.0,silver,black,mascio motor car,6500,6600,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
287005,2009,BMW,3 Series,328i,Coupe,automatic,wbawb33519p137110,ga,3.3,67310.0,black,black,young motors llc,14350,14400,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
287006,2009,BMW,X5,xDrive30i,SUV,automatic,5uxfe435x9l273757,ca,4.0,87284.0,silver,black,phillips auto brokerage,16850,18250,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
287007,2009,BMW,7 Series,750Li,Sedan,automatic,wbakb83589cy57491,tn,2.7,114939.0,white,tan,basney imports,23200,19500,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
287008,2009,BMW,6 Series,650i,Coupe,automatic,wbaea53599cv92577,ca,3.7,47310.0,black,black,jaguar land rover north scottsdale,27400,27750,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
287009,2009,Audi,A8,quattro,Sedan,automatic,waulv94e99n005364,il,3.9,73221.0,black,black,mercedes benz of chicago,23100,23200,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
287010,2009,Audi,A5,quattro,Coupe,automatic,waudk78t49a024406,ca,2.7,140438.0,silver,black,walters auto sales/service inc,12750,14750,Tue Feb 10 2015 04:30:00 GMT-0800 (PST)
287011,2009,BMW,X5,xDrive30i,SUV,automatic,5uxfe43569l274615,oh,2.3,78236.0,gray,black,midwestern auto group,18200,18500,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
287012,2009,BMW,3 Series,328i,Sedan,automatic,wbaph73579a175129,fl,3.7,77288.0,black,tan,sam galloway ford lincoln,11900,10200,Tue Feb 24 2015 04:00:00 GMT-0800 (PST)
287013,2009,BMW,X5,xDrive30i,SUV,automatic,5uxfe43519l261478,ca,3.5,53712.0,silver,gray,bmw of riverside,21000,21250,Tue Feb 10 2015 04:30:00 GMT-0800 (PST)
287014,2009,BMW,3 Series,328i,Sedan,automatic,wbaph53579a437445,ca,3.6,61027.0,black,black,skyhigh remarketing inc,12250,14500,Wed Feb 11 2015 04:00:00 GMT-0800 (PST)
287015,2009,Buick,Enclave,CXL,SUV,automatic,5gaev23d59j179789,wi,3.7,118232.0,brown,beige,zimbrick eastside,11300,11700,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
287016,2009,Audi,A4,2.0T Premium quattro ,Sedan,automatic,wausf78k29n064009,pa,3.5,88908.0,gray,gray,tdaf remarketing/majestic auto inc,11900,10900,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
287017,2009,BMW,3 Series,328i,Convertible,automatic,wbawl13559px24170,fl,1.9,58197.0,gray,gray,braman motors,16850,14400,Thu Feb 19 2015 01:40:00 GMT-0800 (PST)
287018,2009,BMW,1 Series,128i,Coupe,automatic,wbaup73509vk76107,la,3.5,34229.0,white,tan,ray brandt infiniti of metairie llc,13750,13900,Wed Feb 11 2015 02:15:00 GMT-0800 (PST)
287019,2009,BMW,3 Series,328i,Coupe,automatic,wbawb33529p136418,ca,2.6,60698.0,black,black,sullivan luxury cars llc,14800,16000,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
287020,2009,Audi,A4,2.0T quattro,Convertible,automatic,waudf48h49k008151,ny,2.5,71670.0,black,gray,adk auto brokers inc,11150,12500,Thu Feb 19 2015 01:45:00 GMT-0800 (PST)
287021,2009,Audi,A4,2.0T Premium quattro,Sedan,manual,waulf78k79n068156,md,3.7,83898.0,black,black,rockville audi,11500,12500,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
287022,2009,BMW,7 Series,750Li,Sedan,automatic,wbakb83589cy62335,tn,4.0,41921.0,—,gray,basney imports,30200,27000,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
287023,2009,BMW,3 Series,328i,Convertible,automatic,wbawr33589p460632,ca,4.3,51474.0,gold,beige,california auto wholesale,17750,19600,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
287024,2009,BMW,3 Series,335i,Coupe,automatic,wbawb73539p046296,nj,4.3,74604.0,blue,gray,bmw of mount laurel,16550,16500,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
287025,2009,BMW,3 Series,328i,Convertible,automatic,wbawr335x9p461636,nj,3.4,40483.0,black,brown,bmw of freehold,18800,17700,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
287026,2009,BMW,3 Series,335i,Sedan,automatic,wbapm73509a366287,ca,3.8,86550.0,gold,beige,remarketing by ge/manheim riverside,13000,10500,Tue Feb 10 2015 04:00:00 GMT-0800 (PST)
287027,2009,Acura,TSX,Base,Sedan,automatic,jh4cu26629c028174,ga,3.5,104170.0,silver,black,"ahfc/honda lease trust/hvt, inc acuras",10450,9100,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
287028,2009,Audi,A4,2.0T Premium quattro,Sedan,automatic,waulf78k59a085657,ca,2.8,102758.0,black,black,walters auto sales/service inc,9625,10600,Tue Feb 10 2015 04:30:00 GMT-0800 (PST)
287029,2009,BMW,X6,xDrive50i,SUV,automatic,5uxfg83509lz93828,nj,5.0,74706.0,black,black,bmw of atlantic city,26000,28000,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
287030,2009,BMW,5 Series,535i,Sedan,automatic,wbanw13599c161974,ca,4.2,76790.0,black,black,bmw of murrieta,14550,16000,Tue Feb 10 2015 04:30:00 GMT-0800 (PST)
287031,2009,Buick,Enclave,CXL,SUV,automatic,5gaer23dx9j210281,mo,1.9,115360.0,silver,black,cable dahmer of kansas city,11100,10900,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
287032,2009,BMW,3 Series,328i,Sedan,automatic,wbaph57569nl79279,ca,3.2,60833.0,white,—,high bid trading co inc,12900,13500,Wed Feb 25 2015 04:15:00 GMT-0800 (PST)
287033,2009,Buick,Enclave,CXL,SUV,automatic,5gaer23d19j151881,tx,3.1,107460.0,silver,gray,fairway ford henderson,11500,12600,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
287034,2009,BMW,3 Series,328i,Coupe,automatic,wbawb33519p138385,ga,4.3,34711.0,white,beige,carworks inc,16550,17200,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
287035,2009,BMW,X5,xDrive30i,SUV,automatic,5uxfe43539l263720,fl,4.0,45631.0,red,black,johnson lexus of raleigh,22000,21100,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
287036,2009,Chevrolet,Silverado 1500,LS,Crew Cab,automatic,3gcek13c89g122545,mi,2.7,80476.0,black,black,fifth third bank,16150,14500,Thu Feb 12 2015 01:30:00 GMT-0800 (PST)
287037,2009,Chevrolet,Silverado 1500,LT,Extended Cab,automatic,1gcec29jx9z266333,tx,3.7,152775.0,gray,black,brunson auto sales,10950,10500,Wed Feb 11 2015 02:20:00 GMT-0800 (PST)
287038,2009,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcek23399g243719,tx,2.9,88306.0,blue,black,hopper motorplex inc,18700,20100,Wed Feb 11 2015 02:15:00 GMT-0800 (PST)
287039,2009,Chevrolet,Avalanche,LT1,Crew Cab,automatic,3gnfk22369g129805,pa,3.5,63437.0,burgundy,tan,i g burton & co inc,19200,20500,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
287040,2009,Chevrolet,Suburban,1500 LT1,SUV,automatic,1gnfc26jx9r277249,mo,4.7,153115.0,black,black,e.t. sales,11350,11400,Tue Feb 10 2015 03:00:00 GMT-0800 (PST)
287041,2009,Cadillac,CTS,Base,Sedan,automatic,1g6du57v590167894,ca,3.9,93359.0,gray,black,buyers auto sales,12150,13000,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
287042,2009,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcek23379g171841,mo,4.7,60574.0,black,black,schroeder motors llc,20600,22900,Tue Feb 10 2015 03:00:00 GMT-0800 (PST)
287043,2009,Chevrolet,Silverado 1500,Work Truck,Extended Cab,automatic,2gcek19c091125732,oh,4.1,64474.0,red,black,exceptional motorcar llc,15700,20700,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
287044,2009,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcek23369g287662,tn,4.9,83785.0,white,black,wholesale inc # 2,19050,22000,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
287045,2009,Chevrolet,Aveo,Aveo5 LS,Hatchback,automatic,kl1td66e99b656746,tx,1.9,50538.0,black,gray,santander consumer,5100,4100,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
287046,2009,Chevrolet,Suburban,1500 LT1,SUV,automatic,1gnfk26359r245832,mn,4.2,129331.0,gray,black,select lane,13850,15300,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
287047,2009,Cadillac,Escalade ESV,Base,SUV,automatic,1gyfk26209r101454,il,2.3,111405.0,black,black,tdaf remarketing,20300,19400,Tue Feb 10 2015 02:00:00 GMT-0800 (PST)
287048,2009,Chevrolet,Silverado 2500HD,LT,Crew Cab,automatic,1gchk53659f108991,tx,2.3,176172.0,white,black,tdaf remarketing,19500,16400,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
287049,2009,Chevrolet,Silverado 1500,Work Truck,Crew Cab,automatic,3gcek13389g256195,wa,2.3,87041.0,gold,black,xcar inc,18800,17900,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
287050,2009,Cadillac,CTS,Base,Sedan,automatic,1g6ds57v890158273,mo,4.0,104306.0,—,black,jim butler chevrolet inc,10600,10250,Tue Feb 10 2015 03:00:00 GMT-0800 (PST)
287051,2009,Chevrolet,Aveo,Aveo5 LS,Hatchback,automatic,kl1td66ex9b685317,az,3.9,28592.0,silver,gray,wells fargo dealer services,5550,7200,Thu Feb 12 2015 03:00:00 GMT-0800 (PST)
287052,2009,Chevrolet,Avalanche,LS,Crew Cab,automatic,3gnfk123x9g115318,oh,3.7,74338.0,black,black,humberview chevrolet,24100,20800,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
287053,2009,Cadillac,CTS,Base,Sedan,automatic,1g6dt57v790113788,nj,2.8,77381.0,black,gray,royalton auto enterprises inc,13000,12500,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
287054,2009,Chevrolet,Suburban,1500 LT1,SUV,automatic,1gnfk26399r142672,nj,1.9,140473.0,white,black,northeast auto marketing,13300,9900,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
287055,2009,Chevrolet,Suburban,1500 LT1,SUV,automatic,1gnfk26389j120287,pa,4.0,123400.0,gray,gray,ken pollock nissan llc,14950,14000,Fri Feb 13 2015 01:15:00 GMT-0800 (PST)
287056,2009,Cadillac,Escalade Hybrid,Base,SUV,automatic,1gyfc43549r131354,ga,4.3,141072.0,white,tan,innovative auto llc,16850,15300,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
287057,2009,Chevrolet,Avalanche,LS,Crew Cab,automatic,3gnfk12089g173272,wi,3.9,41441.0,black,black,new look enterprises inc,26500,23800,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
287058,2009,Chevrolet,Aveo,Aveo5 LS,Hatchback,automatic,kl1td66e49b309583,ga,3.5,110603.0,red,gray,tdaf remarketing,3175,2900,Tue Feb 17 2015 05:00:00 GMT-0800 (PST)
287059,2009,Chevrolet,Equinox,LT,SUV,automatic,2cndl53f096232863,ga,3.7,72716.0,black,gray,hayes chrysler dodge jeep inc,8875,10200,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
287060,2009,Chevrolet,Impala,LT,Sedan,automatic,2g1wt57k191107672,tx,3.8,74175.0,black,gray,santander consumer,7225,8800,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
287061,2009,Chevrolet,Cobalt,LT,Sedan,automatic,1g1at58h997141732,nc,3.6,146712.0,black,gray,honda of concord,2550,3850,Wed Feb 11 2015 06:00:00 GMT-0800 (PST)
287062,2009,Chevrolet,Cobalt,LT,Sedan,automatic,1g1at58h897287801,ca,2.7,52926.0,red,black,symbolic motor cars,5475,6400,Tue Feb 10 2015 04:30:00 GMT-0800 (PST)
287063,2009,Chevrolet,Malibu,LT1,Sedan,automatic,1g1zh57b39f260898,fl,2.6,79692.0,white,gray,gte fcu,7475,6900,Thu Feb 12 2015 01:30:00 GMT-0800 (PST)
287064,2009,Chevrolet,Impala,LT,Sedan,automatic,2g1wt57n791264567,tx,2.6,124511.0,white,beige,westfall auto sales,4500,5900,Fri Feb 13 2015 02:00:00 GMT-0800 (PST)
287065,2009,Chevrolet,Impala,LTZ,Sedan,automatic,2g1wu57m391288420,tn,2.7,66477.0,black,black,dt inventory,8825,6400,Tue Feb 10 2015 02:30:00 GMT-0800 (PST)
287066,2009,Chevrolet,Impala,LT,Sedan,automatic,2g1wt57k491295409,ne,2.9,100544.0,silver,gray,wells fargo dealer services,6125,6200,Thu Feb 12 2015 02:30:00 GMT-0800 (PST)
287067,2009,Chevrolet,Impala,LT,Sedan,automatic,2g1wt57k891255544,tx,2.1,102016.0,gray,gray,westfall auto sales,6150,5900,Wed Feb 25 2015 02:20:00 GMT-0800 (PST)
287068,2009,Chevrolet,Cobalt,LT,Sedan,automatic,1g1at58h797105117,ca,3.0,90319.0,white,gray,lancaster honda,4350,2800,Tue Feb 10 2015 04:30:00 GMT-0800 (PST)
287069,2009,Chevrolet,Cobalt,LS,Sedan,automatic,1g1as58h497160708,tx,1.9,71439.0,black,gray,usaa financial,4900,3700,Tue Mar 03 2015 03:00:00 GMT-0800 (PST)
287070,2009,Chevrolet,Malibu,LS,Sedan,automatic,1g1zg57b294226644,tx,3.0,86515.0,beige,gray,north america financial,6800,5900,Tue Feb 17 2015 02:30:00 GMT-0800 (PST)
287071,2009,Chevrolet,Colorado,Work Truck,Extended Cab,automatic,1gcdt19e898111701,oh,4.5,92326.0,black,black,exceptional motorcar llc,10400,12200,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
287072,2009,Chevrolet,Cobalt,LT,Sedan,automatic,1g1at58h997144498,nj,2.4,76582.0,silver,tan,port view leasing & sales ltd,4475,4600,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
287073,2009,Chevrolet,Impala,LT,Sedan,automatic,2g1wt57k091122907,az,2.3,126128.0,white,black,dannys auto sales,4925,4400,Thu Feb 19 2015 03:00:00 GMT-0800 (PST)
287074,2009,Chevrolet,Corvette,Z06,Coupe,manual,1g1yz26e095106352,fl,4.7,20855.0,orange,black,tdaf remarketing,40100,45000,Tue Feb 10 2015 01:00:00 GMT-0800 (PST)
287075,2009,Chevrolet,Cobalt,LS,Sedan,automatic,1g1as58h197174064,il,3.4,64576.0,red,beige,santander consumer,4175,5500,Tue Feb 10 2015 02:00:00 GMT-0800 (PST)
287076,2009,Chevrolet,Cobalt,LT,Sedan,automatic,1g1at58h797103982,ma,3.6,107743.0,red,black,imperial ford corporation,3800,2600,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
287077,2009,Chevrolet,Malibu,LT2,Sedan,automatic,1g1zj57b29f167827,tn,2.0,72787.0,gold,tan,autonation gmc mendenhall,8650,4700,Tue Mar 10 2015 03:30:00 GMT-0700 (PDT)
287078,2009,Chevrolet,Express Cargo,2500,Van,automatic,1gcgg256x91135674,fl,2.9,142123.0,white,gray,lease plan advantage,10450,10800,Wed Feb 11 2015 07:10:00 GMT-0800 (PST)
287079,2009,Chevrolet,Impala,LT,Sedan,automatic,2g1wt57k191311940,tx,4.3,121105.0,gray,black,westfall auto sales,5250,6200,Fri Feb 13 2015 02:00:00 GMT-0800 (PST)
287080,2009,Chevrolet,Malibu,LT1,Sedan,automatic,1g1zh57b994201981,tx,4.3,119934.0,gold,black,westfall auto sales,5900,6400,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
287081,2009,Dodge,Charger,SXT,Sedan,automatic,2b3ka33v99h508492,az,3.4,66740.0,silver,gray,remarketing by ge/afs acceptance llc,9750,11100,Thu Feb 12 2015 03:00:00 GMT-0800 (PST)
287082,2009,Dodge,Charger,Base,Sedan,automatic,2b3ka43d69h536912,ca,1.9,154720.0,white,gray,santander consumer,4925,5500,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
287083,2009,Chevrolet,Traverse,LT1,SUV,automatic,1gnev23d79s156854,wa,4.1,68681.0,purple,black,big billy a/s llc,13200,16200,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
