num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
287999,2007,BMW,3 Series,328i,Sedan,automatic,wbava33527kx79103,ca,2.9,84646.0,black,beige,acura of riverside,8850,9500,Tue Feb 10 2015 04:30:00 GMT-0800 (PST)
288000,2007,Acura,MDX,Base,SUV,automatic,2hnyd28317h530012,mo,2.4,159357.0,gray,gray,arizona auto sales inc,9650,9800,Tue Feb 17 2015 03:00:00 GMT-0800 (PST)
288001,2007,BMW,3 Series,335i,Convertible,automatic,wbawl73507px49672,ca,3.5,81077.0,gray,gray,walters auto sales/service inc,14150,14500,Tue Feb 10 2015 04:30:00 GMT-0800 (PST)
288002,2007,Audi,A3,2.0T,Wagon,automatic,waunf78p17a032648,pa,3.7,75803.0,silver,black,basil toyota,8475,8000,Wed Feb 11 2015 01:00:00 GMT-0800 (PST)
288003,2007,Audi,A6,3.2,Sedan,automatic,wauah74fx7n109953,ca,3.5,89053.0,white,beige,centerone/macul,8450,6500,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
288004,2007,Acura,MDX,Base,SUV,automatic,2hnyd28547h509298,pa,4.3,146191.0,black,beige,car sense incorporated,11200,11300,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
288005,2007,BMW,3 Series,328i,Sedan,automatic,wbavc53527fz76240,ca,3.5,107879.0,black,tan,s/s auto wholesale,7700,8200,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
288006,2007,Acura,MDX,Base,SUV,automatic,2hnyd28367h508779,nj,2.9,102136.0,gray,black,auction access auto inc,13850,13400,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
288007,2007,Audi,Q7,3.6 Premium quattro,SUV,automatic,wa1by74l37d056283,ca,3.7,96065.0,white,beige,walters auto sales/service inc,12900,15000,Tue Feb 10 2015 04:30:00 GMT-0800 (PST)
288008,2007,Audi,Q7,4.2 quattro,SUV,automatic,wa1av74l27d011274,oh,2.9,70144.0,gray,black,kings volkswagen,14350,14000,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
288009,2007,BMW,3 Series,328i,Sedan,automatic,wbavc53577fz81904,ca,2.7,68286.0,white,beige,santander consumer,9900,12500,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
