num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
288999,2006,Nissan,Maxima,3.5 SE,Sedan,automatic,1n4ba41e76c814960,ca,1.9,67830.0,gray,black,santander consumer,5425,4000,Thu Feb 19 2015 04:00:00 GMT-0800 (PST)
289000,2006,Nissan,Xterra,X,SUV,automatic,5n1an08w46c513544,pa,4.4,193600.0,gray,gray,enterprise car sales,3175,3200,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
289001,2006,Nissan,Xterra,S,SUV,automatic,5n1an08u66c517853,nv,2.0,121562.0,black,—,fast cash title loans,5050,4100,Thu Feb 12 2015 03:00:00 GMT-0800 (PST)
289002,2006,Nissan,Pathfinder,SE,SUV,automatic,5n1ar18u76c605501,fl,2.6,169955.0,silver,black,dab auto world & leasing,4300,4200,Tue Feb 10 2015 08:00:00 GMT-0800 (PST)
289003,2006,Nissan,Titan,LE,Crew Cab,automatic,1n6aa07a46n573220,az,2.1,93267.0,white,gray,remarketing of america,8325,8600,Thu Feb 12 2015 03:00:00 GMT-0800 (PST)
289004,2006,Nissan,Frontier,XE,King Cab,automatic,1n6bd06t16c467074,ca,2.9,154461.0,white,gray,onemain rem/hawthorne motors pre-owned,5400,5200,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
289005,2006,Pontiac,G6,Base,Sedan,automatic,1g2zf55b664214414,oh,1.9,110784.0,gray,black,car now acceptance co/columbus,3750,3900,Thu Feb 26 2015 01:00:00 GMT-0800 (PST)
289006,2006,Nissan,Murano,SE,SUV,automatic,jn8az08w56w543079,ca,2.8,97121.0,silver,black,danna investments llc,6675,7000,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
289007,2006,Pontiac,G6,Base,Sedan,automatic,1g2zg558664218402,fl,3.7,96430.0,black,black,santander consumer,4100,5900,Thu Feb 12 2015 01:30:00 GMT-0800 (PST)
289008,2006,Nissan,Maxima,3.5 SL,Sedan,automatic,1n4ba41e46c845499,la,3.8,89364.0,white,gray,don's wholesale llc,4700,7400,Wed Feb 11 2015 02:15:00 GMT-0800 (PST)
289009,2006,Nissan,Sentra,1.8 S,Sedan,automatic,3n1cb51d26l462225,tx,2.1,62822.0,blue,gray,santander consumer,4025,4900,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
289010,2006,Nissan,Pathfinder,LE,SUV,automatic,5n1ar18w96c647752,mo,1.9,81759.0,white,black,elco chevrolet inc,9125,7100,Tue Feb 10 2015 02:30:00 GMT-0800 (PST)
289011,2006,Nissan,Murano,SL,SUV,automatic,jn8az08w06w537013,mo,2.8,108701.0,—,beige,west county nissan,7225,8500,Tue Feb 10 2015 03:00:00 GMT-0800 (PST)
289012,2006,Nissan,Xterra,S,SUV,automatic,5n1an08u06c534664,ga,4.7,174319.0,white,beige,lagrange toyota inc,3650,4300,Tue Feb 10 2015 04:30:00 GMT-0800 (PST)
289013,2006,Nissan,Maxima,3.5 SL,Sedan,automatic,1n4ba41e56c813032,ca,3.5,90811.0,black,black,surf city nissan,4675,6750,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
289014,2006,Pontiac,G6,Base,Sedan,automatic,1g2zg558064125102,ca,3.6,90755.0,white,black,california auto exchange,4200,6100,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
289015,2006,Nissan,Murano,SL,SUV,automatic,jn8az08t66w420915,ga,3.2,102585.0,blue,tan,cameron motor sports,7000,7600,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
289016,2006,Nissan,Pathfinder,LE,SUV,automatic,5n1ar18w96c646889,va,2.8,98387.0,blue,gray,prestige financial services,8200,8600,Thu Feb 12 2015 01:20:00 GMT-0800 (PST)
289017,2006,Pontiac,G6,Base,Sedan,automatic,1g2zg558064184053,il,2.7,138245.0,gray,black,nationwide acceptance,3150,3100,Thu Feb 26 2015 06:00:00 GMT-0800 (PST)
289018,2006,Saab,9-7X,5.3i,SUV,automatic,5s3et13m062801049,tx,1.9,130639.0,black,tan,usaa financial,3425,4750,Tue Feb 17 2015 03:00:00 GMT-0800 (PST)
289019,2006,Saab,9-3,2.0T,Sedan,manual,ys3fd45y361100755,ga,3.2,124043.0,blue,gray,gwinnett place honda,2075,3300,Tue Feb 17 2015 05:00:00 GMT-0800 (PST)
289020,2006,Pontiac,G6,GTP,Coupe,automatic,1g2zm151564122362,fl,3.5,94692.0,white,black,xtreme auto wholesalers inc,5125,6500,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
289021,2006,Pontiac,Torrent,Base,SUV,automatic,2ckdl73f566117860,pa,3.8,46545.0,black,black,lansdale chrysler dodge jeep ram,5700,4000,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
