num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
291999,2013,GMC,Terrain,SLT-2,SUV,automatic,2gkflxe35d6115062,va,4.5,37963.0,black,black,infinity auto sales llc,20900,20700,Thu Feb 19 2015 09:50:00 GMT-0800 (PST)
292000,2013,Ford,Taurus,SEL,Sedan,automatic,1fahp2e85dg221511,az,2.8,53841.0,green,black,the hertz corporation,13400,12000,Thu Feb 12 2015 03:30:00 GMT-0800 (PST)
292001,2013,Honda,Accord,Sport,Sedan,manual,1hgcr2e56da197597,pa,3.9,22056.0,gray,black,"ahfc/honda lease trust/hvt, inc.",16950,17300,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
292002,2013,Honda,Odyssey,EX,Minivan,automatic,5fnrl5h47db057421,pa,2.8,18043.0,red,tan,"ahfc/honda lease trust/hvt, inc.",22900,20800,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
292003,2013,Honda,CR-V,LX,SUV,automatic,5j6rm3h3xdl018211,ca,2.4,42803.0,green,black,avis corporation,16350,16300,Thu Feb 12 2015 03:30:00 GMT-0800 (PST)
292004,2013,Honda,Civic,LX,Sedan,automatic,2hgfb2f54dh594694,nv,2.7,5653.0,gray,black,remarketing by ge/manheim nevada,14150,11750,Fri Feb 13 2015 04:00:00 GMT-0800 (PST)
292005,2013,Honda,Accord,EX-L V-6,Coupe,manual,1hgct2a8xda004966,in,3.9,20435.0,gray,gray,honda manufacturing of alabama,20500,19750,Thu Feb 12 2015 02:10:00 GMT-0800 (PST)
292006,2013,Honda,CR-V,LX,SUV,automatic,5j6rm4h34dl074554,pa,4.5,18295.0,off-white,gray,"ahfc/honda lease trust/hvt, inc.",18600,19500,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
292007,2013,Honda,Accord,Sport,Sedan,automatic,1hgcr2f57da002220,ga,2.7,54112.0,black,black,mercedes benz of buckhead,15550,15200,Tue Feb 10 2015 05:00:00 GMT-0800 (PST)
292008,2013,Honda,Civic,LX PZEV,Sedan,automatic,19xfb2f57de267216,ca,3.7,13806.0,red,beige,sullivan luxury cars llc,13400,13750,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
292009,2013,GMC,Yukon XL,SLT 1500,SUV,automatic,1gks2ke75dr196009,az,3.8,55004.0,brown,black,the hertz corporation,27100,27400,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
292010,2013,Hyundai,Accent,GLS,Sedan,automatic,kmhcu4ae4du279420,pa,3.0,29550.0,blue,beige,remarketing by ge/flagship credit acceptance,9825,7500,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
292011,2013,Honda,Pilot,Touring w/Navigation and Rear Entertainment,SUV,automatic,5fnyf4h93db050748,in,4.4,37874.0,gray,gray,honda manufacturing of alabama,28800,28250,Thu Feb 12 2015 02:10:00 GMT-0800 (PST)
292012,2013,Hyundai,Accent,GLS,Sedan,automatic,kmhct4ae9du509844,tx,3.7,38904.0,white,beige,enterprise veh exchange/rental,9450,10100,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
292013,2013,Honda,Pilot,EX-L,SUV,automatic,5fnyf4h57db027969,tx,2.4,34352.0,blue,gray,david mcdavid honda of frisco,26700,21000,Wed Feb 11 2015 02:20:00 GMT-0800 (PST)
292014,2013,Honda,Pilot,EX-L w/Rear Entertainment,SUV,automatic,5fnyf4h67db081913,in,4.4,39896.0,black,gray,honda manufacturing of alabama,26500,26000,Thu Feb 12 2015 02:10:00 GMT-0800 (PST)
292015,2013,Honda,Pilot,Touring w/Navigation and Rear Entertainment,SUV,automatic,5fnyf4h90db010191,in,4.3,32545.0,red,black,honda of america manufacturing,29400,29500,Thu Feb 12 2015 02:10:00 GMT-0800 (PST)
292016,2013,Honda,Pilot,Touring w/Navigation and Rear Entertainment,SUV,automatic,5fnyf4h90db079060,pa,3.7,17280.0,red,beige,"ahfc/honda lease trust/hvt, inc.",30900,29500,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
292017,2013,Honda,Pilot,EX-L w/Navigation,SUV,automatic,5fnyf4h76db018259,pa,2.5,35692.0,black,gray,"ahfc/honda lease trust/hvt, inc.",26800,24600,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
292018,2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae0dh333593,pa,4.3,33901.0,gray,gray,avis corporation,11400,11100,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
292019,2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae3dh361470,wa,3.8,41936.0,silver,gray,avis corporation,11000,11200,Wed Feb 11 2015 04:55:00 GMT-0800 (PST)
292020,2013,Hyundai,Santa Fe,Sport,SUV,automatic,5xyzt3lb1dg058339,fl,4.2,41831.0,green,beige,avis corporation,16500,16500,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
292021,2013,Hyundai,Genesis Coupe,2.0T,Genesis Coupe,manual,kmhht6kd0du097501,ca,2.7,36786.0,gray,red,san diego sports cars,15100,17750,Wed Feb 11 2015 04:15:00 GMT-0800 (PST)
292022,2013,Hyundai,Sonata Hybrid,Base,Sedan,automatic,kmhec4a44da070540,ca,4.1,44778.0,gray,gray,enterprise veh exchange/rental,12750,13900,Thu Feb 12 2015 03:30:00 GMT-0800 (PST)
292023,2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac9dh711561,ca,1.0,37890.0,red,gray,enterprise vehicle exchange / tra / rental / tulsa,12350,11300,Tue Feb 10 2015 04:00:00 GMT-0800 (PST)
292024,2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac7dh710294,sc,3.7,44118.0,silver,gray,enterprise veh exchange/rental,12000,10800,Thu Feb 12 2015 01:30:00 GMT-0800 (PST)
292025,2013,Hyundai,Sonata Hybrid,Limited,Sedan,automatic,kmhec4a48da097174,co,4.9,10305.0,silver,gray,red noland cadillac inc.,18650,19100,Wed Feb 18 2015 03:45:00 GMT-0800 (PST)
292026,2013,Jeep,Wrangler,Unlimited Sahara,SUV,automatic,1c4bjweg8dl537685,mi,4.9,35639.0,silver,black,stratford hyundai,29200,27200,Thu Feb 12 2015 01:30:00 GMT-0800 (PST)
292027,2013,Jaguar,XF,Base,Sedan,automatic,sajwa0es0dps63749,fl,3.0,25706.0,black,black,crown eurocars inc,31200,29000,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
292028,2013,Jeep,Wrangler,Unlimited Sahara,SUV,automatic,1c4hjweg6dl690589,co,4.9,17163.0,silver,black,the auto connection,30500,31700,Wed Feb 11 2015 03:15:00 GMT-0800 (PST)
292029,2013,Kia,Optima,SX,Sedan,automatic,5xxgr4a62dg094644,mo,4.4,44992.0,blue,black,century sales & leasing inc,18900,20900,Tue Feb 10 2015 03:00:00 GMT-0800 (PST)
292030,2013,Kia,Rio,LX,Sedan,automatic,knadm4a31d6266438,tx,2.8,38759.0,red,tan,enterprise veh exchange/rental,8825,9900,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
292031,2013,Kia,Forte,LX,Sedan,automatic,knaft4a27d5714710,pr,3.6,37710.0,gray,gray,reliable financial services inc,9075,9700,Thu Feb 12 2015 03:00:00 GMT-0800 (PST)
292032,2013,Kia,Soul,+,Wagon,automatic,kndjt2a6xd7761349,fl,1.0,39305.0,white,black,hertz/tra,11750,5800,Wed Feb 11 2015 06:30:00 GMT-0800 (PST)
292033,2013,Kia,Soul,+,Wagon,automatic,kndjt2a67d7483722,wa,4.1,44998.0,brown,black,avis corporation,11450,12000,Wed Feb 11 2015 04:55:00 GMT-0800 (PST)
292034,2013,Kia,Sorento,LX,SUV,automatic,5xykt3a16dg379286,nj,4.4,28820.0,white,black,sansone jrs 66 nissan,16000,15250,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
292035,2013,Lexus,ES 350,Base,Sedan,automatic,jthbk1ggxd2018588,fl,4.8,27579.0,gold,beige,ambar motors inc,27600,29300,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
292036,2014,Buick,Verano,Convenience Group,Sedan,automatic,1g4pr5sk3e4102095,pa,4.4,20534.0,blue,gray,rick weaver buick pont gmc trk,14950,14500,Wed Feb 11 2015 01:00:00 GMT-0800 (PST)
292037,2014,BMW,X1,xDrive28i,SUV,automatic,wbavl1c50evy13369,mn,4.6,8512.0,white,tan,feldmann imports inc,27300,28000,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
292038,2014,Buick,Encore,Convenience,SUV,automatic,kl4cjfsb4eb677683,mn,4.7,12301.0,red,gray,onemain rem/city select motors,20700,21000,Thu Feb 12 2015 02:45:00 GMT-0800 (PST)
292039,2014,Buick,Verano,Convenience Group,Sedan,automatic,1g4pr5sk0e4152307,ca,4.4,32275.0,white,gray,avis corporation,14450,15100,Thu Feb 19 2015 03:30:00 GMT-0800 (PST)
