num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
292999,2005,Honda,Accord,Hybrid,Sedan,automatic,jhmcn36495c002697,pa,1.9,129588.0,gray,gray,nawi leasing inc,4775,3900,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
293000,2005,Honda,Accord,EX,Sedan,automatic,1hgcm56855a145422,in,2.5,121668.0,gold,tan,dan powers chevrolet buick gmc,5400,6000,Thu Feb 12 2015 02:10:00 GMT-0800 (PST)
293001,2005,Honda,Civic,Si,Hatchback,manual,shhep33615u503840,tx,3.6,199942.0,black,black,texas direct auto,3125,3800,Wed Feb 11 2015 02:20:00 GMT-0800 (PST)
293002,2005,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl38635b040865,fl,1.9,159358.0,red,tan,autonation cadillac west palm beach,4350,3400,Tue Feb 10 2015 08:00:00 GMT-0800 (PST)
293003,2005,Hyundai,Santa Fe,GLS,SUV,automatic,km8sc73dx5u939918,ne,2.0,106134.0,burgundy,tan,purple heart services inc,3475,800,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
293004,2005,Infiniti,G35,Base,Coupe,automatic,jnkcv54e05m420406,fl,1.9,127473.0,black,black,nicholas financial inc/clearwater,6475,5900,Thu Feb 12 2015 07:00:00 GMT-0800 (PST)
293005,2005,Infiniti,G35,x,Sedan,automatic,jnkcv51f15m309084,ca,3.2,68412.0,gray,tan,high bid trading co inc,7450,10000,Wed Feb 11 2015 04:15:00 GMT-0800 (PST)
293006,2005,Jaguar,S-Type,3.0,Sedan,automatic,sajwa01t45fn50307,fl,3.0,85535.0,white,beige,summer enterprises of miami inc,4300,6300,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
293007,2005,Hyundai,Sonata,GL,Sedan,automatic,kmhwf25s55a189854,oh,1.0,151986.0,silver,black,hatfield hyundai,1525,600,Tue Feb 10 2015 05:00:00 GMT-0800 (PST)
293008,2005,Ford,Altima,Base,Sedan,automatic,salag25475a311930,ut,4.3,158936.0,blue,tan,larry h. miller toyota,6125,6000,Wed Feb 11 2015 03:00:00 GMT-0800 (PST)
293009,2005,Kia,Sorento,EX,SUV,automatic,kndjd733755492124,ga,2.6,149343.0,gold,beige,nalley ford sandy springs,2400,2300,Tue Feb 10 2015 05:00:00 GMT-0800 (PST)
293010,2005,Lexus,ES 330,Base,Sedan,automatic,jthba30g555109390,ga,2.8,134055.0,black,black,germain bmw of naples,6800,5800,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
293011,2005,Ford,Altima,Base,Sedan,manual,jm1fe173650152017,oh,3.4,89890.0,burgundy,tan,bobb automotive inc,3700,6000,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
293012,2005,Nissan,Altima,2.5 S,Sedan,automatic,1n4al11d95c156505,ca,2.8,117385.0,white,tan,honda cars of corona,3250,4000,Wed Feb 11 2015 04:15:00 GMT-0800 (PST)
293013,2005,Mitsubishi,Galant,ES,Sedan,automatic,4a3ab36f15e032085,fl,1.9,88159.0,gray,black,southern auto finance co/safco/ft lauderdale,3000,4100,Fri Feb 13 2015 01:25:00 GMT-0800 (PST)
293014,2005,Mercedes-Benz,S-Class,S500,Sedan,automatic,wdbng75j55a447368,ca,3.5,72188.0,silver,purple,stg auto group,10700,9100,Wed Feb 11 2015 04:00:00 GMT-0800 (PST)
293015,2005,Mercury,Montego,Premier,Sedan,automatic,1mefm42135g619121,fl,3.6,88936.0,green,tan,southern auto finance co/safco/ft lauderdale,4650,5600,Fri Feb 13 2015 01:25:00 GMT-0800 (PST)
293016,2005,Mercedes-Benz,S-Class,S430 4MATIC,Sedan,automatic,wdbng83j35a460631,nj,3.9,125845.0,beige,black,frank matteo inc,6250,6500,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
293017,2005,Nissan,Murano,SL,SUV,automatic,jn8az08t25w324407,nc,2.1,134116.0,burgundy,beige,hendrick honda hickory,5025,4200,Wed Feb 11 2015 06:00:00 GMT-0800 (PST)
293018,2005,Nissan,Pathfinder,LE,SUV,automatic,5n1ar18w75c756497,oh,3.1,151529.0,silver,gray,ohio auto imports inc,4850,3950,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
293019,2005,Nissan,Murano,S,SUV,automatic,jn8az08t75w300684,fl,2.9,89237.0,silver,black,remarketing by ge/drivetime,5850,6500,Wed Feb 11 2015 01:00:00 GMT-0800 (PST)
293020,2005,Nissan,Altima,3.5 SL,Sedan,automatic,1n4bl11d95c127283,fl,2.0,136843.0,beige,tan,southern auto finance co/safco/ft lauderdale,3550,2600,Fri Mar 06 2015 01:25:00 GMT-0800 (PST)
293021,2005,Suzuki,XL-7,LX,SUV,automatic,js3ty92v054102290,ga,1.9,175391.0,beige,beige,mercedes benz of buckhead,1575,3200,Tue Feb 10 2015 05:00:00 GMT-0800 (PST)
293022,2005,Saturn,ION,2,Sedan,automatic,1g8aj52f55z104867,pa,3.8,126960.0,silver,gray,meridian remarketing,1750,1500,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
293023,2005,Saturn,ION,1,Sedan,automatic,1g8ag52f25z149201,oh,1.0,147050.0,black,gray,toyota west,1125,900,Tue Feb 10 2015 05:00:00 GMT-0800 (PST)
293024,2005,Pontiac,Grand Am,SE Fleet,Sedan,automatic,1g2ne52ex5m127503,ga,1.0,151045.0,silver,gray,purple heart,1275,500,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
293025,2005,Pontiac,G6,Base,Sedan,automatic,1g2zg528454160048,oh,1.9,102129.0,black,gray,aex credit services,3675,3700,Thu Feb 12 2015 01:00:00 GMT-0800 (PST)
293026,2005,Toyota,Corolla,CE,Sedan,automatic,2t1br32e95c859447,nj,2.9,139345.0,silver,gray,certified motor car llc,3825,3400,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
293027,2005,Toyota,4Runner,Limited,SUV,automatic,jtezu17r758033006,co,2.8,112092.0,white,gray,manheim georgia,9550,6500,Tue Mar 03 2015 04:00:00 GMT-0800 (PST)
293028,2005,Toyota,Avalon,Limited,Sedan,automatic,4t1bk36b25u020954,tx,3.8,134412.0,blue,tan,tdaf remarketing,6375,8500,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
