num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
297999,2004,Dodge,Durango,SLT,SUV,automatic,1d4hb48d54f187236,wi,1.0,127358.0,burgundy,gray,braeger chevrolet,3775,1400,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
298000,2004,Chrysler,PT Cruiser,GT,Wagon,automatic,3c8fy78g04t365671,ca,1.9,81627.0,silver,black,santander consumer,2225,2900,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
298001,2004,Dodge,Dakota,SLT,Club Cab,automatic,1d7gl42k84s744327,mo,1.9,79772.0,black,black,hendrick nissan kansas city,4925,3200,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
298002,2004,Dodge,Ram Pickup 1500,SLT,Quad Cab,automatic,1d7hu18d94s679576,nc,1.9,136381.0,red,black,north state acceptance,8300,4400,Tue Mar 10 2015 02:15:00 GMT-0700 (PDT)
298003,2004,Dodge,Grand Caravan,SXT,Minivan,automatic,2d4gp44l84r527742,oh,2.2,150887.0,red,gray,aex credit services,1850,2100,Thu Feb 12 2015 01:00:00 GMT-0800 (PST)
298004,2004,Dodge,Ram Pickup 1500,SLT,Quad Cab,automatic,1d7ha18dx4j197617,nc,1.9,159444.0,gray,gray,hendrick chevrolet,5475,5800,Mon Feb 23 2015 01:30:00 GMT-0800 (PST)
298005,2004,Dodge,Durango,Limited,SUV,automatic,1d4hb58d24f219744,ny,2.0,112849.0,black,gray,danbury auto group inc,5500,1300,Wed Feb 11 2015 01:00:00 GMT-0800 (PST)
298006,2004,Chrysler,Sebring,Base,Coupe,automatic,4c3ag42g04e079408,nv,1.3,105275.0,silver,gray,quality acceptance,1275,600,Thu Feb 12 2015 03:00:00 GMT-0800 (PST)
298007,2004,Dodge,Intrepid,SE,Sedan,automatic,2b3hd46r24h651301,nc,2.3,138887.0,gold,gray,credit acceptance corp/vrs/southfield,800,900,Mon Feb 16 2015 01:30:00 GMT-0800 (PST)
298008,2004,Dodge,Ram Pickup 1500,SLT,Quad Cab,automatic,1d7ha18n04j178230,fl,2.6,101417.0,red,gray,credit acceptance corp/vrs/southfield,6050,7300,Thu Feb 26 2015 09:00:00 GMT-0800 (PST)
298009,2004,Dodge,Ram Pickup 1500,ST,Quad Cab,automatic,1d7hu18d84j217600,wa,2.9,141674.0,white,black,remarketing by ge/sound credit union,8100,7000,Wed Feb 11 2015 04:00:00 GMT-0800 (PST)
298010,2004,Dodge,Durango,SLT,SUV,automatic,1d4hb48d64f176844,ca,2.9,1.0,white,gray,american auto finance,6750,700,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
298011,2014,Ford,E-Series Van,E-250,E-Series Van,automatic,1ftne2ew5eda10264,mi,4.5,11295.0,white,gray,u-haul,22400,22200,Thu Feb 12 2015 01:30:00 GMT-0800 (PST)
298012,2014,Ford,E-Series Van,E-250,E-Series Van,automatic,1ftne2ew9eda17444,fl,3.9,9615.0,white,gray,u-haul,22500,21800,Thu Feb 12 2015 01:15:00 GMT-0800 (PST)
298013,2014,Ford,F-350 Super Duty,Lariat,Crew Cab,automatic,1ft8w3dt2eea51582,tn,3.8,97445.0,black,black,ford-lincoln dealer program,37900,40000,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
