num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
298999,2014,Nissan,Pathfinder,SL,SUV,automatic,5n1ar2mm4ec689786,wa,4.6,16125.0,gray,beige,nissan north america inc.,30600,31000,Wed Feb 18 2015 05:15:00 GMT-0800 (PST)
299000,2014,Nissan,Rogue,S,SUV,automatic,5n1at2mt1ec817930,pa,3.8,13769.0,red,black,tdaf remarketing,15950,16200,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
299001,2014,Nissan,Quest,SV,Minivan,automatic,jn8ae2kp5e9104194,ca,3.6,6319.0,silver,gray,santander consumer,23300,21500,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
299002,2014,Nissan,Versa Note,1.6 SV,Hatchback,automatic,3n1ce2cp4el406931,wa,5.0,3228.0,blue,black,nissan north america inc.,11800,11900,Wed Feb 18 2015 05:15:00 GMT-0800 (PST)
299003,2014,Nissan,Versa,1.6 SV,Sedan,automatic,3n1cn7ap9el836793,wa,5.0,14542.0,gray,black,nissan motor acceptance corporation,10300,10500,Wed Feb 18 2015 05:15:00 GMT-0800 (PST)
299004,2014,Nissan,Versa,1.6 SV,Sedan,automatic,3n1cn7ap8el828720,ga,3.9,31597.0,gray,black,nissan motor acceptance corporation,9425,8600,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
299005,2014,Nissan,Versa Note,1.6 SV,Hatchback,automatic,3n1ce2cp3el419637,ga,4.9,16513.0,black,black,nissan motor acceptance corporation,10900,11600,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
299006,2014,Nissan,Versa,1.6 SV,Sedan,automatic,3n1cn7ap2el874236,wa,4.6,21213.0,silver,black,nissan motor acceptance corporation,9975,10200,Wed Feb 18 2015 05:15:00 GMT-0800 (PST)
299007,2014,Nissan,Versa,1.6 SV,Sedan,automatic,3n1cn7ap1el836416,il,4.3,6489.0,—,gray,nissan motor acceptance corporation,10450,11100,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
299008,2014,Nissan,Versa,1.6 SV,Sedan,automatic,3n1cn7ap5el802379,wi,3.6,37312.0,gray,gray,avis corporation,9925,10000,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
299009,2014,Nissan,Versa,1.6 SV,Sedan,automatic,3n1cn7ap5el867880,ga,4.4,32072.0,blue,black,nissan motor acceptance corporation,9400,9800,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
299010,2014,Nissan,Versa Note,1.6 SV,Hatchback,automatic,3n1ce2cp4el379102,wa,4.4,9891.0,blue,black,nissan motor acceptance corporation,11450,12800,Wed Feb 18 2015 05:15:00 GMT-0800 (PST)
299011,2014,Nissan,Versa,1.6 SV,Sedan,automatic,3n1cn7ap3el800629,fl,4.5,33541.0,white,black,remarketing by ge/manheim orlando,10100,10700,Wed Feb 18 2015 01:00:00 GMT-0800 (PST)
299012,2014,Nissan,Versa Note,1.6 SV,Hatchback,automatic,3n1ce2cp8el423215,nv,4.9,5584.0,blue,black,remarketing by ge/flagship credit acceptance,11400,11500,Fri Feb 13 2015 04:00:00 GMT-0800 (PST)
299013,2014,Nissan,Versa Note,1.6 SV,Hatchback,automatic,3n1ce2cp3el400960,oh,4.7,6610.0,blue,black,nissan north america inc.,11350,11700,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
299014,2014,Nissan,Versa,1.6 SV,Sedan,automatic,3n1cn7apxel874517,ga,3.7,22372.0,—,black,nissan motor acceptance corporation,9850,7400,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
299015,2014,Nissan,Versa Note,1.6 SV,Hatchback,manual,3n1ce2cp3el390334,ca,4.2,7778.0,gray,black,santander consumer,11200,11500,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
299016,2014,Nissan,Versa,1.6 SV,Sedan,automatic,3n1cn7ap7el845623,tn,4.1,10580.0,—,black,nissan north america inc.,10500,10800,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
299017,2014,Nissan,Versa,1.6 SV,Sedan,automatic,3n1cn7ap5el822986,ca,3.8,43774.0,black,black,avis rac/san leandro,9750,10200,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
299018,2014,Nissan,Sentra,S,Sedan,automatic,3n1ab7apxey259730,ga,4.9,9606.0,gray,black,capital one auto finance,13100,13200,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
