num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
300999,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3apxen334187,az,4.2,32849.0,gray,black,avis corporation,14100,14300,Thu Feb 12 2015 03:30:00 GMT-0800 (PST)
301000,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap9ec195245,fl,4.4,13253.0,red,beige,napleton's palm beach acura,14600,15300,Thu Feb 12 2015 02:20:00 GMT-0800 (PST)
301001,2014,Mitsubishi,Mirage,ES,Hatchback,automatic,ml32a4hj4eh000928,pr,4.4,9711.0,green,black,scotiabank de puerto rico,9800,10100,Thu Feb 19 2015 03:00:00 GMT-0800 (PST)
301002,2014,Mitsubishi,Mirage,DE,Hatchback,automatic,ml32a3hj4eh005654,pr,4.3,18463.0,beige,black,reliable financial services inc,8975,10200,Thu Feb 12 2015 03:00:00 GMT-0800 (PST)
301003,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap0ec202034,nv,3.7,36415.0,black,black,enterprise veh exchange/rental,14000,14100,Fri Feb 13 2015 04:00:00 GMT-0800 (PST)
301004,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap8en388328,nc,4.6,11949.0,black,gray,santander consumer,14750,15400,Mon Feb 16 2015 01:30:00 GMT-0800 (PST)
301005,2014,Mitsubishi,Outlander Sport,ES,SUV,automatic,4a4ar3au1ee002808,ma,2.9,17407.0,blue,black,capital one auto finance,15350,15300,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
301006,2014,Nissan,Murano,S,SUV,automatic,jn8az1muxew416143,nv,4.3,22335.0,black,black,enterprise veh exchange/rental,18150,18200,Fri Feb 13 2015 04:00:00 GMT-0800 (PST)
301007,2014,Nissan,GT-R,Premium,Coupe,automatic,jn1ar5ef0em271115,pa,4.8,2321.0,white,burgundy,r hollenshead auto sales inc,79000,83750,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
301008,2014,Nissan,Sentra,FE+ S,Sedan,automatic,3n1ab7ap9el650154,pr,2.4,52210.0,white,black,caparra motor services inc. dba target rac,11450,12800,Thu Feb 12 2015 03:00:00 GMT-0800 (PST)
301009,2014,Nissan,Versa Note,1.6 SV,Hatchback,automatic,3n1ce2cp9el382951,pa,4.3,29332.0,white,black,avis rent a car/barbush rentals,9975,10000,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
301010,2014,Nissan,Versa Note,1.6 SV,Hatchback,automatic,3n1ce2cp2el380779,pa,4.2,29954.0,blue,black,avis rent a car/barbush rentals,9950,10000,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
301011,2014,Nissan,Versa,1.6 SV,Sedan,automatic,3n1cn7ap2el805174,pr,2.9,69235.0,white,black,aaa car rental inc,8175,9000,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
301012,2014,Ram,1500,Tradesman,Crew Cab,automatic,1c6rr6kt7es258574,nc,4.1,16415.0,black,gray,chrysler capital,23300,23400,Mon Feb 16 2015 01:30:00 GMT-0800 (PST)
301013,2014,Nissan,Versa,1.6 SV,Sedan,automatic,3n1cn7ap9el818570,pa,4.4,35750.0,gray,black,avis rent a car/barbush rentals,10100,10100,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
301014,2014,Nissan,Versa,1.6 SV,Sedan,automatic,3n1cn7ap2el818460,pa,3.7,30059.0,white,black,avis rent a car/barbush rentals,10250,10000,Fri Feb 20 2015 01:00:00 GMT-0800 (PST)
301015,2014,Nissan,Xterra,S,SUV,automatic,5n1an0nu0en803558,nv,4.4,27470.0,white,gray,enterprise veh exchange/rental,18400,18400,Fri Feb 13 2015 04:00:00 GMT-0800 (PST)
301016,2014,Ram,1500,SLT,Quad Cab,automatic,1c6rr6gt2es364388,ca,4.4,22787.0,white,gray,enterprise veh exchange/rental,22600,20700,Thu Feb 12 2015 03:30:00 GMT-0800 (PST)
301017,2015,Mazda,Mazda6,i Sport,Sedan,automatic,jm1gj1u5xf1180078,pa,4.1,18846.0,black,black,enterprise veh exchange/rental,17300,17400,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
301018,2015,Mazda,Mazda6,i Sport,Sedan,automatic,jm1gj1u65f1172513,pa,3.4,23634.0,gray,black,enterprise veh exchange/rental,17150,17300,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
301019,2015,Mazda,CX-5,Touring,SUV,automatic,jm3ke4cy2f0435315,pa,4.2,14484.0,black,black,smith haven mazda,21000,20100,Fri Feb 13 2015 01:15:00 GMT-0800 (PST)
