num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
302999,2010,Hyundai,Tucson,Limited,SUV,automatic,km8jucac1au022520,qc,4.1,119822.0,gray,black,financialinx,12350,11700,Tue Feb 17 2015 02:00:00 GMT-0800 (PST)
303000,2010,Hyundai,Elantra Touring,GLS,Hatchback,automatic,kmhdb8ae8au074177,qc,5.0,78659.0,blue,black,financialinx,5225,6700,Tue Feb 17 2015 02:00:00 GMT-0800 (PST)
303001,2010,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl3h6xab005640,nj,4.4,29512.0,brown,beige,ford-lincoln dealer program,17900,19200,Wed Feb 18 2015 01:00:00 GMT-0800 (PST)
303002,2010,Ford,Altima,Base,Sedan,automatic,kmhdt4bd0au970890,qc,3.7,90865.0,silver,black,financialinx,4575,4800,Tue Feb 17 2015 02:00:00 GMT-0800 (PST)
303003,2010,Hyundai,Elantra Touring,SE,Hatchback,automatic,kmhdc8ae9au071821,qc,4.4,31347.0,black,black,financialinx,7050,7700,Tue Feb 17 2015 02:00:00 GMT-0800 (PST)
303004,2010,Hyundai,Accent,GS,Hatchback,automatic,kmhcm3ac9au156135,md,2.5,71655.0,silver,black,sheehy hyundai of waldorf,4600,3900,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
303005,2010,Ford,Altima,Base,Sedan,automatic,5nmsgdag8ah338318,qc,3.6,89065.0,blue,black,financialinx,10600,11900,Tue Feb 17 2015 02:00:00 GMT-0800 (PST)
303006,2010,Jeep,Liberty,Sport,SUV,automatic,1j4pn2gk2aw130227,tx,4.5,90618.0,white,gray,dt credit corporation,9850,8500,Tue Feb 17 2015 03:00:00 GMT-0800 (PST)
303007,2010,Hyundai,Tucson,Limited,SUV,automatic,km8ju3acxau037016,tx,3.7,66103.0,red,—,westlake financial services,13200,11100,Tue Feb 17 2015 02:30:00 GMT-0800 (PST)
303008,2010,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl3h75ab018773,ne,3.1,109015.0,gray,gray,nissan of omaha llc,12150,10400,Thu Feb 12 2015 03:00:00 GMT-0800 (PST)
303009,2010,Hyundai,Elantra,GLS,Sedan,automatic,kmhdu4ad9au901873,fl,3.3,65799.0,blue,gray,napletons north palm auto park inc,6175,6200,Thu Feb 12 2015 02:20:00 GMT-0800 (PST)
303010,2010,Jeep,Patriot,Sport,SUV,automatic,1j4nt2ga9ad519625,mi,5.0,81589.0,black,gray,kevins marysville auto sales inc,5650,8400,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
303011,2010,Hyundai,Tucson,GLS,SUV,automatic,km8ju3ac9au087227,qc,4.4,54855.0,brown,black,financialinx,11950,11800,Tue Feb 17 2015 02:00:00 GMT-0800 (PST)
303012,2010,Infiniti,QX56,Base,SUV,automatic,5n3za0nd8an904007,sc,4.1,54833.0,burgundy,beige,grand strand nissan inc,27500,28900,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
303013,2010,Hyundai,Elantra,GLS,Sedan,automatic,kmhdu4ad2au904517,oh,3.9,53383.0,blue,gray,santander consumer,6725,7200,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
303014,2010,Kia,Forte,EX,Sedan,automatic,knafu4a2xa5807908,il,4.1,84554.0,silver,gray,santander consumer,5850,7000,Tue Feb 17 2015 02:00:00 GMT-0800 (PST)
303015,2010,Hyundai,Elantra,GLS,Sedan,automatic,kmhdu4adxau187249,nc,2.4,75808.0,black,gray,meridian remarketing,5875,4800,Tue Feb 17 2015 01:15:00 GMT-0800 (PST)
303016,2010,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4dexau073899,fl,1.0,42442.0,gray,black,santander consumer,13300,6900,Mon Feb 23 2015 01:30:00 GMT-0800 (PST)
303017,2010,Jeep,Liberty,Sport,SUV,automatic,1j4pn2gk0aw163727,tn,4.4,71519.0,white,gray,gm financial,11100,12000,Tue Feb 17 2015 02:30:00 GMT-0800 (PST)
303018,2010,Honda,Pilot,LX,SUV,automatic,5fnyf4h24ab032919,pa,3.8,43360.0,silver,gray,adcock brothers inc,14900,15800,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
303019,2010,Kia,Forte,EX,Sedan,automatic,knafu4a21a5127573,oh,3.1,98679.0,black,gray,"remarketing by ge/cardinal community cu, inc.",5350,4600,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
303020,2010,Hyundai,Elantra Touring,GLS,Hatchback,automatic,kmhdb8ae3au065838,il,3.7,41546.0,red,tan,santander consumer,8125,8300,Tue Feb 17 2015 02:00:00 GMT-0800 (PST)
303021,2010,Jeep,Grand Cherokee,Limited,SUV,automatic,1j4rr5gt9ac111179,mn,4.2,61007.0,gray,black,select lane,17900,18500,Thu Feb 12 2015 02:30:00 GMT-0800 (PST)
303022,2010,Hyundai,Accent,GLS,Sedan,automatic,kmhcn4ac2au498836,tx,3.6,87374.0,silver,gray,dt credit corporation,4275,5000,Tue Feb 17 2015 03:00:00 GMT-0800 (PST)
303023,2010,Honda,Odyssey,EX,Minivan,automatic,5fnrl3h42ab112258,oh,3.4,50375.0,red,tan,wells fargo dealer services,13750,14600,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
303024,2010,Hyundai,Sonata,GLS,Sedan,automatic,5npet4ac4ah598434,nv,3.3,47222.0,green,beige,bul connections llc,8275,9000,Fri Feb 13 2015 03:45:00 GMT-0800 (PST)
303025,2014,Chevrolet,Impala Limited,LT Fleet,Sedan,automatic,2g1wb5e30e1190424,ca,2.0,7650.0,black,black,enterprise vehicle exchange / tra / rental / tulsa,14100,9600,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
303026,2010,Mazda,Mazda3,i Touring,Sedan,automatic,jm1bl1sgxa1258067,pa,2.8,81866.0,white,black,smith haven mazda,5800,8000,Fri Feb 13 2015 01:15:00 GMT-0800 (PST)
