num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
303999,2006,BMW,X5,3.0i,SUV,automatic,5uxfa13556ly45212,fl,3.3,128655.0,silver,gray,autosport miami inc,6425,7800,Thu Feb 12 2015 04:15:00 GMT-0800 (PST)
304000,2006,Buick,Rendezvous,CX,SUV,automatic,3g5da03l86s621239,ga,3.0,123560.0,gold,beige,santander consumer,4150,3000,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
304001,2006,BMW,7 Series,750Li,Sedan,automatic,wbahn83516dt26883,pa,3.4,82656.0,black,black,r hollenshead auto sales inc,10550,13600,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
304002,2006,Cadillac,DTS,Luxury III,Sedan,automatic,1g6kd57y56u110066,ga,2.9,134394.0,beige,tan,atlanta car store inc,4375,4400,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
304003,2006,Buick,LaCrosse,CX,Sedan,automatic,2g4wc582961192709,pa,2.9,95138.0,blue,gray,credit acceptance corp/vrs/southfield,4500,4400,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
304004,2006,Buick,Lucerne,CXS,Sedan,automatic,1g4he57y96u130191,oh,2.9,104450.0,silver,black,bobb automotive inc,5850,4300,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
304005,2006,Buick,Rendezvous,CX,SUV,automatic,3g5da03l56s579046,nc,2.9,175494.0,beige,beige,dt credit corporation,2550,2600,Tue Feb 24 2015 02:00:00 GMT-0800 (PST)
304006,2006,Bentley,Continental GT,Base,Coupe,automatic,scbcr63w26c037082,ca,4.2,69255.0,silver,black,desert european motorcars,48100,50500,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
304007,2006,Ford,Altima,Base,Sedan,automatic,1g6dc67a560165340,il,2.7,119824.0,black,black,genessee financial,6425,5100,Tue Feb 17 2015 02:00:00 GMT-0800 (PST)
304008,2006,BMW,X5,4.4i,SUV,automatic,5uxfb53506lv26627,ab,3.5,137094.0,silver,black,colin's motors,6125,8900,Thu Feb 12 2015 03:30:00 GMT-0800 (PST)
304009,2006,Cadillac,DTS,Luxury III,Sedan,automatic,1g6kd57yx6u120804,ne,2.5,157184.0,gold,black,lexus of omaha,3275,3100,Thu Feb 12 2015 03:00:00 GMT-0800 (PST)
304010,2006,Cadillac,CTS,Base,Sedan,automatic,1g6dp577960181379,ab,2.8,124224.0,silver,black,go auto finance,4550,3600,Thu Feb 12 2015 03:30:00 GMT-0800 (PST)
304011,2006,Buick,Lucerne,CXS,Sedan,automatic,1g4he57yx6u147937,ca,1.0,124932.0,black,black,cosmopolitan finance,4550,1900,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
304012,2006,BMW,5 Series,530xi,Sedan,automatic,wbanf73566cg69126,il,3.6,108373.0,blue,tan,whites auto sales llc,7875,8100,Thu Feb 19 2015 02:00:00 GMT-0800 (PST)
304013,2006,Cadillac,STS,V6,Sedan,automatic,1g6dw677060102478,nc,2.3,125201.0,gray,black,meridian remarketing,4475,4300,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
304014,2006,BMW,X5,3.0i,SUV,automatic,5uxfa13566ly24904,fl,3.2,107621.0,silver,gray,david j leahy jr,7800,7500,Thu Feb 19 2015 16:00:00 GMT-0800 (PST)
304015,2006,Cadillac,CTS,Base,Sedan,automatic,1g6dp577x60113852,oh,3.5,100066.0,black,gray,santander consumer,5675,5600,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
304016,2006,BMW,5 Series,530i,Sedan,automatic,wbane73536cm41357,pa,3.1,158998.0,silver,black,r hollenshead auto sales inc,4875,5800,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
304017,2006,BMW,7 Series,750Li,Sedan,automatic,wbahn835x6dt35405,ga,3.6,94127.0,blue,tan,global imports,9425,10200,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
304018,2006,Chevrolet,Silverado 1500,LS,Extended Cab,automatic,1gcec19t86z170420,ca,2.7,89823.0,blue,gray,wheels exchange llc,9625,10200,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
304019,2006,Chevrolet,Silverado 1500,LT3,Crew Cab,automatic,2gcec13t861236028,sc,4.1,130551.0,white,gray,andrew thomas motorcars,8900,10400,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
304020,2006,Chevrolet,Silverado 1500,LT3,Crew Cab,automatic,2gcec13t061123786,tn,1.9,93730.0,beige,tan,gm financial,10950,7900,Tue Mar 03 2015 02:30:00 GMT-0800 (PST)
304021,2006,Chevrolet,Cobalt,LT,Coupe,automatic,1g1al18f567605621,oh,3.6,109997.0,white,black,credit acceptance corp/vrs/southfield,3400,2900,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
304022,2006,Chevrolet,Silverado 1500,LS,Extended Cab,automatic,2gcec19v161111834,fl,3.3,77564.0,gold,black,suntrust bank,9675,10800,Wed Feb 18 2015 01:10:00 GMT-0800 (PST)
304023,2006,Chevrolet,Silverado 1500,Work Truck,Extended Cab,automatic,2gcek19b961328296,ga,3.4,129568.0,blue,gray,wells fargo dealer services,9950,8100,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
304024,2006,Chevrolet,Express,LS 3500,Van,automatic,1gahg39u861167451,oh,2.5,205622.0,gray,gray,credit acceptance corp/vrs/southfield,2500,4500,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
304025,2006,Chevrolet,Equinox,LT,SUV,automatic,2cndl73f666085830,nv,1.9,144408.0,white,beige,tom dolans reno mazda kia,3400,1300,Thu Feb 19 2015 11:45:00 GMT-0800 (PST)
304026,2006,Chevrolet,Express Cargo,1500,Van,automatic,1gcfg15x461194729,nc,2.1,88148.0,white,gray,ge fleet services for itself/servicer,6225,7300,Tue Feb 17 2015 01:15:00 GMT-0800 (PST)
304027,2006,Chevrolet,Silverado 1500,Work Truck,Extended Cab,automatic,1gcek19v36z227644,ca,2.7,104697.0,white,gray,lithia hyundai of fresno,10650,10700,Thu Feb 12 2015 05:00:00 GMT-0800 (PST)
304028,2006,Chevrolet,Equinox,LT,SUV,automatic,2cndl63f366165189,nv,2.0,108765.0,silver,—,vegas city motors,4500,5300,Thu Feb 12 2015 03:00:00 GMT-0800 (PST)
304029,2006,Ford,Altima,Base,Sedan,automatic,3gnfk16u36g114686,oh,2.4,165314.0,burgundy,gray,santander consumer,6425,4500,Tue Mar 03 2015 04:00:00 GMT-0800 (PST)
304030,2006,Chevrolet,Silverado 1500,LS,Extended Cab,automatic,1gcec19z86z249767,fl,3.1,80226.0,gray,gray,priscilla & kids wholesalers inc,7350,11900,Thu Feb 12 2015 03:30:00 GMT-0800 (PST)
304031,2006,Ford,Altima,Base,Sedan,automatic,1g1yy26u165123750,ca,3.8,49315.0,red,black,bestway auto/truck rental sales/leasing,22200,22500,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
304032,2006,Chevrolet,Equinox,LS,SUV,automatic,2cndl23f566175246,oh,3.7,178820.0,blue,gray,santander consumer,1800,2200,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
304033,2006,Chevrolet,Equinox,LS,SUV,automatic,2cndl13f166108332,va,2.0,89114.0,white,beige,auto finance center,4825,2500,Thu Feb 12 2015 01:35:00 GMT-0800 (PST)
