num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
304999,2002,Mercedes-Benz,CLK-Class,CLK320,Convertible,automatic,wdblk65gx2t102759,ca,2.9,129051.0,silver,beige,"jpmorgan chase bank,n.a.",3050,3300,Thu Feb 19 2015 04:00:00 GMT-0800 (PST)
305000,2002,Nissan,Altima,2.5 SL,Sedan,automatic,1n4al11d72c234775,fl,1.9,242477.0,red,tan,"sheehan buick gmc, inc",1075,1400,Fri Feb 13 2015 01:30:00 GMT-0800 (PST)
305001,2002,Saturn,S-Series,SL1,Sedan,automatic,1g8zh52842z312718,pa,2.0,140361.0,silver,gray,purple heart,975,650,Tue Feb 17 2015 05:01:00 GMT-0800 (PST)
305002,2002,Nissan,Altima,3.5 SE,Sedan,automatic,1n4bl11d32c289440,fl,2.4,128923.0,white,beige,grieco nissan,2400,2700,Thu Feb 12 2015 01:20:00 GMT-0800 (PST)
305003,2002,Porsche,911,Carrera,Convertible,manual,wp0ca29962s655181,nv,4.1,29854.0,silver,gray,kapitolia auto llc,26000,27000,Fri Feb 13 2015 04:00:00 GMT-0800 (PST)
305004,2002,Nissan,Maxima,SE,Sedan,automatic,jn1da31d82t206110,fl,2.0,133443.0,gray,gray,courtesy hyundai,2250,2600,Thu Feb 12 2015 08:30:00 GMT-0800 (PST)
305005,2002,Pontiac,Grand Prix,SE,Sedan,automatic,1g2wk52j12f123608,ga,3.4,147722.0,silver,gray,barnett finance company,1350,1700,Tue Feb 17 2015 05:10:00 GMT-0800 (PST)
305006,2002,Oldsmobile,Alero,GLS,Coupe,automatic,1g3nf12e32c139818,oh,2.7,150955.0,red,gray,credit acceptance corp/vrs/southfield,800,1200,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
305007,2002,Pontiac,Grand Prix,GT,Sedan,automatic,1g2wp52k82f283589,oh,2.9,167802.0,red,black,aex credit services,1050,1800,Thu Feb 12 2015 01:00:00 GMT-0800 (PST)
305008,2002,Suzuki,XL-7,Base,SUV,automatic,js3tx92vx24104837,fl,2.0,92866.0,white,gray,priscilla & kids wholesalers inc,1400,3400,Thu Feb 12 2015 03:30:00 GMT-0800 (PST)
305009,2002,Nissan,Maxima,SE,Sedan,manual,jn1da31a92t305928,pa,2.5,175987.0,black,black,peoples credit company inc,1575,1700,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
305010,2002,Pontiac,Grand Prix,GTP,Sedan,automatic,1g2wr52112f108893,fl,1.9,146280.0,—,tan,"sheehan buick gmc, inc",1650,1100,Fri Feb 13 2015 01:30:00 GMT-0800 (PST)
305011,2002,Oldsmobile,Aurora,4.0,Sedan,automatic,1g3gs64c024204664,oh,3.4,170512.0,gray,gray,aex credit services,800,800,Thu Feb 12 2015 01:00:00 GMT-0800 (PST)
305012,2002,Toyota,Avalon,XL,Sedan,automatic,4t1bf28b22u253465,sc,3.2,132470.0,silver,gray,andrew thomas motorcars,2925,4100,Thu Feb 12 2015 02:15:00 GMT-0800 (PST)
305013,2002,Toyota,Prius,Base,Sedan,automatic,jt2bk18u620048940,ca,2.9,134077.0,blue,gray,ajs automotive,1900,2700,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
305014,2002,Volkswagen,New Beetle,GLS,Hatchback,automatic,3vwcb21c82m434529,fl,2.1,80413.0,silver,gray,"sheehan buick gmc, inc",2225,1500,Fri Feb 13 2015 01:30:00 GMT-0800 (PST)
305015,2002,Toyota,Avalon,XLS,Sedan,automatic,4t1bf28b02u204460,sc,3.6,142917.0,silver,gray,andrew thomas motorcars,3850,4300,Thu Feb 19 2015 02:15:00 GMT-0800 (PST)
305016,2002,Toyota,Sienna,XLE,Minivan,automatic,4t3zf13c62u501779,fl,3.1,181789.0,silver,gray,coggin toyota at the avenues,2650,2600,Thu Feb 12 2015 05:00:00 GMT-0800 (PST)
305017,2002,Toyota,Sienna,LE,Minivan,automatic,4t3zf13c02u442888,ma,1.9,104108.0,gold,tan,boch new to you superstore,3450,3000,Thu Feb 12 2015 10:30:00 GMT-0800 (PST)
305018,2002,Volkswagen,Passat,GLS 1.8T,Sedan,automatic,wvwpd63b62p229778,ga,1.9,134921.0,gray,gray,barnett finance company,1375,2000,Tue Feb 17 2015 05:10:00 GMT-0800 (PST)
305019,2002,Toyota,Camry,SE V6,Sedan,automatic,jtdbf30k520037039,ga,2.8,118064.0,gold,tan,momentum motorcars,3800,5700,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
305020,2002,Toyota,Highlander,Base,SUV,automatic,jtegd21a820043358,oh,3.2,225864.0,black,tan,santander consumer,6525,3200,Tue Mar 03 2015 04:00:00 GMT-0800 (PST)
305021,2002,Toyota,Camry,SE,Sedan,automatic,jtdbe32k120030752,ca,2.6,227547.0,gray,gray,james family auto sales,2500,2050,Thu Feb 19 2015 04:00:00 GMT-0800 (PST)
305022,2002,Toyota,Sienna,CE,Minivan,automatic,4t3zf19c62u481170,pa,3.2,131104.0,green,brown,daniel thomas sales,2500,3000,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
305023,2002,Toyota,Camry,SE V6,Sedan,automatic,4t1bf30k32u528813,az,1.9,227973.0,blue,brown,earnhardt,2250,2650,Thu Feb 12 2015 03:00:00 GMT-0800 (PST)
305024,2002,Volkswagen,GTI,1.8T,Hatchback,manual,9bwde61j324028373,oh,2.4,155021.0,silver,black,credit acceptance corp/vrs/southfield,1950,1800,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
305025,2001,BMW,X5,3.0i,SUV,automatic,wbafa53561lm74639,ga,2.8,140411.0,gold,tan,momentum motorcars,3775,4800,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
305026,2001,BMW,3 Series,325i,Sedan,automatic,wbaan37431nj14107,ga,2.9,177070.0,gray,gray,dekalb county drug task force,1800,1100,Thu Feb 19 2015 10:00:00 GMT-0800 (PST)
305027,2001,Chevrolet,Silverado 1500,LS,Extended Cab,automatic,2gcec19t311379601,ca,3.4,130386.0,gold,black,yucca valley ford center,4450,4400,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
305028,2001,Chevrolet,Suburban,1500,SUV,automatic,3gnec16t11g232504,tx,3.2,162037.0,white,tan,westlake financial services,3050,2400,Tue Mar 10 2015 03:30:00 GMT-0700 (PDT)
305029,2001,Ford,Expedition,XLT,SUV,automatic,1fmru15w41lb82246,ca,2.3,149081.0,white,gray,auto finance solutions dba abc remarketing,1100,700,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
305030,2001,Ford,Altima,Base,Sedan,automatic,1fdre14l71ha25219,mi,3.3,114447.0,green,gray,south bay remarketing services,2800,3100,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
305031,2001,Dodge,Grand Caravan,Sport,Minivan,automatic,2b4gp44361r241698,ca,2.9,176695.0,silver,gray,north bakersfield toyota scion,1200,1300,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
305032,2001,Ford,Excursion,Limited,SUV,automatic,1fmnu43s81ea19863,ca,2.3,88523.0,black,gray,aaero sweet company,6425,8400,Thu Feb 12 2015 03:30:00 GMT-0800 (PST)
305033,2001,GMC,Yukon,SLE,SUV,automatic,1gkek13t21j165771,mi,3.2,190182.0,blue,beige,modern financial services,3450,3000,Thu Feb 12 2015 01:30:00 GMT-0800 (PST)
305034,2001,Ford,F-150,Lariat,SuperCab,automatic,1ftrx17lx1nb45561,ga,1.9,205643.0,black,gray,dekalb county drug task force,2350,1350,Thu Feb 19 2015 10:00:00 GMT-0800 (PST)
