num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
307999,2007,Volkswagen,Jetta,2.5 PZEV,Sedan,automatic,3vwpg71k07m109498,ca,3.8,137262.0,white,black,jessup cad buick pont gmc saab hummer chev,3050,4400,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
308000,2007,Volkswagen,Passat,2.0T,Wagon,automatic,wvwtk73c97e000713,co,1.9,98182.0,silver,black,wells fargo dealer services,4725,4300,Wed Mar 04 2015 04:00:00 GMT-0800 (PST)
308001,2006,Acura,TL,Base,Sedan,automatic,19uua66266a011907,fl,4.2,86789.0,black,black,manheim lakeland,8825,8200,Thu Feb 12 2015 01:30:00 GMT-0800 (PST)
308002,2007,Volkswagen,Jetta,2.5,Sedan,automatic,3vwsf71k17m100550,ga,1.9,107299.0,silver,black,skipco fin adj/atlantic financial services,3725,2700,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
308003,2006,Audi,A6,3.2,Sedan,automatic,wauah74f66n115182,ga,2.1,99952.0,blue,beige,onemain rem/manheim georgia,6350,6700,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
308004,2006,Cadillac,CTS,Base,Sedan,automatic,1g6dp577360184312,nc,2.8,142038.0,black,gray,atlantic coast remarketing inc/asf,3975,4100,Mon Feb 23 2015 01:30:00 GMT-0800 (PST)
308005,2006,BMW,3 Series,330xi,Sedan,manual,wbavd33536kl52924,nc,2.6,97496.0,gray,black,remarketing by ge/flagship credit acceptance,8750,8100,Tue Mar 03 2015 01:15:00 GMT-0800 (PST)
308006,2006,BMW,3 Series,325i,Sedan,automatic,wbavb13556pt16987,mo,2.1,78794.0,gray,gray,fiserv/sierra auto finance,7775,6000,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
308007,2006,BMW,3 Series,330i,Sedan,automatic,wbavb33566kr78733,ca,3.7,150877.0,silver,black,crown toyota,5600,5500,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
308008,2006,BMW,7 Series,750Li,Sedan,automatic,wbahn83516dt28603,fl,1.9,153565.0,silver,black,branford motor 1,5400,5700,Fri Feb 13 2015 03:00:00 GMT-0800 (PST)
308009,2006,BMW,3 Series,330i,Sedan,automatic,wbavb33556ps18912,ca,4.2,131757.0,white,black,premium auto wholesale,6450,9100,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
308010,2006,BMW,7 Series,750i,Sedan,automatic,wbahl83526dt04770,il,1.0,87421.0,blue,tan,remktgedge / cars / carfinance capital llc,9575,6200,Tue Feb 17 2015 05:00:00 GMT-0800 (PST)
308011,2006,Cadillac,SRX,V6,SUV,automatic,1gyee637360206760,nc,4.1,101076.0,silver,gray,santander consumer,5500,4200,Mon Feb 16 2015 01:30:00 GMT-0800 (PST)
308012,2006,Chevrolet,Silverado 1500,LT3,Crew Cab,automatic,2gcek13t961168308,nj,2.8,119281.0,gray,gray,lester glenn buick,12000,11800,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
308013,2006,Cadillac,DTS,Performance,Sedan,automatic,1g6kd57926u168662,pa,1.9,99626.0,black,black,cadillac of mahwah llc,6025,4800,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
308014,2006,Chevrolet,Cobalt,SS,Coupe,automatic,1g1am18b067654798,ca,2.0,112613.0,red,black,tradewinds remarketing,3275,3600,Thu Feb 19 2015 04:00:00 GMT-0800 (PST)
308015,2006,Chevrolet,Express,LS 3500,Van,automatic,1gahg39ux61251772,il,2.5,104275.0,white,beige,remktgedge/salvation army,5600,4400,Tue Feb 17 2015 02:00:00 GMT-0800 (PST)
