num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
308999,2012,Cadillac,SRX,Luxury,SUV,automatic,3gyfnae38cs554110,pa,4.3,29106.0,white,black,gm financial leasing,23300,23800,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
309000,2012,Chevrolet,Equinox,LS,SUV,automatic,2gnalbek4c1214684,pa,4.5,49442.0,gray,black,gm financial leasing,13200,13500,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
309001,2012,Chevrolet,Cruze,LS,Sedan,automatic,1g1pc5sh8c7196733,pa,4.6,32750.0,silver,black,gm financial leasing,9450,10000,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
309002,2012,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pg5sc3c7184336,tn,3.8,68070.0,red,black,wells fargo dealer services,9350,9000,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
309003,2012,Chevrolet,Equinox,LT,SUV,automatic,2gnfleek5c6226014,pa,4.4,26574.0,brown,black,gm financial leasing,17600,17600,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
309004,2012,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pg5sc8c7319990,ca,2.7,59231.0,gold,black,the hertz corporation,9700,10700,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
309005,2012,Chevrolet,Equinox,LS,SUV,automatic,2gnflcek5c6150699,pa,4.7,36972.0,black,black,gm financial leasing,15450,15900,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
309006,2012,Chevrolet,Cruze,LS,Sedan,automatic,1g1pc5sh4c7240579,pa,4.0,18759.0,black,gray,gm financial leasing,10250,10500,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
309007,2012,Chevrolet,Cruze,LS,Sedan,automatic,1g1pc5shxc7211068,pa,4.9,36354.0,silver,black,gm financial leasing,9250,9700,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
309008,2012,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pg5scxc7158803,wi,3.4,23992.0,gray,black,gm financial leasing,11400,11000,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
309009,2012,Chevrolet,Equinox,LT,SUV,automatic,2gnflnek2c6314261,fl,2.4,149765.0,black,gray,wheels exchange llc,9675,7000,Wed Feb 18 2015 01:10:00 GMT-0800 (PST)
309010,2012,Chevrolet,Cruze,LS,Sedan,manual,1g1pd5sh0c7187831,pa,4.6,33876.0,gray,black,gm financial leasing,9375,10000,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
309011,2012,Chevrolet,Cruze,LS,Sedan,automatic,1g1pc5sh0c7111352,pa,4.5,32984.0,blue,gray,gm financial leasing,9425,10200,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
309012,2012,Chevrolet,Cruze,LS,Sedan,automatic,1g1pc5sh3c7194792,tx,1.9,56687.0,blue,gray,santander consumer,8000,8800,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
309013,2012,Cadillac,SRX,Luxury,SUV,automatic,3gyfnde37cs531743,pa,4.3,38878.0,black,black,gm financial leasing,24000,26000,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
309014,2012,Cadillac,SRX,Performance,SUV,automatic,3gyfnbe35cs543698,tn,4.6,41980.0,gray,tan,gm financial,23200,25200,Tue Feb 17 2015 02:30:00 GMT-0800 (PST)
309015,2012,Chevrolet,Equinox,LS,SUV,automatic,2gnflcekxc6348758,pa,4.8,37472.0,silver,black,gm financial leasing,15400,15600,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
309016,2012,Chevrolet,Equinox,LTZ,SUV,automatic,2gnflge57c6321079,ny,3.9,28739.0,white,black,m and t bank,19200,20000,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
309017,2012,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcpkse78cg270099,nv,3.5,70844.0,black,black,unique autos,23200,24750,Fri Feb 13 2015 03:45:00 GMT-0800 (PST)
309018,2012,Chevrolet,Cruze,Eco,Sedan,automatic,1g1pj5sc2c7102727,pa,4.6,37359.0,red,black,gm financial leasing,10500,11200,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
309019,2012,Chevrolet,Camaro,LS,Coupe,automatic,2g1fa1e35c9141052,nv,3.9,34017.0,black,black,audi henderson,15300,15800,Fri Feb 13 2015 03:45:00 GMT-0800 (PST)
309020,2012,Chevrolet,Cruze,LS,Sedan,automatic,1g1pc5shxc7202354,pa,4.3,30867.0,white,black,gm financial leasing,9550,9900,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
309021,2012,Cadillac,SRX,Luxury,SUV,automatic,3gyfnde34cs516729,pa,4.6,28535.0,white,beige,gm financial leasing,25700,27000,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
309022,2012,Chevrolet,Camaro,LT,Convertible,automatic,2g1fc3d34c9101326,tx,1.0,35685.0,silver,black,flexco fleet services,19800,12600,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
309023,2012,Cadillac,SRX,Luxury,SUV,automatic,3gyfnde38cs504468,pa,4.5,47523.0,black,gray,gm financial leasing,22600,23600,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
309024,2012,Chevrolet,Cruze,LS,Sedan,manual,1g1pd5sh5c7191499,pa,4.5,28353.0,blue,gray,gm financial leasing,9700,10100,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
309025,2012,Chevrolet,Cruze,LS,Sedan,manual,1g1pd5sh3c7265549,wi,4.8,22490.0,black,gray,gm financial leasing,9900,10300,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
309026,2012,Chevrolet,Cruze,LS,Sedan,automatic,1g1pc5sh6c7151256,pa,4.3,34229.0,blue,gray,gm financial leasing,9375,10000,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
309027,2012,Cadillac,Escalade ESV,Luxury,SUV,automatic,1gys4hef4cr102646,pa,4.1,35458.0,black,—,mint motorcars inc,40700,41500,Fri Feb 27 2015 01:15:00 GMT-0800 (PST)
309028,2012,Chevrolet,Equinox,LT,SUV,automatic,2gnfleek6c6241346,il,4.2,77975.0,black,black,primeritus remarketing/cook leasing inc,13150,13700,Tue Feb 17 2015 02:00:00 GMT-0800 (PST)
309029,2012,Chevrolet,Cruze,LTZ,Sedan,automatic,1g1ph5sc6c7197725,nc,4.2,59219.0,white,black,triangle auto sales inc,10350,11100,Mon Feb 23 2015 01:30:00 GMT-0800 (PST)
309030,2012,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pf5sc2c7104429,ca,3.7,74604.0,white,gray,cig financial,8025,9800,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
309031,2012,Cadillac,SRX,Luxury,SUV,automatic,3gyfnae3xcs509346,pa,4.4,39862.0,black,black,gm financial leasing,21900,21600,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
309032,2012,Cadillac,SRX,Luxury,SUV,automatic,3gyfnae36cs512440,pa,4.5,55862.0,beige,beige,gm financial leasing,19650,19800,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
