num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
309999,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap7cn471661,nj,4.2,22804.0,gray,black,nissan-infiniti lt,12850,12300,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
310000,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap8cc157545,wa,1.9,33549.0,white,black,nissan-infiniti lt,12400,12100,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
310001,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap3cc206652,nj,3.1,28855.0,white,beige,nissan motor acceptance corporation,12450,11600,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
310002,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap2cn448580,nj,3.5,35914.0,gray,black,nissan-infiniti lt,12000,11200,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
310003,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap0cc132851,wa,4.6,21957.0,beige,beige,nissan-infiniti lt,12900,16200,Wed Feb 18 2015 05:15:00 GMT-0800 (PST)
310004,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap2cn457909,mo,4.1,32170.0,silver,gray,nissan-infiniti lt,12250,12000,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
310005,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap7cn446047,ca,3.8,29745.0,—,black,nissan-infiniti lt,12350,13250,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
310006,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap7cn462538,nj,2.6,22027.0,gray,black,nissan-infiniti lt,12900,11000,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
310007,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap0cc176154,fl,3.5,32036.0,blue,black,nissan-infiniti lt,12200,11800,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
310008,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap4cn507659,ca,4.0,29860.0,—,gray,nissan-infiniti lt,12300,12750,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
