num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
310999,2011,Porsche,Boxster,Base,Convertible,automatic,wp0ca2a8xbu710173,ca,4.1,17023.0,white,black,bank of america,31800,33000,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
311000,2011,Nissan,Rogue,S,SUV,automatic,jn8as5mv6bw314421,nj,4.2,35564.0,silver,black,nissan-infiniti lt,13000,13800,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
311001,2011,Ram,1500,ST,Quad Cab,automatic,1d7rb1gpxbs635427,fl,3.1,59922.0,green,tan,chrysler capital,15350,16100,Wed Feb 18 2015 01:05:00 GMT-0800 (PST)
311002,2011,Nissan,Sentra,2.0 S,Sedan,automatic,3n1ab6ap5bl672500,tx,2.2,91618.0,blue,gray,regional acceptance corporation / greensboro,6000,3700,Tue Feb 17 2015 02:30:00 GMT-0800 (PST)
311003,2011,Nissan,Sentra,2.0,Sedan,automatic,3n1ab6ap5bl643272,md,2.0,55626.0,white,beige,wells fargo dealer services,8200,6100,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
311004,2011,Nissan,Rogue,S,SUV,automatic,jn8as5mv6bw315181,wa,2.8,47468.0,red,black,nissan-infiniti lt,12250,11000,Wed Feb 18 2015 05:15:00 GMT-0800 (PST)
311005,2011,Nissan,Versa,1.8 S,Hatchback,automatic,3n1bc1cp0bl399922,tx,2.5,58163.0,white,black,regional acceptance corporation / greensboro,6600,6400,Tue Feb 17 2015 02:30:00 GMT-0800 (PST)
311006,2011,Porsche,Panamera,Base,Sedan,automatic,wp0aa2a7xbl012893,il,4.4,84903.0,black,tan,royal auto chicago inc,42700,40500,Tue Feb 17 2015 02:00:00 GMT-0800 (PST)
311007,2011,Nissan,Rogue,S,SUV,automatic,jn8as5mv6bw685224,nj,4.2,54157.0,gray,black,meridian remarketing,11800,11800,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
311008,2011,Nissan,Sentra,2.0 S,Sedan,automatic,3n1ab6apxbl699806,tx,1.0,72967.0,red,gray,santander consumer,6375,4000,Wed Feb 25 2015 12:30:00 GMT-0800 (PST)
311009,2011,Nissan,Rogue,SV,SUV,automatic,jn8as5mv2bw672759,nj,1.9,32660.0,black,black,nissan-infiniti lt,15450,11600,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
311010,2011,Nissan,Murano,SL,SUV,automatic,jn8az1mwxbw179795,nj,4.5,58838.0,red,black,nissan-infiniti lt,17350,18200,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
311011,2011,Nissan,Pathfinder,LE,SUV,automatic,5n1ar1nn4bc626619,fl,3.7,64650.0,silver,black,nissan motor acceptance corporation,15950,16200,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
311012,2011,Nissan,Rogue,S,SUV,automatic,jn8as5mv7bw688438,nj,3.4,21602.0,silver,black,nissan-infiniti lt,13900,13300,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
311013,2011,Ram,1500,Laramie,Quad Cab,automatic,1d7rb1gt6bs505299,tx,3.4,56021.0,silver,brown,chrysler capital,17900,19400,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
311014,2011,Nissan,Sentra,2.0 SR,Sedan,automatic,3n1ab6ap0bl712661,in,3.5,63228.0,black,gray,santander consumer,8150,8600,Thu Feb 19 2015 02:10:00 GMT-0800 (PST)
311015,2011,Nissan,Rogue,S,SUV,automatic,jn8as5mv3bw688906,il,3.1,37744.0,black,black,nissan-infiniti lt,12850,13200,Thu Feb 19 2015 02:00:00 GMT-0800 (PST)
311016,2011,Nissan,Rogue,S,SUV,automatic,jn8as5mt5bw571116,fl,3.6,21634.0,white,gray,nissan-infiniti lt,14300,13200,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
311017,2011,Nissan,Sentra,2.0 SR,Sedan,automatic,3n1ab6ap1bl677094,fl,2.5,68243.0,blue,gray,nissan-infiniti lt,7600,6300,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
311018,2011,Nissan,Rogue,S,SUV,automatic,jn8as5mv9bw675559,ma,2.2,95893.0,silver,black,capital one auto finance,10050,8700,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
311019,2011,Nissan,Murano,SV,SUV,automatic,jn8az1mw9bw186110,fl,2.6,32678.0,blue,black,nissan-infiniti lt,17400,16000,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
311020,2011,Nissan,Sentra,2.0 SR,Sedan,automatic,3n1ab6ap8bl608032,tx,2.9,47786.0,red,gray,national auto lenders,9050,5900,Wed Apr 15 2015 05:30:00 GMT-0700 (PDT)
311021,2011,Ram,1500,ST,Quad Cab,automatic,1d7rb1gk6bs584173,tx,4.5,60369.0,black,—,santander consumer,14550,15800,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
311022,2011,Nissan,Versa,1.8 S,Hatchback,automatic,3n1bc1cpxbl443392,hi,2.3,30138.0,blue,black,first hawaiian bank,8200,7500,Wed Mar 04 2015 06:30:00 GMT-0800 (PST)
311023,2011,Nissan,Rogue,S,SUV,automatic,jn8as5mv3bw678683,nj,3.4,29194.0,silver,gray,nissan-infiniti lt,13400,14200,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
311024,2011,Nissan,Rogue,S,SUV,automatic,jn8as5mv5bw685778,nc,4.5,43461.0,black,black,medlin buick gmc mazda,12700,13200,Tue Mar 03 2015 01:15:00 GMT-0800 (PST)
311025,2011,Nissan,Quest,SL,Minivan,automatic,jn8ae2kp5b9005628,nc,2.7,55946.0,black,gray,suntrust bank,17250,14400,Tue Mar 10 2015 02:15:00 GMT-0700 (PDT)
311026,2011,Nissan,Murano,SV,SUV,automatic,jn8az1mw4bw185298,nj,4.4,37977.0,black,tan,nissan-infiniti lt,16900,17300,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
311027,2011,Nissan,Rogue,S,SUV,automatic,jn8as5mv7bw689802,fl,3.2,17314.0,gray,gray,nissan-infiniti lt,14200,14000,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
311028,2011,Nissan,Rogue,S,SUV,automatic,jn8as5mv5bw307847,nj,4.3,23147.0,blue,black,nissan-infiniti lt,13800,14000,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
311029,2011,Nissan,Xterra,Pro-4X,SUV,automatic,5n1an0nw8bc522634,tx,4.9,21917.0,black,gray,primeritus remarketing/compass bank,20100,18800,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
311030,2011,Nissan,Murano,SL,SUV,automatic,jn8az1muxbw067335,ca,4.1,35689.0,black,black,nissan-infiniti lt,16150,19500,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
311031,2011,Nissan,Murano,SV,SUV,automatic,jn8az1mwxbw188531,il,3.9,42203.0,black,black,nissan-infiniti lt,16600,16700,Tue Feb 17 2015 02:00:00 GMT-0800 (PST)
311032,2011,Nissan,Rogue,S,SUV,automatic,jn8as5mt8bw560627,ca,3.1,35444.0,gray,gray,nissan motor acceptance corporation,13100,12250,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
311033,2011,Nissan,Sentra,2.0,Sedan,automatic,3n1ab6ap2bl654360,tx,2.0,109616.0,black,gray,credit union of texas,6150,5300,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
311034,2011,Nissan,Rogue,S,SUV,automatic,jn8as5mv3bw300363,nj,3.7,40564.0,red,gray,nissan-infiniti lt,12650,12700,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
311035,2011,Nissan,Rogue,SV,SUV,automatic,jn8as5mv3bw285055,nj,4.0,57998.0,black,black,santander consumer,13800,14600,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
311036,2011,Nissan,Sentra,2.0 SL,Sedan,automatic,3n1ab6ap7bl658419,fl,3.9,60951.0,red,gray,sunbelt chrysler jeep dodge inc,9650,9900,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
311037,2011,Nissan,Rogue,S,SUV,automatic,jn8as5mvxbw312283,nj,3.6,30301.0,gray,black,nissan-infiniti lt,13350,13800,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
311038,2011,Nissan,Murano,SL,SUV,automatic,jn8az1mw7bw183819,nj,3.8,56923.0,—,black,nissan-infiniti lt,17550,18000,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
311039,2011,Nissan,Pathfinder,SV,SUV,automatic,5n1ar1nb9bc627500,ca,4.1,36275.0,black,black,nissan-infiniti lt,18750,20250,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
311040,2011,Nissan,Murano,SV,SUV,automatic,jn8az1mu0bw061852,fl,3.9,59552.0,red,black,nissan-infiniti lt,13900,14400,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
