num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
311999,2007,Chevrolet,Cobalt,LS,Sedan,manual,1g1ak55f977261663,tx,2.0,129274.0,silver,gray,santander consumer,2500,2100,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
312000,2007,Chevrolet,Silverado 1500,LT2,Crew Cab,automatic,2gcec13j771654550,fl,3.2,98832.0,gray,tan,santander consumer,13700,13900,Wed Feb 18 2015 01:05:00 GMT-0800 (PST)
312001,2007,Chevrolet,Colorado,Work Truck,Regular Cab,manual,1gccs149178255872,ga,1.9,99608.0,white,gray,credit acceptance corp/vrs/southfield,3800,3800,Tue Feb 17 2015 05:10:00 GMT-0800 (PST)
312002,2007,Chrysler,PT Cruiser,Touring,Wagon,automatic,3a4fy58bx7t540257,nc,2.1,124081.0,blue,gray,north state acceptance,2075,2700,Mon Feb 23 2015 01:30:00 GMT-0800 (PST)
312003,2007,Chrysler,Pacifica,Base,Wagon,automatic,2a8gf48x17r366354,va,3.6,112796.0,silver,gray,dt credit corporation,3550,2100,Thu Feb 26 2015 00:50:00 GMT-0800 (PST)
312004,2007,Chrysler,Pacifica,Touring,Wagon,automatic,2a8gm68x97r300734,mo,2.4,116612.0,black,gray,exeter finance corp,4050,5400,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
312005,2007,Chrysler,Pacifica,Touring,Wagon,automatic,2a8gm68x07r337266,nj,1.9,153827.0,burgundy,gray,santander consumer,2600,2400,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
312006,2007,Dodge,Caliber,SXT,Wagon,automatic,1b3hb48b37d590287,tx,3.2,150777.0,white,tan,dt inventory,2500,3500,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
312007,2007,Chrysler,Sebring,Base,Sedan,automatic,1c3lc46k37n506976,ca,3.1,130542.0,silver,gray,east bay bmw,3075,4100,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
312008,2007,Chevrolet,TrailBlazer,LS,SUV,automatic,1gndt13s072166309,md,3.4,85391.0,black,gray,wells fargo financial acceptance,5775,6300,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
312009,2007,Dodge,Caliber,SXT,Wagon,automatic,1b3hb48b67d147633,il,2.8,85576.0,orange,gray,pra receivables management llc,4100,4300,Thu Feb 19 2015 02:30:00 GMT-0800 (PST)
312010,2007,Chevrolet,Tahoe,LT,SUV,automatic,1gnfk13047j112642,pa,3.6,116470.0,—,tan,r hollenshead auto sales inc,15350,15100,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
312011,2007,Chrysler,Pacifica,Touring,Wagon,automatic,2a8gm68x17r250167,il,1.9,121299.0,silver,gray,primeritus remarketing/american airlines,4025,2300,Tue Feb 17 2015 02:00:00 GMT-0800 (PST)
312012,2007,Chrysler,300,Touring,Sedan,automatic,2c3ka53g27h724391,tx,1.9,136206.0,silver,gray,dt credit corporation,5175,5600,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
312013,2007,Dodge,Caravan,SXT,Minivan,automatic,1d4gp45r87b204765,tx,1.9,123540.0,blue,gray,dt inventory,2525,2600,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
312014,2007,Dodge,Caliber,SXT,Wagon,automatic,1b3hb48b47d374352,md,4.1,143482.0,silver,gray,santander consumer,2675,2700,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
312015,2007,Chevrolet,Tahoe,LS,SUV,automatic,1gnfc13c87j331353,tx,2.2,166048.0,gray,black,regional acceptance corporation / greensboro,9000,8900,Tue Feb 17 2015 02:30:00 GMT-0800 (PST)
312016,2007,Dodge,Dakota,SLT,Quad Cab,automatic,1d7he48p57s198771,mo,2.9,96371.0,red,gray,ford-lincoln dealer program,8875,8500,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
312017,2007,Chevrolet,Tahoe,LS,SUV,automatic,1gnfk13027r171867,pa,2.7,87190.0,black,black,jack pfister autos,14550,13700,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
312018,2007,Chrysler,Pacifica,Touring,Wagon,automatic,2a8gm68x77r246866,md,3.6,86125.0,brown,gray,jim coleman honda,5475,4600,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
312019,2007,Chrysler,PT Cruiser,Base,Wagon,automatic,3a4fy48b37t510303,fl,2.9,117799.0,red,gray,zimmerman auto brokers inc,2375,2400,Fri Feb 13 2015 01:30:00 GMT-0800 (PST)
312020,2007,Dodge,Caravan,SE,Minivan,automatic,1d4gp25rx7b224231,tn,2.1,42488.0,white,tan,essen motor company inc,4400,5050,Tue Mar 03 2015 02:30:00 GMT-0800 (PST)
312021,2007,Chevrolet,TrailBlazer,LT,SUV,automatic,1gndt13sx72271715,md,2.1,109965.0,white,gray,wells fargo dealer services,6025,5500,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
312022,2007,Dodge,Durango,Limited,SUV,automatic,1d8hb58n17f570107,tx,2.0,117982.0,gray,gray,santander consumer,6825,6200,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
