num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
313999,2014,Volkswagen,CC,R-Line PZEV,Sedan,automatic,wvwbp7an1ee501724,wa,1.9,26875.0,blue,black,vw credit,23700,17200,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
314000,2014,Toyota,Corolla,LE,Sedan,automatic,5yfburhe0ep073528,fl,4.3,32348.0,red,gray,toyota motor sales usa inc/program,13050,13200,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
314001,2014,Toyota,Sienna,LE 7-Passenger Mobility Auto Access,Minivan,automatic,5tdkk3dc0es447246,ca,3.7,20083.0,white,gray,midway hfc fleet/ars,22700,22900,Thu Feb 19 2015 04:30:00 GMT-0800 (PST)
314002,2014,Volkswagen,Golf,2.5L PZEV,Hatchback,automatic,wvwdb7ajxew006016,ca,3.7,30963.0,silver,black,avis rac/san leandro,13900,13800,Wed Mar 04 2015 05:00:00 GMT-0800 (PST)
314003,2014,Toyota,Corolla,S,Sedan,automatic,2t1burhe6ec074361,fl,4.3,22900.0,black,black,city style imports inc,15000,15500,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
314004,2014,Toyota,Corolla,LE,Sedan,automatic,5yfburhe9ep102668,tx,3.4,19706.0,white,tan,randolph brooks fcu,13650,14100,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
314005,2014,Volkswagen,Beetle,2.0L TDI,Hatchback,automatic,3vwjl7at5em666639,fl,4.9,5044.0,—,black,vw credit,20400,16600,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
314006,2014,Toyota,RAV4,Limited,SUV,automatic,2t3dfrev1ew135046,pa,4.7,7780.0,blue,black,adcock brothers inc,25600,25500,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
314007,2014,Toyota,Corolla,LE,Sedan,automatic,2t1burhe9ec114397,fl,3.9,15690.0,red,gray,toyota motor sales usa inc/program,13900,13700,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
314008,2014,Volkswagen,GTI,Wolfsburg Edition,Hatchback,manual,wvwgd7aj1ew003643,mo,4.4,25398.0,gray,black,bank of the west,23000,21800,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
314009,2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3apxfc127649,nc,4.8,763.0,gray,beige,santander consumer,16600,17400,Mon Feb 16 2015 01:30:00 GMT-0800 (PST)
314010,2015,Kia,Sorento,LX,SUV,automatic,5xykt3a62fg576051,fl,4.2,11202.0,gray,gray,santander consumer,19450,18900,Wed Feb 18 2015 01:05:00 GMT-0800 (PST)
314011,2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap5fc132970,nj,4.8,1378.0,white,black,nissan motor acceptance corporation,16500,17300,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
314012,2015,Mazda,CX-5,Touring,SUV,automatic,jm3ke2cy1f0433639,nv,4.3,18388.0,gray,black,planet mazda,19200,18800,Fri Feb 13 2015 03:45:00 GMT-0800 (PST)
314013,2015,Mazda,CX-5,Touring,SUV,automatic,jm3ke2cy8f0436473,nv,3.4,17507.0,blue,beige,planet mazda,19300,19000,Fri Feb 13 2015 03:45:00 GMT-0800 (PST)
314014,2015,Mazda,Mazda6,i Sport,Sedan,automatic,jm1gj1u66f1169541,nv,3.2,18466.0,gray,black,planet mazda,17300,18200,Fri Feb 13 2015 03:45:00 GMT-0800 (PST)
314015,2015,Mazda,Mazda6,i Sport,Sedan,automatic,jm1gj1u64f1169330,nv,4.4,16614.0,black,black,planet mazda,17350,17900,Fri Feb 13 2015 03:45:00 GMT-0800 (PST)
314016,2015,Mazda,Mazda6,i Touring,Sedan,automatic,jm1gj1v68f1164212,mi,4.1,10887.0,black,black,"jpmorgan chase bank,n.a.",18850,19400,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
314017,2013,Acura,MDX,Technology Package,SUV,automatic,2hnyd2h39dh517651,pa,3.7,17355.0,gray,gray,adcock brothers inc,34400,31000,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
314018,2014,Volkswagen,Jetta,SE PZEV,Sedan,automatic,3vwd17aj6em429403,ca,2.0,22387.0,blue,black,enterprise vehicle exchange / tra / rental / tulsa,12700,9100,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
314019,2014,Ford,Altima,Base,Sedan,automatic,2c4rvabg6er134498,wa,5.0,10016.0,blue,gray,vw credit prequalified,21500,23000,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
314020,2014,Ford,Altima,Base,Sedan,automatic,2c4rvabg0er134500,wa,4.9,12205.0,—,gray,vw credit prequalified,21300,23200,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
314021,2014,Volvo,S60,T5,Sedan,automatic,yv1612fs9e2298114,tn,3.7,21310.0,—,tan,volvo na rep/world omni,21200,21000,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
314022,2013,Audi,A4,2.0T Premium quattro,Sedan,automatic,waubfafl7dn044081,tn,2.2,36037.0,silver,black,avis corporation,22400,21400,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
314023,2014,Volkswagen,Jetta,SE PZEV,Sedan,automatic,3vwd17aj1em366968,ca,2.0,17124.0,black,black,enterprise vehicle exchange / tra / rental / tulsa,12850,11300,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
314024,2014,Ford,Altima,Base,Sedan,automatic,2c4rvabg5er134962,wa,4.9,9195.0,black,gray,vw credit prequalified,21600,23200,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
314025,2014,Volkswagen,Passat,SE PZEV,Sedan,automatic,1vwbp7a37ec007780,wa,3.6,23706.0,gray,black,"vw credit, inc/pilot",14500,15600,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
314026,2013,Acura,RDX,Base,SUV,automatic,5j8tb4h35dl018397,il,2.8,28560.0,brown,beige,"ahfc/honda lease trust/hvt, inc.",26500,25100,Thu Feb 19 2015 02:00:00 GMT-0800 (PST)
314027,2013,Acura,ILX,Technology Package,Sedan,automatic,19vde1f78de008091,il,3.9,45349.0,black,black,"ahfc/honda lease/trust/hvt, inc. eot acuras",17850,18100,Thu Feb 19 2015 02:00:00 GMT-0800 (PST)
