num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
314999,2013,Mercedes-Benz,C-Class,C300 Sport 4MATIC,Sedan,automatic,wddgf8ab7da821923,tn,4.2,13185.0,black,black,mercedes-benz financial services,26400,25750,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
315000,2013,Mazda,Mazda5,Sport,Minivan,automatic,jm1cw2bl7d0148487,ga,3.0,60337.0,gray,gray,the hertz corporation,10600,10200,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
315001,2013,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,wddgf4hb3dr295726,tx,3.6,38293.0,gray,black,the hertz corporation,20900,21100,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
315002,2013,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1up1d1779163,tn,2.8,55005.0,—,black,dtg operations inc,10000,10100,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
315003,2013,Mazda,Mazda3,i Touring,Hatchback,automatic,jm1bl1lp2d1757884,tx,3.8,44554.0,blue,black,avis corporation,12800,13100,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
315004,2013,Mercedes-Benz,C-Class,C300 Sport 4MATIC,Sedan,automatic,wddgf8ab2dg029708,tn,4.0,11051.0,white,black,mercedes-benz financial services,26600,26250,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
315005,2013,Mazda,Mazda3,i Touring,Hatchback,automatic,jm1bl1l77d1711936,tn,4.1,21237.0,—,black,us bank repos,13650,13700,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
315006,2013,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1u85d1709352,ca,3.6,58544.0,gray,black,the hertz corporation,10000,10400,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
315007,2013,Mazda,Mazda5,Touring,Minivan,automatic,jm1cw2cl6d0148785,tx,3.8,65030.0,black,black,the hertz corporation,11250,11300,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
315008,2013,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1u81d1708148,mo,2.8,59923.0,blue,black,the hertz corporation,9850,9500,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
315009,2013,Mazda,Mazda5,Touring,Minivan,automatic,jm1cw2cl3d0151157,tx,4.3,35724.0,white,tan,avis corporation,13150,14100,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
315010,2013,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1u8xd1716541,co,3.4,62044.0,silver,black,the hertz corporation,9750,9900,Wed Feb 18 2015 03:45:00 GMT-0800 (PST)
315011,2013,Mazda,Mazda3,i Touring,Hatchback,automatic,jm1bl1lp1d1786356,tn,3.9,38360.0,—,black,avis corporation,13050,12700,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
315012,2013,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1u72d1756622,tn,3.5,37878.0,gray,black,avis corporation,10800,11200,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
315013,2013,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1up1d1787926,mn,4.3,40029.0,gray,black,avis corporation,10750,10600,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
315014,2013,Mazda,Mazda3,i Touring,Sedan,automatic,jm1bl1vp0d1805752,mo,3.4,50094.0,blue,black,avis corporation,11550,11300,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
315015,2013,Mazda,Mazda3,i SV,Sedan,automatic,jm1bl1tg4d1771706,or,4.2,38027.0,gray,black,the hertz corporation,10750,11600,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
