num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
317999,2012,Chevrolet,Cruze,Eco,Sedan,automatic,1g1pj5sc2c7270755,il,5.0,25496.0,black,black,ally,11250,11900,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
318000,2012,Chevrolet,Express Cargo,1500,Van,automatic,1gcsgafx4c1198272,la,3.1,114053.0,white,gray,lease plan usa,9550,10000,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
318001,2012,Chevrolet,Express Cargo,1500,Van,automatic,1gcsgafx5c1156712,ga,2.7,156087.0,white,gray,lease plan usa,8500,8100,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
318002,2012,Chevrolet,Impala,LS Fleet,Sedan,automatic,2g1wf5e39c1235300,tx,3.4,94471.0,silver,black,lawler motor sports inc,7400,7800,Tue Feb 17 2015 03:00:00 GMT-0800 (PST)
318003,2012,Chevrolet,Express,LS 3500,Van,automatic,1gazg1fa0c1149220,tx,3.4,54561.0,white,gray,the hertz corporation,15850,16001,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
318004,2012,Chevrolet,Cruze,Eco,Sedan,automatic,1g1pj5sc5c7340054,nc,2.5,19190.0,silver,black,source one adj of ohio inc/community one cu inc,11850,11300,Tue Mar 03 2015 01:15:00 GMT-0800 (PST)
318005,2012,Chevrolet,Impala,LS Fleet,Sedan,automatic,2g1wf5e36c1270084,ga,4.0,66875.0,red,black,kern automotive group inc,8475,9300,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
318006,2012,Chevrolet,Equinox,LT,SUV,automatic,2gnfleek7c6183750,pa,4.9,18313.0,gray,black,gm financial leasing,18250,19800,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
318007,2012,Chevrolet,Equinox,LS,SUV,automatic,2gnalbek6c1167612,pa,4.0,36486.0,beige,black,gm financial leasing,14000,13700,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
318008,2012,Chevrolet,Cruze,Eco,Sedan,automatic,1g1pj5sc3c7162628,wi,2.9,90113.0,silver,black,lease plan usa,7800,9100,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
318009,2012,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pg5sc5c7284745,mi,3.0,64690.0,white,gray,the hertz corporation,9475,9000,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
318010,2012,Chevrolet,Cruze,LS,Sedan,automatic,1g1pc5sh1c7308837,nv,2.6,63126.0,black,gray,wells fargo dealer services,7825,8200,Fri Feb 20 2015 04:00:00 GMT-0800 (PST)
318011,2012,Chevrolet,Express Cargo,1500,Van,automatic,1gcsgafx0c1192856,ga,3.3,173491.0,white,gray,lease plan usa,8100,7900,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
318012,2012,Chevrolet,Impala,LS Fleet,Sedan,automatic,2g1wf5e31c1205496,sc,4.0,111804.0,silver,black,rick's auto marketing center,6875,7400,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
318013,2012,Chevrolet,Equinox,LS,SUV,automatic,2gnalbek1c1306996,ga,3.4,52254.0,gray,black,lease plan usa,12950,11900,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
318014,2012,Chevrolet,Equinox,LT,SUV,automatic,2gnfleek3c6399871,tn,4.9,74804.0,silver,gray,hutch chevrolet buick gmc inc,13500,14000,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
318015,2012,Chevrolet,Equinox,LS,SUV,automatic,2gnalbek9c6112428,tx,2.8,100908.0,silver,gray,emkay inc,9925,9300,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
318016,2012,Chevrolet,Express Cargo,1500,Van,automatic,1gcsgafx8c1119105,fl,3.0,110992.0,white,gray,ricks auto marketing center south,9625,9700,Wed Feb 18 2015 01:10:00 GMT-0800 (PST)
318017,2012,Chevrolet,Cruze,LTZ,Sedan,automatic,1g1ph5sc6c7281804,mi,4.2,64310.0,white,black,the hertz corporation,9825,10000,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
318018,2012,Chevrolet,Equinox,LS,SUV,automatic,2gnalbek1c6221160,az,3.2,45536.0,silver,black,tidewater motor credit,13400,13100,Tue Feb 17 2015 03:00:00 GMT-0800 (PST)
318019,2012,Chevrolet,Express Cargo,1500,Van,automatic,1gcsgafx8c1182429,ca,2.1,189763.0,white,gray,lease plan usa,7675,7500,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
