num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
318999,2011,Chevrolet,Equinox,LS,SUV,automatic,2gnalbec4b1204597,la,3.6,172932.0,white,gray,lease plan usa,7325,6600,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
319000,2011,Chevrolet,Traverse,LTZ,SUV,automatic,1gnkrledxbj339848,ca,2.9,47052.0,black,beige,dtg operations inc,18500,18300,Thu Feb 26 2015 03:30:00 GMT-0800 (PST)
319001,2011,Chevrolet,Impala,LTZ,Sedan,automatic,2g1wc5em6b1178540,nc,2.8,116924.0,gray,gray,national fleet leasing,6625,6600,Mon Feb 16 2015 01:30:00 GMT-0800 (PST)
319002,2011,Chevrolet,HHR,LT,Wagon,automatic,3gnbabfw4bs571006,tx,2.4,86631.0,white,gray,meridian remarketing,5350,3200,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
319003,2011,Chevrolet,Impala,LS Fleet,Sedan,automatic,2g1wf5ek9b1321339,ca,4.8,67571.0,gray,gray,ge fleet services for itself/servicer,7900,9200,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
319004,2011,Chevrolet,Impala,LT Fleet,Sedan,automatic,2g1wg5ek2b1131881,ga,3.2,101315.0,black,—,automobile acceptance corp,6250,5300,Thu Feb 19 2015 02:00:00 GMT-0800 (PST)
319005,2011,Chevrolet,Malibu,LS Fleet,Sedan,automatic,1g1za5e18bf111830,il,2.4,75537.0,silver,gray,university of iowa community credit union,8550,6200,Tue Feb 17 2015 02:00:00 GMT-0800 (PST)
319006,2011,Chevrolet,Malibu,LT2,Sedan,automatic,1g1zd5e10bf372697,tx,3.7,71891.0,brown,black,santander consumer,8975,9100,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
319007,2011,Ford,Edge,Limited,SUV,automatic,2fmdk3kc2bbb39175,ca,4.3,36330.0,silver,beige,palm springs ford-lincoln-mercury,20100,19200,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
319008,2011,Dodge,Nitro,Heat,SUV,automatic,1d4pu4gk7bw514366,tn,2.9,26455.0,—,gray,santander consumer,16200,16000,Tue Feb 24 2015 02:30:00 GMT-0800 (PST)
