num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
319999,2008,Ford,Escape,XLT,SUV,automatic,1fmcu03z68kd75706,ga,1.9,152470.0,green,gray,santander consumer,4275,3100,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
320000,2008,Ford,Edge,Limited,SUV,automatic,2fmdk39c88ba61919,il,4.4,70529.0,white,black,wells fargo dealer services,10950,12700,Thu Feb 19 2015 02:00:00 GMT-0800 (PST)
320001,2008,Ford,F-350 Super Duty,XL,Crew Cab,automatic,1ftsw30r78ed30661,ca,4.2,175934.0,white,beige,ge fleet services for itself/servicer,6625,8100,Thu Feb 19 2015 04:00:00 GMT-0800 (PST)
320002,2008,Ford,F-350 Super Duty,XL,Crew Cab,automatic,1ftsw30r88eb48807,ca,1.9,214590.0,white,gray,ge fleet services for itself/servicer,6050,6800,Thu Feb 19 2015 04:00:00 GMT-0800 (PST)
320003,2008,Ford,Explorer,XLT,SUV,automatic,1fmeu63ex8ua72523,ca,2.1,110098.0,silver,gray,wells fargo dealer services,6300,4100,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
320004,2008,Ford,Econoline Cargo,E-250,Van,automatic,1ftne24w08da31397,sc,3.3,101301.0,white,gray,rick's auto marketing center,8325,10900,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
320005,2008,Ford,F-350 Super Duty,XL,Crew Cab,automatic,1ftsw30r18eb48809,ca,1.9,154629.0,white,tan,ge fleet services for itself/servicer,6925,6100,Thu Feb 19 2015 04:00:00 GMT-0800 (PST)
320006,2008,Ford,Edge,SEL,SUV,automatic,2fmdk38c08bb23377,ca,2.3,76757.0,red,gray,wells fargo dealer services,9625,9200,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
320007,2008,Ford,Escape,XLT,SUV,automatic,1fmcu93108ke01330,nj,1.9,86843.0,silver,black,a & b auto sales,7650,7700,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
320008,2008,Ford,Econoline Cargo,E-250,Van,automatic,1ftne24w58da92695,va,2.7,114561.0,white,gray,browns honda city,7825,8400,Thu Feb 19 2015 01:05:00 GMT-0800 (PST)
320009,2008,Ford,F-350 Super Duty,XL,Crew Cab,automatic,1ftsw30r88eb48791,ca,1.9,164842.0,white,beige,ge fleet services for itself/servicer,6175,8700,Thu Mar 05 2015 04:00:00 GMT-0800 (PST)
