num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
321999,2014,Hyundai,Santa Fe Sport,Sport,SUV,automatic,5xyzu3lb9eg148305,ca,4.9,16247.0,orange,beige,donlen corporation,19600,19200,Thu Feb 19 2015 04:00:00 GMT-0800 (PST)
322000,2014,Hyundai,Tucson,SE,SUV,automatic,km8ju3ag4eu887426,tx,4.9,17057.0,blue,gray,enterprise vehicle exchange/dfw airport,17650,18000,Wed Feb 18 2015 02:15:00 GMT-0800 (PST)
322001,2014,Hyundai,Sonata,Limited,Sedan,automatic,5npec4ac3eh816529,ca,4.1,16996.0,gray,gray,donlen corporation,17850,19500,Thu Feb 19 2015 04:00:00 GMT-0800 (PST)
322002,2014,Hyundai,Santa Fe Sport,Sport,SUV,automatic,5xyzu3lb6eg126794,ca,4.7,18590.0,silver,gray,donlen corporation,19300,21600,Thu Feb 19 2015 04:00:00 GMT-0800 (PST)
322003,2014,Hyundai,Veloster,Base,Hatchback,manual,kmhtc6ad2eu208823,fl,4.7,5924.0,red,black,d&a fine cars,14600,14400,Fri Feb 20 2015 09:25:00 GMT-0800 (PST)
322004,2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ap6em679743,ca,4.4,11793.0,gray,black,infiniti financial services,27800,26750,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
322005,2014,Infiniti,Q50,Base,Sedan,automatic,jn1bv7ar9em698496,il,4.3,14848.0,white,black,nissan infiniti lt,28500,26800,Thu Feb 19 2015 02:00:00 GMT-0800 (PST)
322006,2014,Hyundai,Sonata,Limited,Sedan,automatic,5npec4ac4eh840483,ca,4.8,10204.0,red,gray,donlen corporation,18650,19100,Thu Feb 19 2015 04:00:00 GMT-0800 (PST)
322007,2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ap2em678234,tx,4.3,20712.0,red,black,nissan dealer blend/demaagd nissan,26700,27400,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
322008,2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ap5em679653,ca,4.4,21808.0,gray,black,infiniti financial services,26300,26250,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
322009,2014,Hyundai,Tucson,Limited,SUV,automatic,km8ju3ag6eu826711,ca,3.8,17377.0,gray,brown,donlen corporation,20600,21100,Thu Feb 19 2015 04:00:00 GMT-0800 (PST)
322010,2014,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac4eh869713,ca,3.8,9644.0,black,gray,donlen corporation,14900,15600,Thu Feb 19 2015 04:00:00 GMT-0800 (PST)
322011,2014,Hyundai,Tucson,SE,SUV,automatic,km8ju3ag6eu882910,tn,4.2,30269.0,red,gray,enterprise veh exchange/rental,16900,17000,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
322012,2014,Hyundai,Tucson,Limited,SUV,automatic,km8ju3ag6eu820276,ca,3.9,8419.0,—,gray,donlen corporation,21200,21000,Thu Feb 19 2015 04:00:00 GMT-0800 (PST)
322013,2014,Hyundai,Tucson,SE,SUV,automatic,km8ju3ag7eu792990,wa,4.4,22664.0,black,black,hyundai motor finance,17350,17400,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
322014,2014,Hyundai,Sonata,Limited,Sedan,automatic,5npec4ac2eh856634,ca,4.6,22058.0,white,black,donlen corporation,17250,19100,Thu Feb 19 2015 04:00:00 GMT-0800 (PST)
322015,2014,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac9eh867116,ca,4.1,32288.0,blue,gray,avis corporation,13350,13900,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
322016,2014,Jeep,Cherokee,Latitude,SUV,automatic,1c4pjlcb8ew225698,tn,4.7,33653.0,black,black,enterprise veh exchange/rental,17600,17800,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
322017,2014,Jeep,Cherokee,Sport,SUV,automatic,1c4pjlab1ew143895,tn,4.8,20334.0,black,black,"231 car sales,inc.",16500,16700,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
322018,2014,Jeep,Compass,Sport,SUV,automatic,1c4njdbb2ed569456,mi,3.7,40638.0,black,black,avis corporation,15200,15200,Thu Feb 26 2015 02:15:00 GMT-0800 (PST)
322019,2014,Jeep,Grand Cherokee,Limited,SUV,automatic,1c4rjebg8ec466745,fl,4.4,19190.0,black,black,manheim fort lauderdale,29200,28500,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
322020,2014,Jeep,Grand Cherokee,Limited,SUV,automatic,1c4rjebg4ec453619,tx,4.9,20400.0,white,tan,enterprise vehicle exchange/dfw airport,29000,29700,Wed Feb 18 2015 02:15:00 GMT-0800 (PST)
322021,2014,Jeep,Grand Cherokee,Laredo,SUV,automatic,1c4rjeagxec145050,ca,4.4,19813.0,white,black,high bid trading co inc,23800,25250,Wed Feb 18 2015 04:15:00 GMT-0800 (PST)
