num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
322999,2012,Chevrolet,Cruze,LS,Sedan,automatic,1g1pc5sh3c7122989,tx,4.2,25884.0,silver,—,santander consumer,9700,11300,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
323000,2012,Chevrolet,Malibu,LS Fleet,Sedan,automatic,1g1za5eu4cf148594,tx,3.6,68454.0,white,gray,westfall auto sales,9000,10200,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
323001,2012,Chevrolet,Volt,Base,Hatchback,automatic,1g1re6e45cu123127,ca,4.0,93771.0,silver,black,ge fleet services for itself/servicer,8425,10250,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
323002,2012,Chevrolet,Volt,Base,Hatchback,automatic,1g1rg6e46cu122434,ca,3.6,31786.0,black,black,walters auto sales/service inc,14550,18400,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
323003,2012,Chevrolet,Traverse,LS,SUV,automatic,1gnkvfed0cj186928,oh,4.1,36668.0,white,gray,fiserv/usb dealer services northstar exchange,17350,17400,Thu Feb 19 2015 02:30:00 GMT-0800 (PST)
323004,2012,Chevrolet,Volt,Base,Hatchback,automatic,1g1ra6e48cu111971,ca,4.0,76187.0,black,black,ge fleet services for itself/servicer,10150,11250,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
323005,2012,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg5cr310250,tx,4.4,75515.0,gray,black,santander consumer,9725,11000,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
323006,2012,Ford,Escape,XLS,SUV,automatic,1fmcu0c70ckb34733,tx,4.3,59523.0,silver,gray,tdaf remarketing,10900,10800,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
323007,2012,Ford,Escape,XLT,SUV,automatic,1fmcu9dg2ckb68840,tx,3.7,77163.0,gray,black,tdaf remarketing,12350,14000,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
323008,2012,Ford,Fusion,SE,Sedan,automatic,3fahp0ha1cr400249,fl,3.5,67547.0,black,black,westfall auto sales,9675,10000,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
323009,2012,Ford,Fusion,SEL,Sedan,automatic,3fahp0ja2cr334336,tx,3.6,95500.0,white,gray,westfall auto sales,8575,9600,Wed Feb 25 2015 02:20:00 GMT-0800 (PST)
323010,2012,Ford,Fusion,SE,Sedan,automatic,3fahp0ha6cr297944,tx,4.2,79332.0,blue,black,westfall auto sales,8700,9800,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
323011,2012,Ford,Fusion,SE,Sedan,automatic,3fahp0ha6cr276334,fl,4.1,95138.0,burgundy,beige,westfall auto sales,7650,8500,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
323012,2012,Ford,Fusion,SE,Sedan,automatic,3fahp0ha5cr312658,tx,3.7,89854.0,blue,gray,westfall auto sales,8300,9500,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
323013,2012,Ford,Fusion,SEL,Sedan,automatic,3fahp0ja1cr142700,fl,3.5,91991.0,burgundy,gray,westfall auto sales,8350,9500,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
323014,2012,Ford,Fusion,SE,Sedan,automatic,3fahp0ha4cr312375,tx,3.5,82374.0,burgundy,gray,westfall auto sales,8675,8900,Wed Feb 25 2015 02:20:00 GMT-0800 (PST)
323015,2012,GMC,Acadia,SLT-1,SUV,automatic,1gkkvred4cj232985,oh,3.9,41499.0,black,black,fiserv/usb dealer services northstar exchange,23900,25100,Thu Feb 19 2015 10:30:00 GMT-0800 (PST)
323016,2012,Honda,Accord,LX,Sedan,automatic,1hgcp2f34ca056335,ca,4.4,35115.0,gray,gray,ge fleet services for itself/servicer,12350,12500,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
323017,2012,Honda,Accord,EX-L,Sedan,automatic,1hgcp2f88ca054387,ca,3.3,76920.0,gray,gray,remarketing by ge/larry h miller-fleet lease,13150,13000,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
323018,2012,Honda,Accord,LX,Sedan,automatic,1hgcp2f37ca067166,ca,3.5,63944.0,gray,gray,remarketing by ge/larry h miller-fleet lease,10900,11750,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
323019,2012,GMC,Terrain,SLT-1,SUV,automatic,2gkaluek4c6175994,ca,3.2,54701.0,black,black,ge fleet services for itself/servicer,16600,17250,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
323020,2012,Honda,Accord,LX,Sedan,automatic,1hgcp2f37ca054224,ca,3.8,48708.0,black,beige,remarketing by ge/larry h miller-fleet lease,11650,12500,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
323021,2012,Honda,Civic,LX,Sedan,automatic,2hgfb2f52ch502979,fl,2.1,90573.0,white,gray,westfall auto sales,8950,7600,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
323022,2012,Honda,Civic,LX,Sedan,automatic,19xfb2f59ce323073,ca,1.9,47287.0,white,gray,remarketing by ge/larry h miller-fleet lease,10450,8600,Tue Feb 24 2015 04:00:00 GMT-0800 (PST)
323023,2012,Honda,Civic,LX,Sedan,automatic,2hgfb2f53ch332518,ca,3.1,51321.0,gray,gray,ge fleet services for itself/servicer,11450,11500,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
323024,2012,Hyundai,Sonata,SE,Sedan,automatic,5npec4ac2ch484158,tx,3.5,71132.0,white,black,music city autoplex llc,11100,12500,Wed Feb 18 2015 02:20:00 GMT-0800 (PST)
323025,2012,Jeep,Grand Cherokee,Laredo,SUV,automatic,1c4rjfag9cc127805,oh,4.4,33974.0,white,gray,fiserv/usb dealer services northstar exchange,23000,22900,Thu Feb 19 2015 02:30:00 GMT-0800 (PST)
323026,2012,Jeep,Wrangler,Unlimited Sahara,SUV,manual,1c4hjweg5cl274385,tx,4.1,42953.0,red,brown,j baer remarketing,27100,28200,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
323027,2012,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,wddgf4hb4ca596793,tx,3.6,49339.0,black,beige,wichita falls ford lin inc,19550,20600,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
323028,2012,Mazda,Mazda6,i Touring,Sedan,automatic,1yvhz8dh2c5m12798,ca,3.4,56806.0,blue,black,remarketing by ge/flagship credit acceptance,9900,11250,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
323029,2012,Mercedes-Benz,Sprinter,2500 170 WB Passenger,Van,automatic,wdzpe8cc9c5661506,ca,3.2,116257.0,white,black,m l sim,25600,26500,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
323030,2012,Mercedes-Benz,GLK-Class,GLK350 4MATIC,SUV,automatic,wdcgg8hbxcf859221,tx,3.4,18858.0,gray,gray,music city autoplex llc,27100,28300,Wed Feb 18 2015 02:20:00 GMT-0800 (PST)
323031,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap2cc237956,co,2.7,71567.0,white,black,tdaf remarketing,9825,9700,Wed Feb 18 2015 03:45:00 GMT-0800 (PST)
323032,2012,Nissan,Rogue,S,SUV,automatic,jn8as5mt3cw289445,tx,4.2,54799.0,red,—,fairway ford henderson,11900,13600,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
323033,2012,Nissan,Versa,1.8 S,Hatchback,automatic,3n1bc1cp2ck804797,ca,4.1,26212.0,gray,black,remarketing by ge/flagship credit acceptance,9225,11000,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
323034,2012,Ram,1500,SLT,Crew Cab,automatic,1c6rd7lp4cs147824,tn,4.3,107283.0,white,gray,sullivan auto group llc,16100,22600,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
323035,2012,Scion,iQ,Base,Hatchback,automatic,jtnjjxb09cj013623,tx,3.6,12803.0,gray,black,tdaf remarketing,8725,9700,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
323036,2012,Ram,1500,ST,Regular Cab,automatic,3c6jd6at3cg277723,tx,3.5,35919.0,black,gray,santander consumer,15650,16400,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
323037,2012,Toyota,Corolla,LE,Sedan,automatic,2t1bu4ee5cc771511,mo,3.7,43684.0,white,gray,enterprise fm trust,10400,9900,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
323038,2012,Toyota,Corolla,LE,Sedan,automatic,2t1bu4ee5cc770133,mo,2.7,70964.0,white,gray,enterprise fm trust,8800,8800,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
323039,2011,Buick,Enclave,CXL2,SUV,automatic,5gakrced5bj357068,tx,3.9,33540.0,silver,tan,j baer remarketing,22900,22900,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
