num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
323999,2013,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4ae4du816831,oh,4.7,15850.0,silver,gray,hyundai motor finance,12600,13000,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
324000,2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae2dh329013,oh,4.3,23727.0,white,brown,hyundai motor finance,12100,12000,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
324001,2013,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4ae5du533645,oh,4.5,18728.0,blue,tan,hyundai motor finance,12400,12400,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
324002,2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae6dh283816,oh,4.4,29640.0,red,tan,hyundai motor finance,11800,11900,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
324003,2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae3dh329330,oh,4.8,4405.0,white,tan,hyundai motor finance,13100,13500,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
324004,2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae0dh281186,oh,4.3,27079.0,red,tan,hyundai motor finance,11950,12000,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
324005,2013,Hyundai,Elantra,Limited,Sedan,automatic,5npdh4ae8dh204677,fl,4.2,33025.0,brown,black,johnson lexus of raleigh,13900,14300,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
324006,2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae6dh395144,in,2.0,44985.0,gray,gray,enterprise vehicle exchange / tra / rental / tulsa,10800,9500,Wed Feb 18 2015 04:59:00 GMT-0800 (PST)
324007,2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae3dh229311,tx,4.3,47126.0,brown,—,avis corporation,10750,11100,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
324008,2013,Hyundai,Sonata Hybrid,Base,Sedan,automatic,kmhec4a48da070203,pa,3.7,22640.0,black,gray,general american rentals,14650,13600,Fri Feb 20 2015 01:00:00 GMT-0800 (PST)
324009,2013,Hyundai,Santa Fe,Sport,SUV,automatic,5xyztdlb8dg060367,pa,2.8,80696.0,red,tan,ge fleet services for itself/servicer,16000,16600,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
324010,2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4acxdh790139,wi,4.3,10249.0,black,gray,landmark credit union,13850,14500,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
