num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
325999,2013,Toyota,Corolla,LE,Sedan,automatic,2t1bu4ee0dc040941,co,3.0,49311.0,black,gray,the hertz corporation,11050,11000,Wed Feb 18 2015 03:45:00 GMT-0800 (PST)
326000,2013,Toyota,Corolla,LE,Sedan,automatic,5yfbu4ee3dp188274,fl,4.1,29091.0,black,gray,southeastern car & truck rental,12050,12800,Tue Feb 17 2015 02:25:00 GMT-0800 (PST)
326001,2013,Toyota,Corolla,LE,Sedan,automatic,5yfbu4ee0dp155927,ca,3.2,46719.0,blue,beige,avis rac/san leandro,11150,13000,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
326002,2013,Toyota,Corolla,S,Sedan,automatic,2t1bu4ee4dc037167,wa,3.7,36697.0,white,black,dollar rac/seattle,13050,13600,Wed Feb 18 2015 04:55:00 GMT-0800 (PST)
326003,2013,Toyota,FJ Cruiser,Base,SUV,automatic,jtebu4bf4dk163665,az,3.9,36374.0,blue,black,toyota financial services/tmct,27500,28400,Thu Feb 19 2015 03:30:00 GMT-0800 (PST)
326004,2013,Toyota,Corolla,S,Sedan,automatic,2t1bu4ee0dc055892,wa,3.9,37482.0,red,black,dollar rac/seattle,13000,14000,Wed Feb 18 2015 04:55:00 GMT-0800 (PST)
326005,2013,Toyota,Corolla,S,Sedan,automatic,2t1bu4eexdc036265,wa,4.4,37012.0,black,black,dollar rac/seattle,13050,13500,Wed Feb 18 2015 04:55:00 GMT-0800 (PST)
326006,2013,Toyota,Corolla,S,Sedan,automatic,5yfbu4ee0dp137766,ne,3.8,53128.0,gray,black,the hertz corporation,12350,12200,Thu Mar 05 2015 04:15:00 GMT-0800 (PST)
326007,2013,Toyota,FJ Cruiser,Base,SUV,automatic,jtebu4bf8dk163071,ca,4.1,33001.0,black,black,avis rac/san leandro,27800,27800,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
326008,2013,Toyota,Corolla,LE,Sedan,automatic,2t1bu4ee0dc950489,az,2.8,65503.0,gray,gray,the hertz corporation,10200,11400,Thu Feb 19 2015 03:30:00 GMT-0800 (PST)
326009,2013,Toyota,Corolla,S,Sedan,automatic,2t1bu4ee3dc051139,wa,3.7,37250.0,black,black,dollar rac/seattle,13000,14000,Wed Feb 18 2015 04:55:00 GMT-0800 (PST)
326010,2013,Toyota,Corolla,S,Sedan,automatic,2t1bu4ee0dc091100,wa,4.1,30133.0,red,black,budget rent a car/port angeles,13450,13700,Wed Feb 25 2015 05:10:00 GMT-0800 (PST)
326011,2013,Toyota,Corolla,S,Sedan,automatic,2t1bu4ee0dc051759,wa,4.1,37419.0,gray,black,dollar rac/seattle,13000,13800,Wed Feb 18 2015 04:55:00 GMT-0800 (PST)
326012,2013,Toyota,Corolla,LE,Sedan,automatic,2t1bu4eexdc942318,mn,4.7,53664.0,white,gray,avis corporation,10800,11300,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
326013,2013,Toyota,Corolla,S,Sedan,automatic,2t1bu4ee3dc091253,wa,3.7,26295.0,silver,black,budget rent a car/port angeles,13500,13900,Wed Feb 18 2015 05:50:00 GMT-0800 (PST)
326014,2013,Toyota,Corolla,S,Sedan,automatic,2t1bu4ee0dc021550,wa,3.8,37131.0,gray,black,dollar rac/seattle,13000,13500,Wed Feb 18 2015 04:55:00 GMT-0800 (PST)
326015,2013,Toyota,Corolla,S,Sedan,automatic,2t1bu4ee7dc039222,wa,3.9,37001.0,gray,black,dollar rac/seattle,13050,13900,Wed Feb 18 2015 04:55:00 GMT-0800 (PST)
326016,2013,Toyota,Corolla,S,Sedan,automatic,5yfbu4eexdp140996,wa,3.5,26117.0,gray,black,budget rent a car/port angeles,13500,14100,Wed Feb 18 2015 05:50:00 GMT-0800 (PST)
326017,2013,Toyota,Corolla,LE,Sedan,automatic,5yfbu4ee4dp141562,ca,2.8,55862.0,blue,gray,fox rent a car,10700,11500,Thu Feb 19 2015 03:30:00 GMT-0800 (PST)
326018,2013,Toyota,Corolla,S,Sedan,automatic,5yfbu4eexdp107335,az,3.5,33793.0,black,black,toyota financial services,13200,14000,Thu Feb 19 2015 03:30:00 GMT-0800 (PST)
326019,2013,Toyota,Highlander,Base,SUV,automatic,5tdzk3eh5ds101183,fl,4.2,33953.0,black,gray,santander consumer,23200,22000,Thu Feb 26 2015 01:35:00 GMT-0800 (PST)
