num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
327999,2008,Dodge,Charger,Base,Sedan,automatic,2b3ka43r98h115664,ga,2.0,148561.0,black,black,tdaf remarketing,4525,4600,Tue Feb 17 2015 05:00:00 GMT-0800 (PST)
328000,2008,Dodge,Caliber,SRT4,Wagon,manual,1b3hb68f88d641430,fl,2.5,125478.0,black,black,santander consumer,3200,4000,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
328001,2008,Dodge,Charger,RT,Sedan,automatic,2b3ka53h38h119318,ca,2.8,115354.0,blue,blue,r & r auto group inc,9850,9500,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
328002,2008,Ford,Altima,Base,Sedan,automatic,2d8hn44p08r122301,qc,4.1,102216.0,blue,black,aylmer kia,7175,5500,Tue Feb 17 2015 02:00:00 GMT-0800 (PST)
328003,2008,Dodge,Avenger,SE,Sedan,automatic,1b3lc46j58n222755,fl,2.7,103927.0,beige,gray,santander consumer,4100,4400,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
328004,2008,Dodge,Grand Caravan,SE,Minivan,automatic,1d8hn44h48b192245,tx,2.0,178829.0,white,gray,ge fleet services for itself/servicer,3300,3100,Thu Feb 19 2015 03:00:00 GMT-0800 (PST)
328005,2008,Dodge,Avenger,SXT,Sedan,automatic,1b3lc56r78n638351,mn,4.7,60203.0,blue,gray,santander consumer,6075,7800,Thu Feb 19 2015 02:45:00 GMT-0800 (PST)
328006,2008,Chrysler,Town and Country,Touring,Minivan,automatic,2a8hr54p18r826671,mi,1.9,118023.0,blue,gray,santander consumer,6475,5800,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
328007,2008,Dodge,Avenger,SE,Sedan,automatic,1b3lc46k58n125676,fl,2.4,139272.0,black,gray,greenway ford inc,3225,3400,Tue Feb 17 2015 10:00:00 GMT-0800 (PST)
328008,2008,Dodge,Avenger,SXT,Sedan,automatic,1b3lc56k38n232747,fl,2.2,124605.0,gray,gray,santander consumer,4325,3500,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
328009,2008,Chrysler,Town and Country,LX,Minivan,automatic,2a8hr44h78r745001,tx,4.1,94493.0,red,beige,santander consumer,5750,6900,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
328010,2008,Ford,Altima,Base,Sedan,automatic,1d8hb38n38f111263,pa,4.1,98912.0,gray,gray,reedman toll auto world,6775,7500,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
328011,2008,Dodge,Ram Pickup 1500,Laramie,Quad Cab,automatic,1d7hu18268j108850,ut,3.2,155475.0,red,gray,excell auto center,9500,10000,Wed Feb 18 2015 03:30:00 GMT-0800 (PST)
328012,2008,Dodge,Ram Pickup 1500,ST,Quad Cab,automatic,1d7hu18n78j232717,mo,2.2,210476.0,white,gray,automotive solutions llc,8400,5400,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
328013,2008,Dodge,Ram Pickup 1500,Laramie,Quad Cab,automatic,1d7hu18288j106596,mi,2.7,77688.0,black,gray,advia credit union,15550,13500,Thu Feb 26 2015 01:30:00 GMT-0800 (PST)
328014,2008,Dodge,Nitro,SLT,SUV,automatic,1d8gt58648w218755,ca,4.4,53949.0,silver,red,aaero sweet company,11300,14500,Thu Feb 19 2015 03:30:00 GMT-0800 (PST)
328015,2008,Dodge,Ram Pickup 1500,SLT,Quad Cab,automatic,1d7ha182x8s615706,il,1.9,123622.0,red,gray,remarketing by ge/manheim arena illinois,8400,9600,Tue Feb 17 2015 02:00:00 GMT-0800 (PST)
328016,2008,Dodge,Ram Pickup 1500,ST,Quad Cab,automatic,1d7ha18k48j203349,tx,3.3,111982.0,gray,gray,wells fargo dealer services,6575,10000,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
328017,2008,Dodge,Ram Pickup 2500,SLT,Quad Cab,automatic,3d7ks28d58g139821,tx,2.9,134818.0,black,gray,lawler motor sports inc,12000,13500,Tue Feb 17 2015 03:00:00 GMT-0800 (PST)
328018,2008,Dodge,Nitro,SXT,SUV,automatic,1d8gu28k98w247824,mo,4.1,79002.0,black,—,e.t. sales,8200,9700,Tue Feb 17 2015 03:00:00 GMT-0800 (PST)
328019,2008,Dodge,Ram Pickup 1500,SLT,Quad Cab,automatic,1d7ha18n18s617757,ga,4.9,65337.0,gray,gray,area 51 truck & auto sales llc,12750,15400,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
328020,2008,Dodge,Grand Caravan,SXT,Minivan,automatic,1d8hn54p08b155156,tx,2.5,94525.0,black,gray,santander consumer,6600,5400,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
328021,2008,Dodge,Ram Pickup 2500,SLT,Quad Cab,automatic,3d7ks28a08g191086,wi,3.6,87700.0,red,gray,braeger chevrolet,24000,23600,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
328022,2008,Dodge,Ram Pickup 1500,SLT,Quad Cab,automatic,1d7hu18208s535662,oh,4.4,76606.0,red,gray,u s auto importing & sales,15250,13500,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
328023,2008,Dodge,Ram Pickup 1500,Laramie,Quad Cab,automatic,1d7hu18268s557150,mi,3.7,51852.0,silver,gray,santander consumer,18050,16400,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
328024,2008,Dodge,Ram Pickup 2500,SLT,Quad Cab,automatic,3d7ks28a68g177368,co,2.6,140563.0,white,gray,ge fleet services for itself/servicer,18250,17200,Wed Feb 25 2015 03:30:00 GMT-0800 (PST)
328025,2008,Dodge,Ram Pickup 2500,ST,Quad Cab,automatic,3d7ks28a78g217733,tx,2.1,150702.0,black,gray,supreme fcu,16700,17000,Wed Mar 04 2015 02:20:00 GMT-0800 (PST)
328026,2008,Dodge,Ram Pickup 1500,SLT,Quad Cab,automatic,1d7ha18n78s604074,tx,2.8,111554.0,black,gray,supreme fcu,9925,11800,Wed Feb 25 2015 02:20:00 GMT-0800 (PST)
328027,2008,Dodge,Ram Pickup 1500,ST,Regular Cab,automatic,1d7ha16kx8j104361,mn,2.8,63873.0,silver,gray,santander consumer,8275,7400,Thu Feb 19 2015 02:45:00 GMT-0800 (PST)
328028,2008,Dodge,Ram Pickup 1500,ST,Quad Cab,automatic,1d7ha18n68j194910,mo,2.2,116312.0,white,gray,automotive solutions llc,9850,7600,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
328029,2008,Ford,Escape,XLT,SUV,automatic,1fmcu93z98kd08134,va,4.7,98750.0,red,beige,jm & lf inc,5975,8300,Thu Feb 19 2015 01:20:00 GMT-0800 (PST)
328030,2008,Ford,Escape,XLT,SUV,automatic,1fmcu031x8ka21813,fl,1.9,118055.0,white,beige,santander consumer,5875,4700,Wed Feb 18 2015 01:05:00 GMT-0800 (PST)
328031,2008,Ford,F-350 Super Duty,Lariat,Crew Cab,automatic,1ftww31r88ea34371,wa,2.6,82730.0,black,beige,consumer auto liquidators,23200,21000,Wed Mar 04 2015 06:30:00 GMT-0800 (PST)
328032,2008,Ford,Escape Hybrid,Base,SUV,automatic,1fmcu59h28kd40897,or,2.2,88172.0,white,tan,silverline automotive inc,8400,8500,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
328033,2008,Ford,Escape,XLT,SUV,automatic,1fmcu03z28kb43278,mo,2.7,79058.0,blue,gray,santander consumer,7450,8000,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
328034,2008,Ford,Escape Hybrid,Base,SUV,automatic,1fmcu49h58kc68037,hi,3.0,82964.0,white,—,first hawaiian bank,7750,5600,Wed Feb 18 2015 06:30:00 GMT-0800 (PST)
328035,2008,Ford,Escape,XLT,SUV,automatic,1fmcu03108kd57308,ca,4.2,78272.0,gray,black,crown auto sales/leasing,7450,9200,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
328036,2008,Ford,F-350 Super Duty,XL,Crew Cab,automatic,1ftsw31r68ee29115,co,2.6,113557.0,white,tan,cowboy finance llc,17900,15000,Tue Feb 24 2015 04:00:00 GMT-0800 (PST)
328037,2008,Ford,Explorer,Eddie Bauer,SUV,automatic,1fmeu64e78ua59033,ga,3.7,117075.0,black,black,kern automotive group inc,7150,10000,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
328038,2008,Ford,F-350 Super Duty,Lariat,Crew Cab,automatic,1ftww31r58ed49970,pa,4.1,122582.0,white,brown,progressive ford inc,19950,16900,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
328039,2008,Ford,Escape,XLT,SUV,automatic,1fmcu03z18kb03631,tx,4.9,84366.0,silver,black,lawler motor sports inc,7725,8450,Tue Feb 17 2015 03:00:00 GMT-0800 (PST)
328040,2008,Ford,Escape,XLT,SUV,automatic,1fmcu03168kd23504,in,2.7,104057.0,gray,tan,premier acceptance,6425,6500,Wed Feb 18 2015 05:30:00 GMT-0800 (PST)
328041,2008,Ford,F-250 Super Duty,XLT,SuperCab,automatic,1ftnx20538ee58946,tx,3.9,116284.0,white,tan,ge fleet services for itself/servicer,9425,11700,Thu Feb 19 2015 03:00:00 GMT-0800 (PST)
328042,2008,Ford,F-250 Super Duty,Lariat,Crew Cab,automatic,1ftsw21r38ec39735,ga,3.3,78275.0,gray,beige,opelika ford inc,25500,18200,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
328043,2008,Ford,F-250 Super Duty,XLT,SuperCab,automatic,1ftsx215x8eb60749,tx,2.5,89088.0,red,black,ge fleet services for itself/servicer,12200,11000,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
