num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
328999,2005,Ford,Altima,Base,Sedan,automatic,jtjbt20x350095540,ca,4.4,109303.0,—,gray,aaero sweet company,12050,13250,Wed Feb 18 2015 04:00:00 GMT-0800 (PST)
329000,2005,Mercedes-Benz,C-Class,C230 Kompressor,Sedan,automatic,wdbrf40j55f600943,ca,1.9,86235.0,white,gray,mercedes benz of walnut creek,5800,5700,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
329001,2005,MINI,Cooper,Base,Convertible,manual,wmwrf33435tf62311,fl,3.4,77377.0,red,gray,american bank auto liquidators,4950,5700,Tue Feb 17 2015 01:15:00 GMT-0800 (PST)
329002,2005,Mercedes-Benz,C-Class,C230 Kompressor,Sedan,automatic,wdbrf40j15f666325,tx,1.9,113110.0,silver,black,santander consumer,5100,2700,Tue Feb 17 2015 02:30:00 GMT-0800 (PST)
329003,2005,Mercedes-Benz,C-Class,C240 Luxury,Sedan,automatic,wdbrf61j75f585338,ga,2.5,157295.0,silver,gray,carworks inc,4025,4200,Tue Feb 17 2015 05:00:00 GMT-0800 (PST)
329004,2005,Mazda,Mazda3,SP23 Special Edition,Sedan,automatic,jm1bk123051308870,nv,2.0,145947.0,blue,—,tiger financial management llc,3000,1200,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
329005,2005,Ford,Altima,Base,Sedan,automatic,jm1fe17n350146225,ca,2.0,125531.0,red,black,coast financial auto,2850,1800,Wed Mar 04 2015 03:00:00 GMT-0800 (PST)
329006,2005,Lincoln,Town Car,Signature Limited,Sedan,automatic,1lnhm82w75y604446,va,1.9,157524.0,blue,gray,ourismans rockmont chevrolet,3250,3050,Thu Feb 19 2015 01:35:00 GMT-0800 (PST)
329007,2005,Mercedes-Benz,CLK-Class,CLK320,Convertible,automatic,wdbtk65g65t044444,ca,2.8,109519.0,silver,black,j star fiat & maserati of anaheim hills,6175,7700,Wed Feb 18 2015 04:15:00 GMT-0800 (PST)
329008,2005,Mercedes-Benz,CLK-Class,CLK500,Coupe,automatic,wdbtj75j75f138383,ca,2.7,145483.0,black,black,billion dodge chrysler jeep,5325,4700,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
329009,2005,Mercedes-Benz,CLK-Class,CLK320,Convertible,automatic,wdbtk65g95t052652,tx,4.6,77402.0,silver,gray,pm standley motorcars,8575,9100,Wed Feb 18 2015 02:20:00 GMT-0800 (PST)
329010,2005,Mercedes-Benz,C-Class,C230 Kompressor,Sedan,automatic,wdbrf40j15f635916,nc,2.0,130342.0,blue,gray,hendrick lexus,4775,4800,Wed Feb 25 2015 06:00:00 GMT-0800 (PST)
329011,2005,Mercedes-Benz,E-Class,E320,Sedan,automatic,wdbuf65j25a629375,ga,3.7,111896.0,black,gray,rbm of atlanta inc,5950,5800,Tue Feb 17 2015 04:30:00 GMT-0800 (PST)
329012,2005,Mercedes-Benz,E-Class,E320 CDI,Sedan,automatic,wdbuf26j55a598484,tx,3.7,112578.0,gray,gray,blackline automotive limited liability company,9800,9000,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
329013,2005,Ford,Altima,Base,Sedan,automatic,jm1fe17n050148546,tx,2.9,81023.0,white,black,tdaf remarketing,4200,5300,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
