num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
329999,2014,Kia,Cadenza,Premium,Sedan,automatic,knaln4d76e5163711,ga,4.8,12386.0,gray,beige,"kia motors america, inc",22000,23600,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
330000,2014,Jeep,Patriot,Sport,SUV,automatic,1c4njpbb3ed671074,tx,3.7,19579.0,black,black,chrysler capital,13700,13900,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
330001,2014,Kia,Forte,LX,Sedan,automatic,knafx4a60e5225946,ga,3.4,24271.0,white,gray,"kia motors america, inc",11900,11800,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
330002,2014,Kia,Forte,LX,Sedan,automatic,knafx4a60e5225820,ga,4.6,17508.0,red,black,"kia motors america, inc",12250,12700,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
330003,2014,Kia,Forte,LX,Sedan,automatic,knafx4a64e5139877,fl,2.0,35731.0,silver,black,enterprise vehicle exchange / tra / rental / tulsa,11350,8800,Tue Feb 17 2015 01:15:00 GMT-0800 (PST)
330004,2014,Kia,Forte,LX,Sedan,automatic,knafx4a61e5219900,ga,4.1,22308.0,white,black,"kia motors america, inc",12000,12300,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
330005,2014,Kia,Forte,LX,Sedan,automatic,knafx4a68e5219229,ga,4.2,23376.0,silver,gray,"kia motors america, inc",11950,12100,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
330006,2014,Kia,Forte,LX,Sedan,automatic,knafx4a68e5236984,ga,4.3,20530.0,white,black,"kia motors america, inc",12100,12300,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
330007,2014,Kia,Forte,LX,Sedan,automatic,knafx4a68e5236127,ga,4.3,25300.0,white,gray,"kia motors america, inc",11850,11700,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
330008,2014,Kia,Forte,LX,Sedan,automatic,knafx4a64e5230809,ga,3.6,17438.0,black,black,"kia motors america, inc",12250,12200,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
330009,2014,Kia,Forte,LX,Sedan,automatic,knafx4a67e5225295,ga,4.2,18670.0,brown,gray,"kia motors america, inc",12200,12600,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
330010,2014,Kia,Forte,LX,Sedan,automatic,knafx4a67e5220002,ga,4.4,21325.0,silver,gray,"kia motors america, inc",12050,12300,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
330011,2014,Kia,Forte,LX,Sedan,automatic,knafx4a63e5219820,ga,3.6,21327.0,blue,tan,"kia motors america, inc",12050,12000,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
330012,2014,Kia,Forte,LX,Sedan,automatic,knafx4a60e5249924,ga,4.2,13675.0,silver,gray,"kia motors america, inc",12450,12500,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
