num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
330999,2012,Honda,Odyssey,EX,Minivan,automatic,5fnrl5h44cb070657,pa,2.7,35954.0,gray,gray,"ahfc/honda lease trust/hvt, inc. eot",17900,19000,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
331000,2012,Honda,Odyssey,EX,Minivan,automatic,5fnrl5h44cb093534,pa,1.9,36500.0,burgundy,tan,"ahfc/honda lease trust/hvt, inc. eot",17900,15900,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
331001,2012,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl5h69cb040930,fl,4.4,19628.0,white,gray,the auto group collection inc,23000,23500,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
331002,2012,Honda,CR-V,LX,SUV,automatic,5j6rm3h36cl015871,fl,4.0,18829.0,silver,gray,summer enterprises of miami inc,16650,18000,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
331003,2012,Honda,CR-V,EX,SUV,automatic,5j6rm3h53cl008474,fl,4.3,22984.0,brown,beige,summer enterprises of miami inc,17850,19100,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
331004,2012,Honda,Civic,LX,Sedan,automatic,19xfb2f54ce042072,il,4.1,31242.0,blue,gray,"ahfc/honda lease trust/hvt, inc. eot",11000,11700,Thu Feb 19 2015 02:00:00 GMT-0800 (PST)
331005,2012,Honda,Civic,LX,Coupe,automatic,2hgfg3b50ch545472,fl,4.1,52255.0,black,gray,holman honda of fort lauderdale,9825,10800,Fri Feb 20 2015 09:35:00 GMT-0800 (PST)
331006,2012,Honda,Odyssey,EX,Minivan,automatic,5fnrl5h4xcb043592,pa,1.9,40313.0,silver,gray,"ahfc/honda lease trust/hvt, inc. eot",17600,16300,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
331007,2012,Honda,Civic,LX,Sedan,automatic,19xfb2f51ce048802,il,3.4,35501.0,gray,—,"ahfc/honda lease trust/hvt, inc. eot",10800,11000,Thu Feb 19 2015 02:00:00 GMT-0800 (PST)
331008,2012,Honda,CR-V,EX-L,SUV,automatic,5j6rm3h74cl012938,fl,4.6,24741.0,silver,gray,harbor nissan,21000,20800,Wed Feb 18 2015 08:40:00 GMT-0800 (PST)
331009,2012,Honda,CR-V,LX,SUV,automatic,5j6rm3h39cl019574,fl,4.9,12921.0,gray,gray,the auto group collection inc,17000,18000,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
331010,2012,Honda,Odyssey,EX,Minivan,automatic,5fnrl5h40cb043553,pa,2.0,25241.0,gray,gray,"ahfc/honda lease trust/hvt, inc. eot",18650,17400,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
331011,2012,Honda,Civic,LX,Sedan,automatic,19xfb2f55ce054067,il,3.9,27356.0,white,gray,"ahfc/honda lease trust/hvt, inc. eot",11150,11400,Thu Feb 19 2015 02:00:00 GMT-0800 (PST)
331012,2012,Honda,Civic,LX,Sedan,automatic,19xfb2f5xce042979,il,4.4,31715.0,gray,gray,"ahfc/honda lease trust/hvt, inc. eot",11000,12200,Thu Feb 19 2015 02:00:00 GMT-0800 (PST)
331013,2012,Honda,Odyssey,EX,Minivan,automatic,5fnrl5h40cb057808,il,2.5,32977.0,gray,gray,"ahfc/honda lease trust/hvt, inc. eot",18100,18000,Thu Feb 19 2015 02:00:00 GMT-0800 (PST)
331014,2012,Honda,Pilot,EX-L,SUV,automatic,5fnyf3h76cb030503,fl,4.3,32053.0,gray,black,holman honda of fort lauderdale,23500,24300,Fri Mar 06 2015 01:35:00 GMT-0800 (PST)
331015,2012,Honda,Pilot,EX-L,SUV,automatic,5fnyf4h59cb018642,nj,3.7,47298.0,silver,black,joyce motors corp,22400,22400,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
331016,2012,Honda,Pilot,EX-L,SUV,automatic,5fnyf4h78cb027947,pa,3.3,30265.0,white,gray,"ahfc/honda lease trust/hvt, inc. eot",24400,25100,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
331017,2012,Honda,Pilot,EX-L,SUV,automatic,5fnyf4h67cb020575,pa,3.1,33958.0,gray,gray,"ahfc/honda lease trust/hvt, inc.",23700,23000,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
331018,2012,Hyundai,Sonata,Limited,Sedan,automatic,5npec4acxch312427,tn,4.4,43322.0,gray,gray,toyota financial services,15050,14900,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
331019,2012,Jeep,Grand Cherokee,Laredo,SUV,automatic,1c4rjfag0cc135601,il,4.8,112909.0,gray,black,tdaf remarketing,18800,15000,Tue Feb 17 2015 02:00:00 GMT-0800 (PST)
331020,2012,Jeep,Grand Cherokee,Laredo,SUV,automatic,1c4rjfag7cc134638,pa,4.2,33100.0,white,black,fiserv/usb dealer services northstar exchange,23100,23800,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
331021,2012,Jeep,Grand Cherokee,Overland,SUV,automatic,1c4rjfct9cc162077,va,4.6,41816.0,gray,brown,meridian remarketing,28300,26800,Thu Mar 05 2015 00:50:00 GMT-0800 (PST)
331022,2012,Jeep,Wrangler,Unlimited Sahara,SUV,automatic,1c4bjweg7cl169238,tx,4.7,51327.0,black,tan,winter motor company inc,26600,27500,Wed Feb 18 2015 02:20:00 GMT-0800 (PST)
