num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
332999,2011,Acura,MDX,Base,SUV,automatic,2hnyd2h77bh521911,co,3.7,42034.0,gray,gray,all auto imports inc,29000,30300,Wed Feb 18 2015 03:45:00 GMT-0800 (PST)
333000,2012,Volkswagen,Passat,SEL PZEV,Sedan,automatic,1vwcp7a35cc035322,pa,3.8,53014.0,gray,gray,"vw credit, inc/pilot",13400,12900,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
333001,2011,Acura,MDX,Base,SUV,automatic,2hnyd2h2xbh549500,tx,4.1,33245.0,black,black,music city autoplex llc,25100,26000,Wed Feb 18 2015 02:20:00 GMT-0800 (PST)
333002,2012,Volkswagen,Passat,SE PZEV,Sedan,automatic,1vwbp7a39cc061496,pa,1.9,35016.0,—,beige,"vw credit, inc/pilot",12050,11700,Tue Jul 07 2015 06:30:00 GMT-0700 (PDT)
333003,2011,BMW,3 Series,328i xDrive,Sedan,automatic,wbapk5g54bnn26190,tx,4.3,19120.0,silver,black,tdaf remarketing,20900,21500,Wed Feb 18 2015 02:15:00 GMT-0800 (PST)
333004,2011,BMW,3 Series,328i xDrive,Sedan,automatic,wbapk5c54bf121821,pa,4.0,34961.0,black,brown,r hollenshead auto sales inc,19150,19100,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
333005,2011,BMW,3 Series,328i xDrive,Sedan,automatic,wbapk5c54bf124704,pa,3.1,51959.0,black,tan,r hollenshead auto sales inc,17350,16000,Fri Feb 20 2015 01:00:00 GMT-0800 (PST)
333006,2011,BMW,3 Series,328i xDrive,Coupe,automatic,wbakf3c52be567085,ca,3.7,51946.0,white,brown,san diego sports cars,18150,20300,Wed Feb 18 2015 04:15:00 GMT-0800 (PST)
333007,2011,BMW,3 Series,328i xDrive,Sedan,automatic,wbapk5g50bnn79856,pa,4.1,20735.0,black,black,r hollenshead auto sales inc,20700,21000,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
333008,2011,BMW,3 Series,335d,Sedan,automatic,wbapn7c50ba949994,tx,4.2,60129.0,black,black,tdaf remarketing,18900,19100,Wed Feb 18 2015 02:15:00 GMT-0800 (PST)
333009,2011,BMW,5 Series,535i,Sedan,automatic,wbafr7c58bc604068,ca,4.4,70967.0,gray,gray,ooak motor group,22000,23600,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
333010,2011,BMW,3 Series,328i,Sedan,automatic,wbaph7c57be678366,fl,2.2,46731.0,black,black,carolina trust fcu,17250,13500,Fri Feb 20 2015 02:45:00 GMT-0800 (PST)
333011,2011,BMW,3 Series,328i,Coupe,automatic,wbake3c51be557909,fl,3.6,47950.0,black,tan,kendall hyundai,18950,16500,Thu Mar 05 2015 01:50:00 GMT-0800 (PST)
333012,2011,BMW,3 Series,328i xDrive,Sedan,automatic,wbapk5c56bf126910,pa,4.4,32663.0,silver,black,r hollenshead auto sales inc,19400,20300,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
333013,2011,BMW,3 Series,328i,Sedan,automatic,wbaph7c55be460541,fl,4.6,34031.0,beige,red,nalley bmw,18500,18100,Thu Feb 19 2015 01:50:00 GMT-0800 (PST)
333014,2011,BMW,3 Series,328i,Sedan,automatic,wbaph7g51bnm55217,fl,4.4,28267.0,black,brown,jm lexus,19100,18500,Fri Feb 20 2015 09:30:00 GMT-0800 (PST)
333015,2011,Buick,Enclave,CXL2,SUV,automatic,5gakrced4bj285120,ca,4.3,66324.0,beige,beige,desert european motorcars,19100,21000,Wed Feb 18 2015 04:15:00 GMT-0800 (PST)
333016,2011,BMW,X5,xDrive50i,SUV,automatic,5uxzv8c58bl418546,wa,3.4,56273.0,gray,tan,lexus of bellevue,28500,26300,Wed Feb 25 2015 05:20:00 GMT-0800 (PST)
333017,2011,Cadillac,Escalade,Luxury,SUV,automatic,1gys4bef6br192202,sc,3.2,60795.0,black,black,meridian remarketing,31700,32500,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
333018,2011,BMW,X5,xDrive35i,SUV,automatic,5uxzv4c54bl740321,oh,4.4,104383.0,brown,beige,financial services remarketing (lease),18900,19750,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
333019,2011,Cadillac,SRX,Turbo Premium,SUV,automatic,3gyfnke60bs549644,pa,4.0,54441.0,black,black,salerno duane infiniti llc,23100,23500,Fri Feb 27 2015 01:15:00 GMT-0800 (PST)
333020,2011,Buick,Lucerne,CXL,Sedan,automatic,1g4hc5em6bu112537,tx,4.3,89372.0,black,tan,hopper motorplex inc,10700,11400,Wed Mar 04 2015 02:15:00 GMT-0800 (PST)
333021,2011,Cadillac,SRX,Premium,SUV,automatic,3gyfnfey5bs673028,tx,4.2,31062.0,black,black,hopper motorplex inc,25300,28700,Wed Feb 18 2015 02:15:00 GMT-0800 (PST)
333022,2011,Cadillac,CTS,Base,Sedan,automatic,1g6dc5ey7b0126477,pa,4.0,67975.0,black,black,rohrich cadillac incorporated,14850,15000,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
333023,2011,Cadillac,Escalade,Premium,SUV,automatic,1gys4cef6br150182,pa,4.4,105944.0,white,black,howard johnson auto sales inc,26000,25250,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
333024,2011,BMW,M3,Base,Coupe,automatic,wbskg9c58be368876,fl,2.4,62940.0,blue,black,lake park mitsubishi,33600,30600,Fri Feb 20 2015 09:30:00 GMT-0800 (PST)
333025,2011,Cadillac,CTS,Luxury,Sedan,automatic,1g6de5ey3b0138930,ca,3.7,97324.0,gold,beige,carpower trading inc,11550,13400,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
333026,2011,BMW,X5,xDrive35i,SUV,automatic,5uxzv4c57bl400936,fl,4.4,36475.0,black,brown,the collection,25200,29200,Thu Feb 19 2015 01:15:00 GMT-0800 (PST)
333027,2011,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcpcse05bg293550,tx,3.4,36841.0,white,black,s a auto sales,23900,23500,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
333028,2011,Chevrolet,Camaro,2LT,Coupe,automatic,2g1fc1ed1b9153670,tx,3.2,35373.0,white,gray,lawler motor sports inc,18150,19200,Wed Feb 18 2015 02:20:00 GMT-0800 (PST)
333029,2011,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcpkse30bg375876,tx,2.6,94350.0,black,black,fairway ford henderson,19800,24000,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
333030,2011,Chevrolet,Avalanche,LTZ,Crew Cab,automatic,3gntkge31bg343425,tx,4.6,72739.0,white,beige,hopper motorplex inc,26500,27500,Wed Feb 18 2015 02:15:00 GMT-0800 (PST)
333031,2011,Cadillac,STS,V6 Luxury,Sedan,automatic,1g6dw6ed3b0127510,pa,3.9,57060.0,gray,gray,contemporary motorcar ltd,16150,16100,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
333032,2011,Chevrolet,Aveo,1LT,Sedan,automatic,kl1td5dexbb262868,ga,3.7,67135.0,silver,black,santander consumer,5225,6000,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
333033,2011,Chevrolet,Camaro,1LT,Coupe,automatic,2g1fb1ed7b9111278,ga,3.8,100622.0,red,black,santander consumer,11950,13400,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
333034,2011,Chevrolet,Camaro,LS,Coupe,automatic,2g1fa1ed8b9212364,fl,3.7,45225.0,red,black,gm financial,14650,15000,Wed Feb 25 2015 01:10:00 GMT-0800 (PST)
333035,2011,Chevrolet,Camaro,1LT,Coupe,automatic,2g1fb1ed0b9118024,pa,4.7,38078.0,orange,black,r hollenshead auto sales inc,16250,19600,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
333036,2011,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcpkse39bg333366,wa,4.7,63018.0,white,black,crossborder vehicle sales ltd,23000,23500,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
