num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
334999,2005,Ford,Altima,Base,Sedan,automatic,jtjbt20x250074744,ut,3.4,153143.0,white,tan,larry h. miller lexus murray,10200,10600,Wed Feb 18 2015 03:00:00 GMT-0800 (PST)
335000,2005,Lexus,LS 430,Base,Sedan,automatic,jthbn36f455005430,ga,2.7,265693.0,gray,brown,carworks inc,6950,9000,Thu Feb 19 2015 02:00:00 GMT-0800 (PST)
335001,2005,Lincoln,Aviator,Luxury,SUV,automatic,5lmeu88h15zj13762,wa,2.5,91459.0,gold,gray,lexus of tacoma at fife,6275,6800,Wed Feb 25 2015 05:20:00 GMT-0800 (PST)
335002,2005,MINI,Cooper,S,Hatchback,automatic,wmwre33555tg96569,va,3.2,110974.0,gray,black,apple fcu,4250,4200,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
335003,2005,Kia,Sorento,EX,SUV,automatic,kndjc733255363890,nc,1.6,136344.0,green,beige,gateway financial services,2450,1000,Tue Feb 24 2015 01:15:00 GMT-0800 (PST)
335004,2005,Mazda,Mazda6,s Sport,Sedan,automatic,1yvhp80d955m10056,nc,2.5,106421.0,silver,black,crossroads ford of indian trail,3725,5300,Mon Feb 23 2015 01:00:00 GMT-0800 (PST)
335005,2005,Kia,Sorento,EX,SUV,automatic,kndjd733655498559,in,2.2,133110.0,blue,gray,discount motors,2925,2400,Wed Feb 18 2015 05:30:00 GMT-0800 (PST)
335006,2005,Mercedes-Benz,S-Class,S430,Sedan,automatic,wdbng70j05a442005,nc,4.3,46589.0,white,beige,hendrick bmw northlake,11250,15100,Wed Feb 25 2015 06:00:00 GMT-0800 (PST)
335007,2005,Mercedes-Benz,M-Class,ML350,SUV,automatic,4jgab57ex5a552437,ca,3.4,203123.0,silver,black,high bid trading co inc,3400,4300,Wed Feb 18 2015 04:15:00 GMT-0800 (PST)
335008,2005,Mercedes-Benz,M-Class,ML350,SUV,automatic,4jgab57e25a562055,ga,3.2,171164.0,white,gray,onesource/savannah toyota scion,4375,4300,Thu Feb 19 2015 02:00:00 GMT-0800 (PST)
335009,2005,Nissan,Altima,2.5 S,Sedan,automatic,1n4al11d35c107915,ca,2.4,192919.0,green,brown,nissan of duarte,2100,2200,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
335010,2005,Mazda,Tribute,s,SUV,automatic,4f2cz06175km55717,fl,3.5,72138.0,beige,tan,sullivan auto group llc,4975,6300,Thu Feb 19 2015 01:40:00 GMT-0800 (PST)
335011,2005,Nissan,Altima,2.5 S,Sedan,automatic,1n4al11d35c261749,fl,1.9,153890.0,black,gray,enterprise vehicle exchange / rental / tulsa,2750,1700,Fri Feb 20 2015 09:25:00 GMT-0800 (PST)
335012,2005,Mercury,Montego,Luxury,Sedan,automatic,1mefm40135g615539,fl,2.3,121956.0,red,gray,enterprise vehicle exchange / rental / tulsa,3475,2000,Fri Feb 20 2015 09:25:00 GMT-0800 (PST)
335013,2005,Mercury,Grand Marquis,GS Convenience,Sedan,automatic,2mefm74w65x646835,nj,3.4,96207.0,gold,beige,marano & sons auto sales inc,3625,4150,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
335014,2005,Nissan,Altima,2.5 S,Sedan,automatic,1n4al11d15c344421,ny,1.0,157775.0,silver,gray,us alliance fcu,2775,850,Thu Feb 26 2015 01:15:00 GMT-0800 (PST)
335015,2005,Ford,Altima,Base,Sedan,automatic,4f2cz96145km47708,fl,2.9,132662.0,green,tan,coastal credit llc / macedonia / macedonia,3300,3500,Thu Feb 26 2015 05:25:00 GMT-0800 (PST)
335016,2005,Nissan,Altima,2.5 S,Sedan,automatic,1n4al11d65c204915,ca,2.5,151626.0,white,gray,lease remarketing services inc,2850,2700,Wed Feb 25 2015 04:45:00 GMT-0800 (PST)
335017,2005,Nissan,Altima,2.5 S,Sedan,automatic,1n4al11e95c353201,sc,2.4,107126.0,burgundy,—,south carolina state credit union,3525,4500,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
335018,2005,Mercedes-Benz,M-Class,ML350,SUV,automatic,4jgab57e65a555772,ca,3.2,104268.0,white,gray,lithia hyundai of fresno,5775,5500,Thu Mar 05 2015 05:00:00 GMT-0800 (PST)
335019,2005,Mercury,Grand Marquis,LS Ultimate,Sedan,automatic,2mhfm75w85x619606,nc,2.8,154870.0,silver,gray,crossroads ford of indian trail,2150,3500,Mon Feb 23 2015 01:00:00 GMT-0800 (PST)
335020,2005,Nissan,Titan,LE,Crew Cab,automatic,1n6aa07ax5n568666,tx,2.9,98174.0,gray,black,texas rv outlet superstore,8725,11100,Wed Feb 18 2015 02:20:00 GMT-0800 (PST)
335021,2005,Nissan,Maxima,3.5 SL,Sedan,automatic,1n4ba41e95c821035,fl,1.9,109480.0,black,black,"jpmorgan chase bank,n.a.",4325,4400,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
335022,2005,Nissan,Altima,2.5 S,Sedan,automatic,1n4al11d45n415387,ca,3.1,283644.0,silver,blue,south coast acura,850,2300,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
