num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
335999,2014,Lexus,LX 570,Base,SUV,automatic,jtjhy7ax5e4133091,tx,4.4,26688.0,black,tan,pro financial inc,69000,71750,Wed Mar 04 2015 02:20:00 GMT-0800 (PST)
336000,2014,Land Rover,Range Rover Evoque,Pure,SUV,automatic,salvn2bg7eh873419,nj,4.6,19020.0,white,black,enterprise veh exchange/rental,36000,35500,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
336001,2014,Lexus,IS 350,Base,Sedan,automatic,jthbe1d21e5012436,fl,4.0,10269.0,black,burgundy,lauderdale imports ltd bmw pembrok pines,35800,34000,Fri Mar 06 2015 01:35:00 GMT-0800 (PST)
336002,2014,Lexus,IS 250,Base,Sedan,automatic,jthbf1d25e5017555,fl,4.4,18042.0,white,black,lexus of pembroke pines,29300,30000,Fri Feb 20 2015 09:30:00 GMT-0800 (PST)
336003,2014,Lexus,IS 250,Base,Sedan,automatic,jthbf1d27e5016861,fl,4.7,15031.0,gray,black,lexus of pembroke pines,29700,28000,Fri Feb 27 2015 01:30:00 GMT-0800 (PST)
336004,2014,Land Rover,Range Rover Evoque,Dynamic Premium,SUV,automatic,salvt2bg5eh933574,tx,4.9,10463.0,white,black,pm standley motorcars,52500,57900,Wed Feb 18 2015 02:20:00 GMT-0800 (PST)
336005,2014,Kia,Sportage,LX,SUV,automatic,kndpb3ac8e7555120,fl,3.4,33153.0,blue,gray,avis corporation,15200,15000,Fri Feb 20 2015 09:50:00 GMT-0800 (PST)
336006,2014,MINI,Cooper,S,Hatchback,automatic,wmwxm7c57et731451,fl,4.8,8258.0,gray,black,the collection,23600,25200,Thu Feb 19 2015 01:15:00 GMT-0800 (PST)
336007,2014,Lincoln,Navigator,L,SUV,automatic,5lmjj3h54eel05698,ca,5.0,7375.0,white,tan,"ford motor credit company,llc pd",42700,45500,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
336008,2014,Lincoln,MKZ,Base,Sedan,automatic,3ln6l2gk5er820484,ca,4.5,6880.0,gray,black,"ford motor credit company,llc",25200,28000,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
336009,2014,Lincoln,MKT,Base,Wagon,automatic,2lmhj5at7ebl51449,il,4.6,22661.0,gray,black,ford-lincoln dealer program,32200,32400,Tue Feb 24 2015 03:00:00 GMT-0800 (PST)
336010,2014,Lincoln,MKZ,Base,Sedan,automatic,3ln6l2gk4er823327,ga,3.6,33078.0,silver,black,avis budget group,22600,24500,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
336011,2014,Mazda,CX-5,Touring,SUV,automatic,jm3ke4cy1e0419976,mi,5.0,15164.0,gray,black,mazda motors of america inc.,21600,22400,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
336012,2014,Mercedes-Benz,CLA-Class,CLA250,Sedan,automatic,wddsj4eb9en120838,az,4.4,12821.0,white,beige,sixt rent a car llc,30000,28500,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
336013,2014,Mazda,Mazda2,Touring,Hatchback,automatic,jm1de1lzxe0171378,pa,4.1,31581.0,red,black,avis rent a car/barbush rentals,9975,9800,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
336014,2014,Mazda,Mazda2,Touring,Hatchback,automatic,jm1de1lzxe0172787,pa,4.2,29257.0,red,black,avis rent a car/barbush rentals,10200,10400,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
336015,2014,Mercedes-Benz,CLA-Class,CLA250,Sedan,automatic,wddsj4eb8en124444,az,4.3,13640.0,white,beige,sixt rent a car llc,28900,32700,Thu Feb 19 2015 03:30:00 GMT-0800 (PST)
336016,2014,Mercedes-Benz,CLA-Class,CLA250,Sedan,automatic,wddsj4eb8en123259,az,4.5,13105.0,silver,black,sixt rent a car llc,28900,29500,Thu Feb 19 2015 03:30:00 GMT-0800 (PST)
336017,2014,Mazda,CX-5,Touring,SUV,automatic,jm3ke4cy6e0430472,mi,5.0,8868.0,red,black,mazda motors of america inc.,22200,23100,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
336018,2014,Mercedes-Benz,CLA-Class,CLA250,Sedan,automatic,wddsj4eb2en121118,az,4.2,13544.0,black,black,sixt rent a car llc,28900,32200,Thu Feb 19 2015 03:30:00 GMT-0800 (PST)
336019,2014,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bm1u72e1161431,nc,4.4,8463.0,gray,black,bb&t,14050,13400,Mon Feb 23 2015 01:30:00 GMT-0800 (PST)
336020,2014,Mazda,CX-5,Touring,SUV,automatic,jm3ke2cy5e0421539,mi,5.0,9616.0,blue,beige,mazda motors of america inc.,20600,21500,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
336021,2014,Mazda,Mazda2,Touring,Hatchback,automatic,jm1de1lzxe0172790,pa,4.4,24063.0,white,black,avis rent a car/barbush rentals,10700,10600,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
336022,2014,Mazda,CX-5,Touring,SUV,automatic,jm3ke2cy9e0395348,fl,3.5,32304.0,white,black,avis corporation,18850,18600,Thu Mar 05 2015 01:15:00 GMT-0800 (PST)
336023,2014,Mercedes-Benz,GLK-Class,GLK350 4MATIC,SUV,automatic,wdcgg8jb6eg268410,az,3.7,23918.0,black,black,sixt rent a car llc,33200,30800,Thu Feb 19 2015 03:30:00 GMT-0800 (PST)
336024,2014,Mitsubishi,Outlander Sport,ES,SUV,automatic,4a4ap3au3ee015789,fl,4.4,17385.0,gray,black,"jpmorgan chase bank,n.a.",13900,14400,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
336025,2014,Mitsubishi,Lancer,ES,Sedan,automatic,ja32u2fu6eu009402,tx,4.2,34536.0,black,black,avis corporation,10800,11000,Wed Feb 18 2015 02:15:00 GMT-0800 (PST)
336026,2014,Nissan,370Z,Base,Coupe,manual,jn1az4ehxem631471,ca,4.4,11740.0,white,black,skyhigh remarketing inc,24800,26000,Wed Feb 18 2015 04:00:00 GMT-0800 (PST)
336027,2014,Mercedes-Benz,GL-Class,GL550 4MATIC,SUV,automatic,4jgdf7de4ea328680,fl,4.7,10450.0,silver,black,trucks unlimited inc,77000,79200,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
336028,2014,Mercedes-Benz,GLK-Class,GLK350,SUV,automatic,wdcgg5hb2eg207527,tx,4.3,24446.0,white,beige,winter motor company inc,29000,31600,Wed Feb 18 2015 02:20:00 GMT-0800 (PST)
336029,2014,Mitsubishi,Lancer,ES,Sedan,automatic,ja32u2fu9eu010835,tx,4.3,39119.0,black,black,avis corporation,10600,10900,Wed Feb 18 2015 02:15:00 GMT-0800 (PST)
336030,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap0ec902829,ga,4.4,17586.0,—,black,nissan motor acceptance corporation,16050,14200,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
336031,2014,Mercedes-Benz,G-Class,G63 AMG,SUV,automatic,wdcyc7df8ex224059,fl,5.0,14198.0,—,brown,the collection,122000,123000,Thu Feb 19 2015 01:15:00 GMT-0800 (PST)
336032,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap5ec411284,ca,2.0,20854.0,black,black,enterprise vehicle exchange / tra / rental / tulsa,14600,12800,Wed Feb 25 2015 07:05:00 GMT-0800 (PST)
336033,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap0en256180,ca,2.8,34547.0,gray,black,avis corporation,14050,13400,Thu Feb 19 2015 03:30:00 GMT-0800 (PST)
336034,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap6ec421919,pa,4.4,18713.0,silver,black,howard johnson auto sales inc,14550,14600,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
336035,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap4ec274502,ga,5.0,1001.0,red,tan,nissan motor acceptance corporation,17250,17600,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
336036,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap2ec321932,ga,4.3,8954.0,—,tan,nissan motor acceptance corporation,16650,16400,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
336037,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap3ec166081,fl,2.7,32699.0,black,black,avis corporation,14100,13300,Thu Feb 19 2015 09:15:00 GMT-0800 (PST)
336038,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap4ec158832,sc,1.0,45458.0,white,gray,enterprise veh exchange/rental,13600,11500,Thu Feb 26 2015 01:30:00 GMT-0800 (PST)
336039,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap1ec272822,sc,2.0,29179.0,silver,black,enterprise veh exchange/rental,14300,12400,Thu Feb 26 2015 01:30:00 GMT-0800 (PST)
336040,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap6en335157,wa,4.3,38704.0,burgundy,black,avis corporation,13900,14400,Wed Feb 18 2015 05:15:00 GMT-0800 (PST)
336041,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap3ec139348,ga,2.9,41396.0,black,black,nissan motor acceptance corporation,14250,13800,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
336042,2014,Nissan,Maxima,3.5 S,Sedan,automatic,1n4aa5ap0ec483172,sc,3.0,22840.0,blue,black,enterprise veh exchange/rental,17700,15100,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
336043,2014,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap1ec481494,fl,4.9,6497.0,gray,black,andrew thomas motorcars,17700,21000,Thu Feb 19 2015 09:50:00 GMT-0800 (PST)
336044,2014,Nissan,Murano,LE,SUV,automatic,jn8az1muxew416241,ca,4.2,214.0,black,black,aaero sweet company,18850,22500,Thu Feb 19 2015 03:30:00 GMT-0800 (PST)
336045,2014,Nissan,Juke,S,Hatchback,automatic,jn8af5mr6et355404,az,3.5,26424.0,red,black,gm financial,14850,15000,Thu Feb 19 2015 03:00:00 GMT-0800 (PST)
336046,2014,Nissan,Maxima,3.5 S,Sedan,automatic,1n4aa5ap0ec438538,fl,1.9,13197.0,gray,black,west palm financial group llc,17750,15300,Fri Feb 20 2015 01:35:00 GMT-0800 (PST)
336047,2014,Nissan,Sentra,S,Sedan,automatic,3n1ab7ap7ey212106,ga,4.4,9614.0,white,black,nissan motor acceptance corporation,13350,11200,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
336048,2014,Nissan,Sentra,SV,Sedan,automatic,3n1ab7ap8ey224636,nv,4.3,4207.0,gray,black,findlay volkswagen,12750,13500,Fri Feb 20 2015 03:45:00 GMT-0800 (PST)
336049,2014,Nissan,NV Cargo,2500 S,Van,automatic,1n6bf0lyxen100980,pa,3.5,38828.0,white,gray,exceptional motorcars ltd,19400,19200,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
336050,2014,Nissan,Sentra,S,Sedan,automatic,3n1ab7ap2ey273573,ga,4.6,9183.0,red,black,santander consumer,13250,13200,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
336051,2014,Nissan,Sentra,S,Sedan,automatic,3n1ab7ap1el678014,ga,4.1,16101.0,gray,—,santander consumer,13000,13100,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
336052,2014,Nissan,Sentra,SR,Sedan,automatic,3n1ab7ap0el636305,il,4.4,6364.0,gray,black,nissan-infiniti lt,13350,12800,Thu Feb 19 2015 02:00:00 GMT-0800 (PST)
336053,2014,Nissan,Sentra,SV,Sedan,automatic,3n1ab7ap1ey254965,sc,2.0,17719.0,black,black,enterprise vehicle exchange / tra / rental / tulsa,12550,7700,Thu Feb 26 2015 00:30:00 GMT-0800 (PST)
336054,2014,Nissan,Sentra,S,Sedan,automatic,3n1ab7ap2ey282533,il,5.0,1787.0,purple,black,nissan-infiniti lt,13500,12200,Thu Feb 19 2015 02:00:00 GMT-0800 (PST)
336055,2014,Nissan,Sentra,S,Sedan,automatic,3n1ab7ap0el654528,ga,2.1,12095.0,—,black,nissan motor acceptance corporation,13150,10700,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
336056,2014,Nissan,NV200,S,Minivan,automatic,3n6cm0kn4ek695929,fl,4.8,12366.0,white,gray,enterprise veh exchange/rental,16800,16900,Fri Feb 20 2015 09:20:00 GMT-0800 (PST)
336057,2014,Ram,1500,SLT,Quad Cab,automatic,1c6rr6gt4es390989,ca,4.3,15874.0,red,gray,enterprise veh exchange/rental,23300,23500,Thu Feb 19 2015 03:30:00 GMT-0800 (PST)
336058,2014,Nissan,Versa,1.6 SV,Sedan,automatic,3n1cn7ap6el854961,ga,4.4,10729.0,—,black,nissan motor acceptance corporation,10550,11000,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
336059,2014,Ram,1500,SLT,Quad Cab,automatic,1c6rr6gt1es236594,ca,3.5,10899.0,red,gray,high bid trading co inc,21900,21500,Wed Feb 18 2015 04:15:00 GMT-0800 (PST)
336060,2014,Nissan,Versa,1.6 SV,Sedan,automatic,3n1cn7apxel809537,wa,3.7,39171.0,silver,black,avis corporation,9950,10400,Wed Feb 18 2015 05:15:00 GMT-0800 (PST)
336061,2014,Nissan,Versa,1.6 SV,Sedan,automatic,3n1cn7ap9el861998,ga,4.8,7649.0,white,black,nissan motor acceptance corporation,10650,11200,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
336062,2014,Ram,1500,SLT,Quad Cab,automatic,1c6rr6gt8es357929,ca,4.2,12981.0,red,black,enterprise veh exchange/rental,21900,22200,Thu Feb 19 2015 03:30:00 GMT-0800 (PST)
336063,2014,Nissan,Versa,1.6 SV,Sedan,automatic,3n1cn7ap9el803549,tx,2.9,30164.0,silver,black,wichita falls ford lin inc,10250,9500,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
336064,2014,Nissan,Versa,1.6 SV,Sedan,automatic,3n1cn7ap1el809393,ga,3.7,27692.0,gray,black,gm financial,9825,9000,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
336065,2014,Nissan,Versa Note,1.6 SV,Hatchback,automatic,3n1ce2cp4el394716,tx,2.6,10455.0,white,gray,remarketing by ge/manheim dallas ft. worth,10800,7800,Thu Feb 19 2015 03:00:00 GMT-0800 (PST)
336066,2014,Nissan,Versa,1.6 SV,Sedan,automatic,3n1cn7ap6el817313,tx,2.2,36701.0,white,gray,avis corporation,9925,9000,Wed Feb 25 2015 02:15:00 GMT-0800 (PST)
336067,2014,Nissan,Versa Note,1.6 SV,Hatchback,automatic,3n1ce2cp6el383572,pa,3.4,23446.0,red,black,avis rent a car/barbush rentals,10350,9800,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
336068,2014,Ram,3500,SLT,Crew Cab,automatic,3c63r3hl2eg228062,wa,5.0,7822.0,burgundy,gray,toyota of renton,38100,39500,Wed Feb 18 2015 05:20:00 GMT-0800 (PST)
336069,2014,Ram,2500,SLT,Crew Cab,automatic,3c6ur5dl1eg213381,pa,4.4,19416.0,white,gray,smith haven chrysler jeep dodge,35400,35400,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
336070,2014,Ram,2500,SLT,Crew Cab,automatic,3c6ur5dl6eg213389,pa,3.9,14347.0,white,gray,smith haven chrysler jeep dodge,35800,35400,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
336071,2014,Ram,Promaster Cargo Van,2500 High Roof,Promaster Cargo Van,automatic,3c6trvdg8ee120822,ga,3.8,18907.0,white,black,budget rac of atlanta,23000,23500,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
336072,2014,Ram,2500,Laramie,Crew Cab,automatic,3c6ur5fl8eg281612,nv,4.3,19231.0,white,black,barco rent a truck,44000,43700,Fri Feb 20 2015 04:15:00 GMT-0800 (PST)
336073,2014,Ram,1500,SLT,Quad Cab,automatic,1c6rr7gt1es161496,az,4.4,21406.0,red,gray,findlay honda flagstaff,24900,25000,Thu Feb 19 2015 03:30:00 GMT-0800 (PST)
336074,2014,Ram,2500,Laramie,Crew Cab,automatic,3c6ur5fl2eg129907,nv,4.4,34451.0,white,black,barco rent a truck,42600,43100,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
336075,2014,Ram,2500,SLT,Crew Cab,automatic,3c6ur5dlxeg213377,tx,4.1,26310.0,white,gray,hopper motorplex inc,34900,39600,Wed Feb 18 2015 02:15:00 GMT-0800 (PST)
336076,2014,Ram,2500,Laramie,Crew Cab,automatic,3c6ur5fl8eg328427,wa,4.4,11770.0,red,gray,barco rent a truck,44700,44500,Wed Feb 18 2015 05:55:00 GMT-0800 (PST)
336077,2014,Ram,2500,Laramie,Crew Cab,automatic,3c6ur5fl9eg177145,nv,4.2,36296.0,white,black,barco rent a truck,42400,42900,Fri Feb 20 2015 04:15:00 GMT-0800 (PST)
336078,2014,Ram,2500,SLT,Crew Cab,automatic,3c6ur5dl5eg186976,sc,4.0,50413.0,white,gray,enterprise veh exchange/rental,33300,32800,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
336079,2014,Ram,2500,Tradesman,Crew Cab,automatic,3c6ur5cl0eg195540,tx,4.4,24596.0,black,gray,hopper motorplex inc,32900,36000,Wed Feb 18 2015 02:15:00 GMT-0800 (PST)
336080,2014,Ram,2500,Tradesman,Crew Cab,automatic,3c6ur5cl7eg147291,va,4.9,7228.0,gray,gray,fiserv/citizens one auto finance,34700,36200,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
336081,2014,Scion,FR-S,Base,Coupe,automatic,jf1znaa17e8701509,ca,3.4,13768.0,gray,black,lease remarketing services inc,19500,20000,Wed Feb 18 2015 04:00:00 GMT-0800 (PST)
336082,2014,Ram,2500,Laramie,Crew Cab,automatic,3c6ur5fl4eg328408,nv,4.8,22190.0,black,black,barco rent a truck,43700,43800,Fri Feb 20 2015 04:15:00 GMT-0800 (PST)
