num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
339999,2006,Cadillac,DTS,Performance,Sedan,automatic,1g6kd57926u100572,fl,2.1,59477.0,blue,beige,east coast financial,7750,3900,Fri Feb 20 2015 02:00:00 GMT-0800 (PST)
340000,2006,BMW,X5,3.0i,SUV,automatic,5uxfa13546ly41555,pa,2.8,113023.0,black,black,tdaf remarketing,7700,8600,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
340001,2006,Cadillac,STS,V6,Sedan,automatic,1g6dw677160160910,nc,2.0,74001.0,blue,—,sst financial,6800,5500,Mon Mar 09 2015 02:30:00 GMT-0700 (PDT)
340002,2006,Ford,Altima,Base,Sedan,automatic,2g1wb58n669281732,ab,3.3,134020.0,gold,black,c m webber holdings ltd,3500,3500,Thu Feb 26 2015 03:30:00 GMT-0800 (PST)
340003,2006,Chevrolet,Aveo,LT,Sedan,automatic,kl1tg56626b648817,fl,1.9,94834.0,silver,black,ed morse auto plaza,3000,2600,Thu Feb 19 2015 15:30:00 GMT-0800 (PST)
340004,2006,Chevrolet,Equinox,LT,SUV,automatic,2cndl73f266204876,ab,3.3,181496.0,silver,gray,go auto finance,3150,3600,Thu Feb 26 2015 03:30:00 GMT-0800 (PST)
340005,2006,Chevrolet,Cobalt,LS,Sedan,automatic,1g1ak55f967868371,nc,2.7,104798.0,black,gray,parkway automotive group,2625,3600,Fri Feb 20 2015 09:30:00 GMT-0800 (PST)
340006,2006,Chevrolet,Aveo,LS,Hatchback,automatic,kl1td66686b668617,ca,2.3,111127.0,black,black,lobel financial corp,1875,1800,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
340007,2006,Chevrolet,Equinox,LS,SUV,automatic,2cndl13f566205565,oh,2.6,132369.0,black,gray,car now acceptance co/columbus,3650,4300,Thu Mar 05 2015 01:00:00 GMT-0800 (PST)
340008,2006,Chevrolet,Cobalt,SS,Sedan,automatic,1g1am58b367694736,ca,1.9,151424.0,black,gray,premium auto wholesale,2400,2150,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
340009,2006,Ford,Altima,Base,Sedan,automatic,3gnda23p36s583868,va,1.9,104998.0,gray,gray,consumer portfolio services,4400,1700,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
