num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
340999,2015,Chevrolet,Tahoe,LT,SUV,automatic,1gnscbkcxfr187889,ca,4.4,29262.0,white,black,enterprise veh exchange/rental,41400,41300,Thu Feb 26 2015 03:30:00 GMT-0800 (PST)
341000,2014,FIAT,500L,Easy,Wagon,automatic,zfbcfabh8ez023827,ca,3.0,24413.0,black,black,hertz corporation/gdp,11650,12400,Tue Mar 03 2015 04:30:00 GMT-0800 (PST)
341001,2014,FIAT,500L,Easy,Wagon,automatic,zfbcfabh4ez023906,ca,3.0,20526.0,black,gray,hertz corporation/gdp,11900,12300,Tue Mar 10 2015 05:30:00 GMT-0700 (PDT)
341002,2014,Dodge,Journey,Limited,SUV,automatic,3c4pdcdg2et148463,il,5.0,23845.0,black,black,"chrysler group,llc",17600,19700,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
341003,2014,FIAT,500L,Pop,Wagon,manual,zfbcfaahxez014077,mi,5.0,2652.0,red,black,tdaf remarketing,12250,11700,Thu Feb 26 2015 01:30:00 GMT-0800 (PST)
341004,2014,Dodge,Journey,SE,SUV,automatic,3c4pdcab8et133040,nc,4.7,9077.0,white,beige,chrysler capital,16300,15000,Mon Feb 23 2015 01:30:00 GMT-0800 (PST)
341005,2014,Dodge,Journey,SE,SUV,automatic,3c4pdcab4et182218,tn,3.1,18627.0,gray,gray,chrysler capital,15600,14900,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
341006,2014,Dodge,Journey,SXT,SUV,automatic,3c4pdcbg2et225979,ca,3.0,21828.0,red,black,hertz corporation/gdp,16750,17000,Tue Mar 03 2015 04:30:00 GMT-0800 (PST)
341007,2014,Ford,E-Series Van,E-250,E-Series Van,automatic,1ftns2ew3eda76773,md,4.0,42798.0,white,gray,ars/enterprise,21000,20200,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
341008,2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,automatic,1fbne3bl2eda97898,nv,4.9,21103.0,white,gray,ken garff st. george ford lincoln,19500,19900,Fri Feb 20 2015 04:00:00 GMT-0800 (PST)
341009,2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,automatic,1fbne3bl9eda47886,il,3.4,25977.0,white,gray,avis budget group,19150,19700,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
341010,2014,Ford,F-350 Super Duty,Platinum,Crew Cab,automatic,1ft8w3bt8eea51265,ny,4.9,27852.0,white,gray,carriage traders,49600,49400,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
341011,2014,Ford,E-Series Van,E-250,E-Series Van,automatic,1ftns2ew6eda83877,ne,3.6,17927.0,white,gray,town & country motors,22600,20000,Thu Feb 19 2015 03:00:00 GMT-0800 (PST)
341012,2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,automatic,1fbne3bl8eda59737,il,3.9,16487.0,white,gray,avis budget group,20000,20300,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
341013,2014,Ford,Escape,SE,SUV,automatic,1fmcu9g96eud60315,qc,4.8,17362.0,gold,black,ford motor company of canada,23800,24000,Tue Feb 24 2015 02:00:00 GMT-0800 (PST)
341014,2014,Ford,Edge,Limited,SUV,automatic,2fmdk4kc6eba72462,qc,5.0,21200.0,white,black,ford motor company of canada,31200,31800,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
341015,2014,Ford,Edge,Limited,SUV,automatic,2fmdk4kc4eba71469,nj,4.3,24831.0,silver,black,ars/enterprise,26100,25500,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
341016,2014,Ford,Edge,Limited,SUV,automatic,2fmdk4kc2eba72457,qc,5.0,9630.0,black,black,ford motor company of canada,32500,32100,Tue Feb 24 2015 02:00:00 GMT-0800 (PST)
341017,2014,Ford,Escape,SE,SUV,automatic,1fmcu9g98eud46027,qc,4.5,14950.0,black,black,ford motor company of canada,23900,24500,Tue Feb 24 2015 02:00:00 GMT-0800 (PST)
341018,2014,Ford,Edge,Limited,SUV,automatic,2fmdk4kc1eba72451,qc,5.0,17260.0,brown,black,ford motor company of canada,30500,31200,Tue Feb 24 2015 02:00:00 GMT-0800 (PST)
341019,2014,Ford,Escape,Titanium,SUV,automatic,1fmcu9j91euc07074,mi,4.9,3934.0,silver,black,ars-cpo,25700,24300,Thu Feb 19 2015 01:00:00 GMT-0800 (PST)
341020,2014,Ford,Escape,SE,SUV,automatic,1fmcu0gx2eud45997,qc,4.7,17239.0,red,black,ford motor company of canada,21500,21800,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
341021,2014,Ford,Escape,Titanium,SUV,automatic,1fmcu0jx7eua50516,fl,4.9,8300.0,—,beige,ford-lincoln dealer program,23100,19000,Thu Feb 19 2015 01:00:00 GMT-0800 (PST)
341022,2014,Ford,Escape,Titanium,SUV,automatic,1fmcu9j98eud74290,mi,5.0,13307.0,silver,black,larry hudson chevrolet buick gmc inc,24600,23500,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
341023,2014,Ford,Escape,SE,SUV,automatic,1fmcu0gx4euc00539,ga,4.8,21878.0,silver,gray,lease plan usa,17450,18100,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
341024,2014,Ford,Escape,Titanium,SUV,automatic,1fmcu9j99euc77745,il,3.7,35372.0,blue,black,avis budget group,21900,21600,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
341025,2014,Ford,Escape,SE,SUV,automatic,1fmcu0g94eua14873,nc,3.6,51513.0,green,green,chrysler capital,15150,13900,Mon Feb 23 2015 01:30:00 GMT-0800 (PST)
341026,2014,Ford,Explorer,Limited,SUV,automatic,1fm5k8f81egc37215,nj,4.5,14799.0,blue,black,ars/enterprise,32500,32200,Wed Feb 25 2015 01:00:00 GMT-0800 (PST)
341027,2014,Ford,Expedition,EL King Ranch,SUV,automatic,1fmjk1h51eef13347,nv,3.5,37248.0,black,beige,avis corporation,32000,32250,Fri Feb 27 2015 04:25:00 GMT-0800 (PST)
341028,2014,Ford,Explorer,Limited,SUV,automatic,1fm5k8f82egc49048,pa,2.6,18942.0,red,black,leaserite leasing and sales,31300,27900,Fri Mar 06 2015 01:00:00 GMT-0800 (PST)
341029,2014,Ford,Explorer,Limited,SUV,automatic,1fm5k8f82ega96560,nc,4.9,19094.0,silver,beige,primeritus remarketing/coastal fcu,31900,32000,Mon Feb 23 2015 01:30:00 GMT-0800 (PST)
341030,2014,Ford,Explorer,XLT,SUV,automatic,1fm5k8d89egc40978,qc,3.9,13345.0,brown,gray,ford motor company of canada,33900,33700,Tue Feb 24 2015 02:00:00 GMT-0800 (PST)
341031,2014,Ford,F-150,XL,Regular Cab,automatic,1ftmf1cm8ekd15984,ca,4.6,26877.0,white,gray,ars/executive car leasing co,16700,18200,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
341032,2014,Ford,F-150,XL,Regular Cab,automatic,1ftmf1cm4ekd15979,ca,3.8,27009.0,white,gray,ars/executive car leasing co,16700,17000,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
341033,2014,Ford,F-150,FX4,SuperCrew,automatic,1ftfw1ef5efc97377,ga,5.0,15472.0,red,black,ars/thrifty car rental/greer,35800,36600,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
341034,2014,Ford,F-150,FX4,SuperCrew,automatic,1ftfw1ef6efd12906,ga,5.0,14141.0,red,black,ars/thrifty car rental/greer,36100,35300,Mon Mar 09 2015 03:00:00 GMT-0700 (PDT)
341035,2014,Ford,F-150,XLT,SuperCab,automatic,1ftex1cm1ekd19635,fl,4.8,16510.0,blue,gray,bank of america/certified repo,21600,23800,Wed Feb 25 2015 01:05:00 GMT-0800 (PST)
341036,2014,Ford,F-150,Lariat,SuperCrew,automatic,1ftfw1ef7efc35804,ga,4.6,13478.0,black,tan,ars/thrifty car rental/greer,35200,35200,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
341037,2014,Ford,F-150,XLT,SuperCrew,automatic,1ftfw1et0efb51216,qc,4.4,3676.0,gray,black,canadian road leasing co & ford credit canda ltd,30300,35000,Tue Feb 24 2015 02:00:00 GMT-0800 (PST)
341038,2014,Ford,F-150,Lariat,SuperCrew,automatic,1ftfw1efxefc74595,ga,5.0,14902.0,white,black,ars/thrifty car rental/greer,35100,34700,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
341039,2014,Ford,F-150,FX4,SuperCrew,automatic,1ftfw1ef8efd12891,ga,5.0,14397.0,black,black,ars/thrifty car rental/greer,36000,36200,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
