num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
344999,2014,Ford,Fusion,SE,Sedan,automatic,1fa6p0h77e5366965,mo,4.3,32043.0,gray,black,ars/avis budget group,14600,14400,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
345000,2014,Ford,Fusion,SE,Sedan,automatic,3fa6p0h72er261585,tn,4.6,30909.0,—,black,ars/avis budget group,14650,14800,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
345001,2014,Ford,Fusion,SE,Sedan,automatic,3fa6p0hd4er346238,qc,4.3,17804.0,silver,black,ford motor company of canada,19000,20000,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
345002,2014,Ford,Fusion,SE,Sedan,automatic,3fa6p0h78er112713,ny,4.0,24024.0,gray,black,ars/enterprise,15100,15700,Tue Mar 03 2015 01:50:00 GMT-0800 (PST)
345003,2014,Ford,Fusion,SE,Sedan,automatic,1fa6p0h70e5382330,mo,3.7,31771.0,silver,black,ars/avis budget group,14600,14400,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
345004,2014,Ford,Fusion,SE,Sedan,automatic,3fa6p0h73er235898,ny,4.6,17658.0,black,beige,ford motor credit company,15650,15600,Tue Mar 03 2015 01:50:00 GMT-0800 (PST)
345005,2014,Ford,Fusion,SE,Sedan,automatic,1fa6p0h79e5382701,mo,3.9,31043.0,black,black,ars/avis budget group,14650,14600,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
345006,2015,Ford,Explorer,Sport,SUV,automatic,1fm5k8gt6fga29027,tx,4.4,24248.0,—,brown,budget rac of atlanta,36600,38000,Thu Feb 26 2015 02:30:00 GMT-0800 (PST)
345007,2015,GMC,Yukon XL,SLT,SUV,automatic,1gks2hkc7fr240003,md,4.9,16145.0,black,black,enterprise veh exchange/rental,53700,50500,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
345008,2015,Ford,F-250 Super Duty,Lariat,Crew Cab,automatic,1ft7w2bt8fea63715,fl,4.2,12221.0,white,black,royal rent a car,48900,48000,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
345009,2015,Ford,F-250 Super Duty,XLT,Crew Cab,automatic,1ft7w2bt1feb23902,fl,4.6,14393.0,silver,gray,enterprise vehicle exchange/ars/coconut creek,38400,39300,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
345010,2014,Ford,Fusion,SE,Sedan,automatic,3fa6p0hd4er171716,mo,4.3,37250.0,red,tan,ars/avis budget group,15150,15000,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
345011,2014,Ford,Fusion,SE,Sedan,automatic,1fa6p0h72e5373533,oh,2.9,44554.0,gray,black,ars/avis budget group,13700,13600,Tue Feb 24 2015 01:00:00 GMT-0800 (PST)
345012,2014,Ford,Fusion,Titanium,Sedan,automatic,3fa6p0k95er235492,fl,4.2,37847.0,white,black,enterprise vehicle exchange/ars/coconut creek,18500,19200,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
345013,2014,Ford,Mustang,V6,Convertible,automatic,1zvbp8em8e5311939,qc,4.3,13485.0,black,black,ford motor company of canada,24800,26100,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
345014,2014,Ford,Fusion,SE,Sedan,automatic,3fa6p0h75er159956,mo,3.9,40798.0,red,black,ars/avis budget group,13950,13900,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
345015,2014,Ford,Fusion,SE,Sedan,automatic,1fa6p0h75e5373526,mo,3.9,36710.0,black,tan,ars/avis budget group,14250,14100,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
345016,2014,Ford,Fusion,SE,Sedan,automatic,3fa6p0hd3er208786,mo,4.2,37152.0,black,tan,ars/avis budget group,15150,15600,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
345017,2014,Ford,Fusion,SE,Sedan,automatic,3fa6p0hd7er236574,mo,4.1,40112.0,black,black,ars/avis budget group,14900,15100,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
345018,2014,Ford,Fusion,SE,Sedan,automatic,3fa6p0h79er262166,mo,2.9,36743.0,orange,black,ars/avis budget group,14250,14100,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
345019,2014,Ford,Fusion,SE,Sedan,automatic,3fa6p0hd8er262729,mo,4.3,38962.0,silver,black,ars/avis budget group,15000,14800,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
345020,2014,Ford,Mustang,V6,Convertible,automatic,1zvbp8em3e5266845,fl,4.2,18783.0,silver,black,toyota volvo of keene,19600,19800,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
345021,2014,Ford,Mustang,V6,Convertible,automatic,1zvbp8em1e5240258,fl,3.4,24364.0,silver,black,toyota volvo of keene,20900,19700,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
345022,2014,Ford,Mustang,V6,Coupe,automatic,1zvbp8am6e5234297,tn,4.4,35023.0,—,black,ars/avis budget group,18100,18400,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
345023,2014,Ford,Mustang,V6,Convertible,automatic,1zvbp8em7e5262524,tn,4.6,40802.0,white,gray,ars/avis budget group,16100,18600,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
345024,2014,Ford,Mustang,V6,Coupe,automatic,1zvbp8am7e5329077,tx,4.6,21313.0,—,black,budget rac of atlanta,17800,18400,Thu Feb 26 2015 02:30:00 GMT-0800 (PST)
345025,2014,Ford,Mustang,GT,Convertible,automatic,1zvbp8ff5e5314362,qc,4.6,14758.0,silver,black,ford motor company of canada,33400,32500,Tue May 19 2015 03:00:00 GMT-0700 (PDT)
345026,2014,Ford,Mustang,GT,Convertible,automatic,1zvbp8ff0e5314365,qc,4.8,15780.0,red,black,ford motor company of canada,30400,25100,Tue Mar 10 2015 03:00:00 GMT-0700 (PDT)
345027,2014,Ford,Mustang,GT Premium,Convertible,automatic,1zvbp8ff0e5229882,pa,4.2,11928.0,silver,black,r hollenshead auto sales inc,30200,25500,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
345028,2014,Ford,Mustang,GT,Convertible,automatic,1zvbp8ffxe5314373,qc,5.0,6003.0,black,black,ford motor company of canada,29800,32200,Tue Feb 24 2015 05:00:00 GMT-0800 (PST)
345029,2014,Ford,Mustang,GT,Convertible,automatic,1zvbp8ff2e5314402,qc,4.3,13638.0,gray,black,ford motor company of canada,29700,32100,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
