num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
345999,2015,BMW,X1,xDrive35i,SUV,automatic,wbavm5c51fvv94346,oh,4.0,9823.0,—,black,bmw north america greer,34800,34750,Tue Feb 24 2015 06:00:00 GMT-0800 (PST)
346000,2015,Audi,A3,1.8 TFSI Premium,Sedan,automatic,wauacgff9f1001521,ca,4.1,7531.0,gray,black,vci/auto gallery,23600,24000,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
346001,2015,BMW,4 Series,435i xDrive,Coupe,automatic,wba3r5c52fk189185,oh,3.7,5446.0,gray,black,bmw north america greer,46900,45250,Tue Feb 24 2015 06:00:00 GMT-0800 (PST)
346002,2015,BMW,3 Series,328i xDrive SULEV,Sedan,automatic,wba3b5g55fns12360,oh,4.8,4899.0,white,—,bmw north america greer,37400,37750,Tue Feb 24 2015 06:00:00 GMT-0800 (PST)
346003,2015,BMW,3 Series,328i xDrive SULEV,Sedan,automatic,wba3b5g59fns13382,oh,4.4,5795.0,gray,black,bmw north america greer,37100,39750,Tue Feb 24 2015 06:00:00 GMT-0800 (PST)
346004,2015,BMW,4 Series,428i,Coupe,automatic,wba3n3c5xfk232543,oh,4.9,4025.0,black,—,bmw north america greer,38900,40000,Tue Feb 24 2015 06:00:00 GMT-0800 (PST)
346005,2015,BMW,3 Series,328i,Sedan,automatic,wba3a5g59fns82124,oh,4.7,5247.0,white,black,bmw north america greer,35500,37000,Tue Feb 24 2015 06:00:00 GMT-0800 (PST)
346006,2015,BMW,5 Series,535i,Sedan,automatic,wba5b1c54fd918698,oh,4.9,6185.0,black,black,bmw north america greer,50200,50000,Tue Feb 24 2015 06:00:00 GMT-0800 (PST)
346007,2015,BMW,X1,sDrive28i,SUV,automatic,wbavm1c56fv315563,oh,5.0,4117.0,white,beige,bmw north america greer,29200,28750,Tue Feb 24 2015 06:00:00 GMT-0800 (PST)
346008,2015,BMW,3 Series,328i xDrive SULEV,Sedan,automatic,wba3b5g57fns13946,oh,5.0,4112.0,blue,—,bmw north america greer,37600,38750,Tue Feb 24 2015 06:00:00 GMT-0800 (PST)
346009,2015,BMW,X1,sDrive28i,SUV,automatic,wbavm1c5xfvz94219,oh,4.9,6236.0,white,black,bmw north america greer,28800,29250,Tue Feb 24 2015 06:00:00 GMT-0800 (PST)
346010,2015,BMW,3 Series,328i,Sedan,automatic,wba3a5g5xfns82228,oh,4.7,5908.0,white,black,bmw north america greer,35400,31750,Tue Feb 24 2015 06:00:00 GMT-0800 (PST)
346011,2013,Nissan,Murano,SV,SUV,automatic,jn8az1mw3dw306373,pa,3.0,58053.0,gray,black,the hertz corporation,16800,17100,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
346012,2013,Nissan,Maxima,3.5 S,Sedan,automatic,1n4aa5ap1dc830233,wi,3.5,58712.0,silver,black,the hertz corporation,13900,13900,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
346013,2013,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap4dc828475,pa,3.3,50794.0,gray,black,the hertz corporation,16500,16400,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
346014,2013,Nissan,Maxima,3.5 S,Sedan,automatic,1n4aa5ap4dc828086,mn,3.5,53255.0,white,black,the hertz corporation,14400,14501,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
346015,2013,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap5dc828727,pa,2.9,54435.0,red,black,the hertz corporation,16000,15800,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
346016,2013,Nissan,Murano,SV,SUV,automatic,jn8az1mw2dw308518,pa,3.9,58642.0,gray,black,the hertz corporation,16600,16400,Fri Mar 06 2015 01:00:00 GMT-0800 (PST)
346017,2013,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap2dc830676,pa,3.4,57242.0,gray,black,the hertz corporation,15650,15500,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
346018,2013,Nissan,Maxima,3.5 S,Sedan,automatic,1n4aa5apxdc805699,tx,3.4,59726.0,gray,gray,the hertz corporation,13800,13800,Tue Feb 24 2015 16:00:00 GMT-0800 (PST)
346019,2013,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap0dc802956,mo,3.8,37109.0,silver,black,nissan motor acceptance corporation,18350,16900,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
346020,2013,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap1dc842060,pa,3.7,60055.0,silver,black,dtg operations inc,15250,15200,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
346021,2013,Nissan,Pathfinder,SL,SUV,automatic,5n1ar2mm5dc638599,il,4.5,42984.0,gray,black,nissan-infiniti lt,22700,24600,Thu Jul 09 2015 07:00:00 GMT-0700 (PDT)
346022,2013,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap6dc831412,pa,3.2,54640.0,red,black,the hertz corporation,16050,15500,Fri Mar 06 2015 01:00:00 GMT-0800 (PST)
346023,2013,Nissan,Sentra,S,Sedan,automatic,3n1ab7ap5dl791074,md,3.7,29226.0,silver,black,capital one auto finance,11600,11800,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
346024,2013,Nissan,Rogue,S,SUV,automatic,jn8as5mtxdw538115,ca,3.4,4321.0,white,black,nissan motor acceptance corporation,16700,15750,Tue Mar 03 2015 04:30:00 GMT-0800 (PST)
346025,2013,Nissan,Sentra,SV,Sedan,automatic,3n1ab7ap3dl786407,mo,4.4,13092.0,black,black,nissan motor acceptance corporation,12550,12800,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
346026,2013,Nissan,Sentra,S,Sedan,automatic,3n1ab7ap6dl773005,il,2.4,22147.0,black,black,nissan motor acceptance corporation,12000,10600,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
346027,2013,Nissan,Rogue,S,SUV,automatic,jn8as5mt1dw548435,nj,2.0,26590.0,white,black,enterprise veh exchange/rental,14600,11800,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
346028,2013,Nissan,Rogue,S,SUV,automatic,jn8as5mt5dw004004,fl,2.7,36081.0,—,black,nissan motor acceptance corporation,13950,12200,Thu Feb 26 2015 01:15:00 GMT-0800 (PST)
346029,2013,Nissan,Rogue,S,SUV,automatic,jn8as5mvxdw617642,md,2.8,60463.0,blue,black,the hertz corporation,13150,12000,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
346030,2013,Nissan,Quest,SV,Minivan,automatic,jn8ae2kp8d9063753,md,3.5,60297.0,—,gray,the hertz corporation,15400,15500,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
346031,2013,Nissan,Pathfinder,S,SUV,automatic,5n1ar2mm0dc658629,ca,3.9,7198.0,black,black,nissan motor acceptance corporation,20900,23250,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
346032,2013,Nissan,Rogue,S,SUV,automatic,jn8as5mv4dw660244,nj,3.5,27744.0,blue,black,enterprise veh exchange/rental,15100,13100,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
346033,2013,Nissan,Sentra,S,Sedan,manual,3n1ab7ap7dl562377,ca,1.6,6836.0,—,black,nissan motor acceptance corporation,13000,4250,Tue Mar 03 2015 04:00:00 GMT-0800 (PST)
346034,2013,Nissan,Rogue,S,SUV,automatic,jn8as5mvxdw606947,il,3.4,25874.0,blue,black,nissan-infiniti lt,15500,16000,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
346035,2013,smart,fortwo,pure coupe,Hatchback,automatic,wmeej3ba0dk595308,ca,4.2,24484.0,—,black,mercedes-benz financial services,7950,8250,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
346036,2013,Scion,FR-S,Base,Coupe,manual,jf1znaa18d1720934,pr,4.6,16290.0,gray,black,toyota credit de puerto rico,18200,24100,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
346037,2013,Subaru,Forester,2.5X Premium PZEV,SUV,automatic,jf2shadc5dh442129,nj,4.4,45543.0,gray,gray,zanger enterprises inc,17950,18100,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
346038,2013,Nissan,Versa,1.6 S Plus,Sedan,automatic,3n1cn7ap7dl867507,ca,3.9,38006.0,silver,black,the hertz corporation,9675,10400,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
346039,2013,Nissan,Xterra,S,SUV,automatic,5n1an0nu0dn812856,in,4.8,30556.0,white,gray,santander consumer,17450,17000,Thu Feb 26 2015 02:10:00 GMT-0800 (PST)
346040,2013,Nissan,Versa,1.6 S Plus,Sedan,automatic,3n1cn7ap7dl851016,mo,2.3,18273.0,—,black,nissan motor acceptance corporation,10050,9100,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
346041,2013,Ram,3500,Tradesman,Crew Cab,manual,3c63rrglxdg607216,pa,4.0,32278.0,black,gray,r hollenshead auto sales inc,34500,36000,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
346042,2013,smart,fortwo,pure coupe,Hatchback,automatic,wmeej3ba4dk600560,ca,3.8,13499.0,silver,black,mercedes-benz financial services,8425,8900,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
346043,2013,Scion,FR-S,Base,Coupe,manual,jf1znaa15d1727629,pr,2.9,25168.0,white,black,toyota credit de puerto rico,17550,19400,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
346044,2013,Scion,iQ,Base,Hatchback,automatic,jtnjjxb08dj025537,tx,4.8,5586.0,white,black,"jpmorgan chase bank,n.a.",10800,10900,Wed Feb 25 2015 02:15:00 GMT-0800 (PST)
346045,2013,Nissan,Versa,1.6 S Plus,Sedan,automatic,3n1cn7ap5dl822713,pa,1.9,53950.0,black,black,the hertz corporation,8975,8600,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
346046,2013,Nissan,Titan,PRO-4X,Crew Cab,automatic,1n6aa0ec3dn312548,nv,4.3,22245.0,gray,black,riverton hyundai,26600,28100,Fri Feb 20 2015 04:00:00 GMT-0800 (PST)
346047,2013,smart,fortwo,pure coupe,Hatchback,automatic,wmeej3ba4dk633073,ca,3.8,13947.0,black,black,mercedes-benz financial services,8575,8500,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
346048,2013,Nissan,Sentra,SV,Sedan,automatic,3n1ab7ap2dl705493,fl,4.7,3507.0,—,beige,nissan-infiniti lt,12650,13600,Thu Feb 26 2015 01:15:00 GMT-0800 (PST)
346049,2013,Subaru,Impreza,2.0i Premium PZEV,Hatchback,automatic,jf1gpac62dh841122,tx,2.8,17009.0,red,black,"jpmorgan chase bank,n.a.",16400,15000,Wed Feb 25 2015 02:15:00 GMT-0800 (PST)
346050,2013,Ram,1500,SLT,Quad Cab,automatic,1c6rr6gt8ds666282,fl,3.3,22149.0,green,gray,chrysler capital,22900,22400,Wed Feb 25 2015 01:05:00 GMT-0800 (PST)
