num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
350999,2013,Chevrolet,Sonic,LT,Sedan,automatic,1g1jc5sh5d4177503,pa,3.3,53003.0,white,black,the hertz corporation,8075,7400,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
351000,2013,Chevrolet,Sonic,LT,Sedan,automatic,1g1jc5sh6d4169605,la,3.1,56148.0,silver,black,the hertz corporation,8525,8500,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
351001,2013,Chevrolet,Spark,LS,Hatchback,manual,kl8ca6s90dc589492,mo,3.1,37569.0,blue,gray,santander consumer,7450,7000,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
351002,2013,Chrysler,300,S,Sedan,automatic,2c3ccabt3dh708122,mi,4.3,28387.0,white,black,chrysler capital,24400,23000,Thu Feb 26 2015 01:30:00 GMT-0800 (PST)
351003,2013,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab6dn537944,fl,4.3,42365.0,white,black,santander consumer,10350,11200,Wed Feb 25 2015 01:05:00 GMT-0800 (PST)
351004,2013,Chrysler,200,Touring,Sedan,automatic,1c3ccbbb2dn706026,co,4.6,40427.0,white,black,enterprise veh exchange/rental,10900,11500,Wed Feb 25 2015 03:15:00 GMT-0800 (PST)
351005,2013,Chrysler,200,Touring,Sedan,automatic,1c3ccbbb4dn608499,wa,3.7,39209.0,gray,black,avis corporation,10950,12100,Wed Feb 25 2015 05:10:00 GMT-0800 (PST)
351006,2013,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg2dr747738,mi,4.7,20297.0,gray,black,chrysler capital,18550,19900,Thu Feb 26 2015 01:30:00 GMT-0800 (PST)
351007,2013,Chrysler,300,S,Sedan,automatic,2c3ccagt4dh744006,mi,4.4,26559.0,gray,black,chrysler capital,25100,25600,Thu Feb 26 2015 01:30:00 GMT-0800 (PST)
351008,2013,Chrysler,Town and Country,Touring-L,Minivan,automatic,2c4rc1cg5dr736795,mi,4.8,23765.0,—,black,chrysler capital,21400,22000,Thu Feb 26 2015 01:30:00 GMT-0800 (PST)
351009,2013,Chrysler,300,C,Sedan,automatic,2c3ccaet5dh685518,pa,4.4,3032.0,white,tan,fifth third bank,23000,23600,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
351010,2013,Chrysler,200,LX,Sedan,automatic,1c3ccbag5dn724324,ga,4.0,16606.0,black,black,chrysler capital,12000,12400,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
351011,2013,Chrysler,300,Base,Sedan,automatic,2c3ccaag8dh630568,va,4.6,7484.0,silver,tan,fiserv/citizens one auto finance,18850,17900,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
351012,2013,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg6dr656830,nc,3.5,65634.0,white,black,the hertz corporation,14050,13200,Tue Mar 03 2015 01:15:00 GMT-0800 (PST)
351013,2013,Chrysler,200,Touring,Sedan,automatic,1c3ccbbbxdn655441,ga,4.2,24230.0,brown,tan,chrysler capital,11850,12400,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
351014,2013,Chrysler,300,Base,Sedan,automatic,2c3ccaag4dh572524,mn,4.4,23135.0,red,black,ford-lincoln dealer program,17900,17500,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
351015,2013,Chrysler,200,Touring,Sedan,automatic,1c3ccbbb2dn721724,pa,4.2,54950.0,black,black,dtg operations inc,10100,10200,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
351016,2013,Chrysler,200,LX,Sedan,automatic,1c3ccbab4dn761675,fl,3.4,28427.0,black,black,enterprise veh exchange/rental,11350,11900,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
351017,2013,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg3dr708821,mi,3.6,30159.0,—,black,chrysler capital,17600,17000,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
