num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
352999,2010,Mercedes-Benz,C-Class,C300 Sport,Sedan,automatic,wddgf5eb8ar112617,ca,3.5,38831.0,black,—,mercedes-benz finc wholesale advantage,16750,17250,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
353000,2010,Lincoln,MKZ,Base,Sedan,automatic,3lnhl2gc5ar644080,ca,3.1,73673.0,green,black,exeter finance corp,10100,11800,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
353001,2010,Mazda,Mazda3,s Grand Touring,Sedan,automatic,jm1bl1s59a1102181,tx,2.6,89396.0,white,tan,tdaf remarketing,7750,9400,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
353002,2010,Mazda,Mazda3,s Grand Touring,Sedan,automatic,jm1bl1s50a1320624,qc,3.9,65755.0,gray,black,goldstar motors,8575,10700,Tue Feb 24 2015 02:00:00 GMT-0800 (PST)
353003,2010,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1sg2a1299678,va,1.9,62780.0,white,black,credit acceptance corp/vrs/southfield,8075,6800,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
353004,2010,Mercedes-Benz,E-Class,E550,Sedan,automatic,wddhf7cb3aa067412,ca,2.9,83844.0,gray,black,high bid trading co inc,20500,19500,Wed Feb 25 2015 04:15:00 GMT-0800 (PST)
353005,2010,Lincoln,MKZ,Base,Sedan,automatic,3lnhl2gcxar643166,nc,3.3,66013.0,gray,—,hendrick lexus northlake,10500,11900,Wed Feb 25 2015 06:00:00 GMT-0800 (PST)
353006,2010,Mazda,Mazda3,i Touring,Sedan,automatic,jm1bl1sfxa1164021,mn,4.4,57865.0,black,black,wells fargo dealer services,7200,9900,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
353007,2010,Mazda,Mazda3,i SV,Sedan,automatic,jm1bl1sf0a1148491,pr,3.6,149457.0,blue,black,oriental bank,4775,5100,Thu Feb 26 2015 03:30:00 GMT-0800 (PST)
353008,2010,Mazda,CX-9,Sport,SUV,automatic,jm3tb2ma8a0220713,fl,4.1,104857.0,gray,black,auto sails inc,10000,9550,Wed Mar 04 2015 01:35:00 GMT-0800 (PST)
353009,2010,Mercedes-Benz,C-Class,C300 Sport 4MATIC,Sedan,automatic,wddgf8bbxaf447451,ma,2.6,62600.0,white,tan,boch toyota/scion south,15000,16100,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
353010,2010,Mercedes-Benz,GLK-Class,GLK350 4MATIC,SUV,automatic,wdcgg8hb6af431420,tx,4.1,46376.0,silver,black,texas direct auto,20800,20800,Wed Mar 04 2015 02:20:00 GMT-0800 (PST)
353011,2010,Scion,xD,Base,Hatchback,automatic,jtkku4b47aj054971,fl,3.3,51489.0,blue,black,world omni financial corporation,7650,7400,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
353012,2010,Mitsubishi,Lancer,DE,Sedan,automatic,ja32u1fu7au027752,pr,3.4,48722.0,white,black,oriental bank,5350,6000,Thu Feb 26 2015 03:30:00 GMT-0800 (PST)
