num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
355999,2014,Dodge,Challenger,SXT,Coupe,automatic,2c3cdyag1eh294074,ca,4.6,11948.0,gray,black,chrysler capital,20100,21000,Wed Feb 25 2015 16:00:00 GMT-0800 (PST)
356000,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bgxer212075,ne,3.6,43000.0,gray,black,enterprise vehicle exchange/davenport,17200,18100,Thu Feb 26 2015 02:30:00 GMT-0800 (PST)
356001,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg8er174359,tn,2.8,40040.0,—,black,avis corporation,17450,16900,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
356002,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg9er183376,ne,3.7,38907.0,gray,black,enterprise vehicle exchange/davenport,17650,18000,Thu Feb 26 2015 02:30:00 GMT-0800 (PST)
356003,2014,Dodge,Avenger,SXT,Sedan,automatic,1c3cdzcb8en237532,ca,5.0,10124.0,white,black,chrysler capital,12950,15000,Wed Feb 25 2015 16:00:00 GMT-0800 (PST)
356004,2014,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab4en170026,mi,3.5,26899.0,black,black,enterprise veh exchange/rental,11750,12100,Thu Feb 26 2015 01:30:00 GMT-0800 (PST)
356005,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg9er124117,ne,3.6,47162.0,gray,black,enterprise vehicle exchange/davenport,17150,17800,Thu Feb 26 2015 02:30:00 GMT-0800 (PST)
356006,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg7er160890,ne,3.8,41128.0,gray,black,enterprise vehicle exchange/davenport,17400,18100,Thu Feb 26 2015 02:30:00 GMT-0800 (PST)
356007,2004,Nissan,Sentra,1.8,Sedan,automatic,3n1cb51d24l461718,wa,2.0,95303.0,black,gray,enterprise rent a car,2300,2900,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
356008,2004,Nissan,Pathfinder,SE,SUV,automatic,jn8dr09y84w919008,nc,2.0,122496.0,burgundy,—,hendrick fiat of cary,3525,4600,Mon Feb 23 2015 01:30:00 GMT-0800 (PST)
356009,2004,Pontiac,Grand Prix,GT1,Sedan,automatic,2g2wp522041370557,ga,3.3,111258.0,beige,beige,five star nissan,2950,3800,Fri Feb 27 2015 03:00:00 GMT-0800 (PST)
356010,2004,Toyota,Avalon,XL,Sedan,automatic,4t1bf28b04u375762,ma,2.1,88447.0,black,gray,first hyundai,4775,5200,Thu Feb 26 2015 10:30:00 GMT-0800 (PST)
356011,2004,Toyota,4Runner,Limited,SUV,automatic,jtebt17r048015174,nc,2.8,148537.0,beige,beige,hendrick honda,7300,6600,Wed Mar 04 2015 06:00:00 GMT-0800 (PST)
356012,2004,Saturn,ION,1,Sedan,automatic,1g8ag52f64z150737,ca,1.9,62285.0,silver,gray,santander consumer,1925,3800,Wed Feb 25 2015 16:00:00 GMT-0800 (PST)
356013,2004,Saturn,ION,1,Sedan,manual,1g8af52f54z109647,pa,3.0,81986.0,silver,gray,atlantic fleet services,1825,2000,Mon Feb 23 2015 04:30:00 GMT-0800 (PST)
356014,2004,Pontiac,Grand Am,SE1,Sedan,automatic,1g2nf52e34c187981,ga,2.1,190532.0,gray,black,five star chevrolet cadillac,1100,1100,Fri Feb 27 2015 03:00:00 GMT-0800 (PST)
356015,2004,Saturn,VUE,Base,SUV,manual,5gzcz23d64s881986,ga,2.8,121844.0,black,gray,five star ford lincoln mercury,1800,1850,Fri Feb 27 2015 03:00:00 GMT-0800 (PST)
356016,2004,Volvo,S40,Base,Sedan,automatic,yv1vs27504f055901,ca,3.9,119064.0,white,tan,california auto exchange,1925,2300,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
356017,2004,Volkswagen,New Beetle,GLS,Convertible,automatic,3vwcm31y84m324126,ga,1.9,114272.0,blue,black,five star dodge,2825,1700,Fri Feb 27 2015 03:00:00 GMT-0800 (PST)
356018,2004,Volkswagen,Touareg,V6,SUV,automatic,wvgbc77l24d066746,ca,3.8,122083.0,beige,beige,south county lexus at mission viejo,4525,5400,Wed Feb 25 2015 03:30:00 GMT-0800 (PST)
356019,2004,Volkswagen,Jetta,GLI 1.8T,Sedan,manual,3vwse69m04m112395,ca,2.9,79871.0,black,black,high bid trading co inc,2575,4200,Wed Feb 25 2015 04:15:00 GMT-0800 (PST)
356020,2004,Toyota,Sienna,LE 8-Passenger,Minivan,automatic,5tdza23c24s211550,nc,1.9,248556.0,blue,gray,mercedes-benz of durham,2050,2500,Mon Feb 23 2015 01:30:00 GMT-0800 (PST)
356021,2003,Acura,MDX,Touring,SUV,automatic,2hnyd18883h533151,ga,2.4,211722.0,black,black,five star toyota of milledgeville,3275,2500,Fri Feb 27 2015 03:00:00 GMT-0800 (PST)
356022,2003,Chevrolet,Avalanche,1500,Crew Cab,automatic,3gnec13t13g129171,ga,3.4,154755.0,white,black,five star ford lincoln mercury,5200,6300,Fri Feb 27 2015 03:00:00 GMT-0800 (PST)
356023,2003,Chevrolet,Silverado 1500,LS,Extended Cab,automatic,2gcek19t531332351,ga,1.9,208124.0,green,gray,five star dodge,4100,4800,Fri Feb 27 2015 03:00:00 GMT-0800 (PST)
356024,2003,Chevrolet,Malibu,Base,Sedan,automatic,1g1nd52j43m612981,ga,2.5,141918.0,gold,gray,five star hyundai of warner robins,1275,1600,Fri Feb 27 2015 03:00:00 GMT-0800 (PST)
356025,2003,Dodge,Durango,Sport,SUV,automatic,1d4hr38n23f501034,tx,3.5,137166.0,black,black,hopper motorplex inc,1975,3700,Wed Feb 25 2015 02:15:00 GMT-0800 (PST)
356026,2003,Ford,F-150,Lariat,SuperCrew,automatic,1ftrw07603ka56223,ga,1.9,192069.0,burgundy,gray,five star ford lincoln mercury,4175,4000,Fri Feb 27 2015 03:00:00 GMT-0800 (PST)
356027,2003,Ford,F-150,XL,Regular Cab,manual,2ftrf18273ca70092,fl,2.0,208412.0,gold,beige,dab auto world & leasing,2000,2900,Tue Mar 03 2015 08:00:00 GMT-0800 (PST)
356028,2003,Ford,Escape,XLS Popular,SUV,automatic,1fmyu02193kc98176,ga,3.5,110497.0,silver,gray,five star dodge,2550,3800,Fri Feb 27 2015 03:00:00 GMT-0800 (PST)
356029,2003,Honda,Accord,EX V-6,Coupe,automatic,1hgcm82613a021232,ga,2.5,152120.0,gold,beige,five star ford lincoln mercury,3175,3600,Fri Feb 27 2015 03:00:00 GMT-0800 (PST)
356030,2003,Ford,Ranger,XL,Regular Cab,automatic,1ftyr10d43ta10325,ca,3.0,160770.0,white,gray,tradewinds remarketing,1725,4300,Tue Feb 24 2015 04:00:00 GMT-0800 (PST)
356031,2003,Honda,Accord,EX,Coupe,automatic,1hgcm72643a026855,nc,2.0,142758.0,red,tan,hendrick kia of cary,3375,1800,Mon Mar 02 2015 01:30:00 GMT-0800 (PST)
356032,2003,Ford,Taurus,SE,Sedan,automatic,1fafp532x3a210898,ga,2.7,210292.0,beige,tan,five star hyundai of warner robins,950,1200,Fri Feb 27 2015 03:00:00 GMT-0800 (PST)
356033,2003,HUMMER,H2,Base,SUV,automatic,5grgn23u13h132036,fl,3.4,122801.0,yellow,gray,kelley buick gmc inc,13150,14600,Tue Feb 24 2015 01:15:00 GMT-0800 (PST)
356034,2003,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl18093b095849,nc,2.1,188625.0,red,gray,hendrick chrysler jeep,1825,2200,Mon Feb 23 2015 01:30:00 GMT-0800 (PST)
356035,2003,Honda,Civic,LX,Coupe,automatic,1hgem22693l017097,ca,2.1,224299.0,black,black,high bid trading co inc,975,1400,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
356036,2003,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4gw48s63c503748,nc,2.0,184600.0,black,gray,hendrick honda,1825,2500,Wed Feb 25 2015 06:00:00 GMT-0800 (PST)
356037,2003,Lincoln,Aviator,Luxury,SUV,automatic,5lmeu88h63zj02320,ga,4.2,143578.0,—,beige,five star ford lincoln mercury,2100,4600,Fri Feb 27 2015 03:00:00 GMT-0800 (PST)
356038,2003,Lincoln,Town Car,Executive,Sedan,automatic,1lnhm81w63y699712,ga,3.4,111970.0,white,beige,five star ford lincoln mercury,3825,4200,Fri Feb 27 2015 03:00:00 GMT-0800 (PST)
356039,2003,Kia,Sedona,LX,Minivan,automatic,kndup131936478667,nc,2.4,186893.0,gold,gray,hendrick chrysler jeep,850,1400,Mon Feb 23 2015 01:30:00 GMT-0800 (PST)
356040,2003,Jeep,Liberty,Sport,SUV,automatic,1j4gl48k13w673359,nc,2.1,181988.0,black,gray,capital chrysler jeep dodge llc,1750,2400,Mon Feb 23 2015 01:00:00 GMT-0800 (PST)
356041,2003,Lincoln,Navigator,Ultimate,SUV,automatic,5lmfu27r63lj08679,ca,3.7,217431.0,silver,beige,california auto exchange,2225,4100,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
