num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
356999,2010,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1sf5a1279402,fl,2.8,82478.0,black,black,arcadia chevrolet buick inc.,6875,8500,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
357000,2010,Mercedes-Benz,C-Class,C350 Sport,Sedan,automatic,wddgf5gb9ar123428,fl,2.7,59073.0,gray,—,mercedes-benz finc wholesale advantage,16600,17200,Tue Jul 07 2015 06:15:00 GMT-0700 (PDT)
357001,2010,MINI,Cooper Clubman,S,Hatchback,automatic,wmwmm3c55atz32688,wi,2.0,124934.0,blue,—,knauz continental autos inc,7600,3600,Wed Feb 25 2015 01:00:00 GMT-0800 (PST)
357002,2010,Mercedes-Benz,Sprinter,2500 144 WB Cargo,Van,automatic,wd3pe7cc5a5464558,fl,4.2,14556.0,white,gray,tdaf remarketing,22000,24600,Tue Feb 24 2015 01:00:00 GMT-0800 (PST)
357003,2010,Mitsubishi,Galant,ES,Sedan,automatic,4a32b3ff2ae013026,nj,2.2,83489.0,black,gray,boardwalk honda,5325,5000,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
357004,2010,Mercedes-Benz,C-Class,C300 Sport 4MATIC,Sedan,automatic,wddgf8bb6af368665,fl,3.2,51207.0,white,black,johnson lexus of raleigh,16100,15000,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
357005,2010,Pontiac,G6,Fleet,Sedan,automatic,1g2za5e0xa4119442,ga,3.5,56244.0,white,black,innovative auto llc,8000,6100,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
357006,2010,Nissan,Pathfinder,LE,SUV,automatic,5n1ar1nnxac606891,fl,3.9,186867.0,red,black,dab auto world & leasing,7100,10200,Tue Feb 24 2015 08:00:00 GMT-0800 (PST)
357007,2010,Nissan,Titan,SE,Crew Cab,automatic,1n6ba0ekxan323618,tx,2.7,69618.0,blue,gray,gm financial,14900,16500,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
357008,2010,Scion,tC,Base,Hatchback,automatic,jtkde3b74a0314985,md,1.9,101163.0,black,gray,lexus of annapolis,6200,6800,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
