num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
357999,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap3dn545178,wi,3.8,35081.0,white,beige,bredemann chevrolet,13200,12000,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
358000,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap7dn558063,pa,4.3,54206.0,white,black,dtg operations inc,12050,11700,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
358001,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap3dn564359,mn,4.2,58151.0,silver,black,hertz car exchange inc/oklahoma city,11850,11600,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
358002,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap9dn515716,ca,4.2,58821.0,gray,black,dtg operations inc,11800,12100,Thu Feb 26 2015 03:30:00 GMT-0800 (PST)
358003,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap2dn442060,wi,4.2,84666.0,silver,black,"enterprise fleet management exchange, inc.",10800,10400,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
358004,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap9dn513044,wi,3.6,58304.0,white,gray,the hertz corporation,11800,11800,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
358005,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap8dc911034,il,4.3,18639.0,brown,tan,nissan-infiniti lt,15750,15400,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
358006,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap9dc243003,nj,4.6,32685.0,black,black,nissan-infiniti lt,13650,13600,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
358007,2013,Nissan,Frontier,SV,King Cab,automatic,1n6bd0ct1dn735658,ca,2.3,34601.0,red,gray,avis rac/san leandro,15450,16200,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
358008,2013,Nissan,Frontier,SV,Crew Cab,automatic,1n6ad0er5dn740553,nc,4.8,24156.0,blue,gray,medlin buick gmc mazda,19950,21500,Tue Feb 24 2015 01:15:00 GMT-0800 (PST)
358009,2013,Nissan,Frontier,SV,Crew Cab,automatic,1n6ad0ev1dn716358,fl,4.1,40514.0,white,gray,the hertz corporation,21200,20800,Fri Feb 27 2015 01:30:00 GMT-0800 (PST)
358010,2013,Nissan,Armada,SV,SUV,automatic,5n1aa0nc2dn608644,pa,2.5,57739.0,white,silver,the hertz corporation,22700,23700,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
358011,2013,Nissan,Juke,S,Hatchback,automatic,jn8af5mr1dt226064,ga,4.9,16679.0,brown,black,carworks inc,16200,15600,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
358012,2013,Nissan,Frontier,SV,King Cab,automatic,1n6bd0ct6dn735428,ca,1.9,32651.0,blue,gray,avis rac/san leandro,15600,15700,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
358013,2013,Nissan,Frontier,SV,Crew Cab,automatic,1n6ad0er9dn730673,ga,4.4,25259.0,gray,gray,kern automotive group inc,19900,20500,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
358014,2013,Nissan,Maxima,3.5 S,Sedan,automatic,1n4aa5ap0dc805971,fl,3.5,57321.0,red,black,the hertz corporation,14100,14900,Wed Mar 04 2015 01:10:00 GMT-0800 (PST)
358015,2013,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap0dc839523,nj,3.9,26585.0,white,black,nissan-infiniti lt,19700,18800,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
358016,2013,Nissan,Maxima,3.5 S,Sedan,automatic,1n4aa5ap4dc832929,tx,3.3,59270.0,burgundy,black,the hertz corporation,14100,13800,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
358017,2013,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap4dc810252,tn,4.6,30133.0,gray,gray,wholesale inc # 2,19200,20000,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
358018,2013,Nissan,Maxima,3.5 S,Sedan,automatic,1n4aa5ap2dc821945,fl,3.8,58254.0,silver,black,the hertz corporation,14000,14900,Wed Mar 04 2015 01:10:00 GMT-0800 (PST)
358019,2013,Nissan,Rogue,S,SUV,automatic,jn8as5mt1dw537273,az,2.4,13408.0,gray,—,first technology credit union,15800,16500,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
358020,2013,Nissan,Pathfinder,SL,SUV,automatic,5n1ar2mn2dc648015,tn,4.8,42233.0,black,gray,darrell waltrip buick gmc,22200,23200,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
358021,2013,Nissan,Rogue,S,SUV,automatic,jn8as5mv4dw115936,az,2.7,55885.0,black,gray,avis corporation,13400,13700,Thu Mar 05 2015 03:30:00 GMT-0800 (PST)
358022,2013,Nissan,Rogue,SV,SUV,automatic,jn8as5mt6dw519870,nv,3.8,49566.0,silver,gray,bmw alphera/alphera financial services,13550,16500,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
358023,2013,Nissan,Pathfinder,SL,SUV,automatic,5n1ar2mn6dc608827,fl,4.4,21080.0,black,black,onesource/kendall toyota,24100,24850,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
358024,2013,Nissan,Rogue,S,SUV,automatic,jn8as5mt7dw516766,ca,2.2,27553.0,black,black,exeter finance corp,14650,13800,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
358025,2013,Nissan,Pathfinder,SV,SUV,automatic,5n1ar2mm5dc672977,ca,3.8,55141.0,red,black,remarketing by ge/chase lease remarketing co,18900,20400,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
358026,2013,Nissan,Versa,1.6 S Plus,Sedan,automatic,3n1cn7ap8dl867984,il,4.5,9324.0,gray,black,nissan-infiniti lt,10900,11100,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
358027,2013,Nissan,Sentra,SV,Sedan,automatic,1n4ab7ap0dn902536,oh,4.0,17422.0,silver,black,fred martin nissan,12150,11500,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
358028,2013,Nissan,Versa,1.6 S Plus,Sedan,automatic,3n1cn7ap2dl868399,az,2.5,55643.0,silver,black,the hertz corporation,8900,7500,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
358029,2013,Nissan,Sentra,SR,Sedan,automatic,3n1ab7apxdl662795,il,3.6,33566.0,silver,black,nissan-infiniti lt,11900,12500,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
358030,2013,Nissan,Sentra,SR,Sedan,automatic,3n1ab7ap2dl741720,il,4.6,26837.0,blue,black,nissan dealer blend/continental motors,12350,12800,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
358031,2013,Nissan,Sentra,SV,Sedan,automatic,3n1ab7ap6dl735404,tx,3.4,35608.0,silver,black,avis corporation,11050,12200,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
358032,2013,Nissan,Sentra,S,Sedan,automatic,3n1ab7ap8dl615829,va,4.0,25065.0,gray,black,union first market bankshares,11800,11900,Thu Feb 26 2015 01:20:00 GMT-0800 (PST)
358033,2013,Nissan,Sentra,SL,Sedan,automatic,3n1ab7ap9dl778540,pa,4.3,19000.0,gray,black,nissan-infiniti lt,12150,14700,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
358034,2013,Nissan,Sentra,SV,Sedan,automatic,3n1ab7apxdl615010,il,3.9,24736.0,black,black,nissan-infiniti lt,11700,12700,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
358035,2013,Ram,1500,Sport,Crew Cab,automatic,1c6rr7mt3ds536310,ab,3.9,17188.0,white,black,big west dodge chrysler ltd,29600,34500,Thu Feb 26 2015 03:30:00 GMT-0800 (PST)
358036,2013,Ram,1500,Tradesman,Quad Cab,automatic,1c6rr6ft0ds608250,nc,4.2,19173.0,blue,gray,medlin buick gmc mazda,21400,22500,Tue Feb 24 2015 01:15:00 GMT-0800 (PST)
358037,2013,Ram,1500,Sport,Crew Cab,automatic,1c6rr7ut8ds679141,fl,4.0,15641.0,white,black,"chrysler group,llc",31300,38600,Mon Mar 02 2015 04:30:00 GMT-0800 (PST)
358038,2013,Scion,FR-S,Base,Coupe,manual,jf1znaa11d1717793,pa,3.7,27913.0,black,black,toyota motor sales usa inc/buyback,17400,13100,Fri Mar 06 2015 01:00:00 GMT-0800 (PST)
358039,2013,Ram,1500,Tradesman,Crew Cab,automatic,1c6rr7kt1ds699492,co,4.1,22264.0,gray,gray,justus motors company inc,25900,26800,Wed Feb 25 2015 03:45:00 GMT-0800 (PST)
358040,2013,Ram,1500,SLT,Quad Cab,automatic,1c6rr7gt3ds533208,mi,4.5,28841.0,blue,gray,automobiles paille inc,24200,24000,Thu Feb 26 2015 01:30:00 GMT-0800 (PST)
358041,2013,Subaru,Legacy,2.5i Premium,Sedan,automatic,4s3bmcb63d3037001,oh,3.5,49945.0,red,black,byers car rentals llc,14650,14200,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
358042,2013,Ram,1500,SLT,Crew Cab,automatic,1c6rr7lt6ds692830,mi,4.3,26436.0,black,gray,chrysler capital,27300,27200,Thu Feb 26 2015 01:30:00 GMT-0800 (PST)
358043,2013,Subaru,Forester,2.5X PZEV,SUV,automatic,jf2shabc6dh403276,nj,3.5,28284.0,burgundy,gray,port view leasing & sales ltd,17350,17900,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
358044,2013,Subaru,Legacy,2.5i Premium,Sedan,automatic,4s3bmcb60d3037277,oh,3.7,42830.0,silver,gray,byers car rentals llc,15100,14700,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
358045,2013,Subaru,Legacy,2.5i Premium,Sedan,automatic,4s3bmcb62d3037183,oh,3.4,43006.0,blue,black,byers car rentals llc,15100,14800,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
