num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
359999,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bgxer399236,fl,4.0,16089.0,gray,black,enterprise holdings/gdp,19950,20300,Mon Mar 02 2015 04:30:00 GMT-0800 (PST)
360000,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg4er256685,fl,4.0,17614.0,gold,black,hertz corporation/gdp,19800,20300,Mon Mar 02 2015 04:30:00 GMT-0800 (PST)
360001,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg5er399872,fl,4.0,16274.0,white,black,enterprise holdings/gdp,19900,20000,Mon Mar 02 2015 04:30:00 GMT-0800 (PST)
360002,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg0er399990,wa,2.0,19412.0,black,black,enterprise veh exchange/rental,19600,18000,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
360003,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg1er255235,fl,4.0,16928.0,blue,black,hertz corporation/gdp,19850,19700,Mon Mar 02 2015 04:30:00 GMT-0800 (PST)
360004,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg1er398556,fl,4.0,17762.0,silver,black,enterprise holdings/gdp,19750,20200,Mon Mar 02 2015 04:30:00 GMT-0800 (PST)
360005,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bgxer398507,fl,4.0,16970.0,gold,black,enterprise holdings/gdp,19850,19800,Mon Mar 02 2015 04:30:00 GMT-0800 (PST)
360006,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg2er399876,fl,4.0,18789.0,black,tan,enterprise holdings/gdp,19650,19800,Mon Mar 02 2015 04:30:00 GMT-0800 (PST)
360007,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bgxer399317,fl,4.0,14076.0,black,black,enterprise holdings/gdp,20200,20100,Mon Mar 02 2015 04:30:00 GMT-0800 (PST)
360008,2008,Chevrolet,HHR,Panel LS,Wagon,automatic,3gcda15dx8s547863,ca,4.2,94458.0,silver,beige,aaero sweet company,4700,5600,Wed Feb 25 2015 04:00:00 GMT-0800 (PST)
360009,2008,Chevrolet,HHR,LS,Wagon,automatic,3gnca13d98s658698,in,4.3,68639.0,gray,black,santander consumer,5950,7600,Thu Feb 26 2015 02:10:00 GMT-0800 (PST)
360010,2008,Chevrolet,Express Cargo,2500,Van,automatic,1gcgg25c181174397,mi,3.5,113593.0,white,beige,lease plan usa,7875,9500,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
360011,2008,Chevrolet,Impala,LT,Sedan,automatic,2g1wt58kx89218851,la,3.0,99270.0,black,gray,westfall auto sales,5725,6800,Wed Feb 25 2015 02:40:00 GMT-0800 (PST)
360012,2008,Chevrolet,Impala,LS,Sedan,automatic,2g1wb58k189205506,fl,2.3,137848.0,brown,gray,innovate loan servicing corp,3850,2400,Thu Feb 26 2015 07:00:00 GMT-0800 (PST)
360013,2008,Chevrolet,Impala,LS,Sedan,automatic,2g1wb58k981265936,ca,2.5,113316.0,white,beige,merle stone chevrolet inc,4800,4500,Thu Feb 26 2015 05:00:00 GMT-0800 (PST)
360014,2008,Chevrolet,Impala,LS,Sedan,automatic,2g1wb55k681208324,la,3.4,127931.0,silver,black,westfall auto sales,4200,5000,Wed Feb 25 2015 02:40:00 GMT-0800 (PST)
360015,2008,Chevrolet,Corvette,Base,Coupe,automatic,1g1yy25w485113378,fl,4.2,72631.0,red,black,woodall auto wholesale inc,21000,23200,Tue Feb 24 2015 01:15:00 GMT-0800 (PST)
360016,2008,Chevrolet,Impala,LS,Sedan,automatic,2g1wt58k981377469,ga,2.7,99274.0,black,gray,xtreme automotive group inc,5725,6700,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
360017,2008,Chevrolet,Colorado,LS,Extended Cab,automatic,1gccs199x88113689,ga,3.6,95714.0,white,gray,kern automotive group inc,6650,7700,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
360018,2008,Chevrolet,Corvette,Z06,Coupe,manual,1g1yy26e385122644,ga,4.8,4808.0,silver,black,young motors llc,44000,44600,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
360019,2008,Chevrolet,TrailBlazer,LT,SUV,automatic,1gndt13s282257261,mi,4.4,114330.0,silver,gray,lease plan usa,5950,6200,Thu Feb 26 2015 01:30:00 GMT-0800 (PST)
360020,2008,Chevrolet,Tahoe,LT,SUV,automatic,1gnfk13068j171225,mn,4.4,137454.0,blue,black,integrity autosource inc,15200,15700,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
360021,2008,Chevrolet,Tahoe Hybrid,Base,SUV,automatic,1gnfc13528r237912,ca,3.7,146636.0,gray,black,s/s auto wholesale,11550,15500,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
360022,2008,Chevrolet,Tahoe,LT,SUV,automatic,1gnfc13068r168582,ca,1.9,95544.0,black,black,exeter finance corp,17550,19000,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
360023,2008,Chevrolet,Impala,LT,Sedan,automatic,2g1wt55n789140852,in,2.8,153843.0,red,tan,onemain remarketing services,3300,3100,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
360024,2008,Chevrolet,Tahoe,LS,SUV,automatic,1gnfk13038r269985,nv,1.9,80680.0,white,gray,collateral solutions,15450,15250,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
360025,2008,Chevrolet,Malibu,LT,Sedan,automatic,1g1zj57b28f184030,va,2.1,123867.0,blue,gray,shirlie slack mitsubishi,5400,6600,Thu Feb 26 2015 01:35:00 GMT-0800 (PST)
360026,2008,Chrysler,300,LX,Sedan,automatic,2c3ka43r78h282317,ca,2.5,49684.0,silver,black,redline remarketing,8850,8750,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
360027,2008,Ford,Altima,Base,Sedan,automatic,2g1wc583481204936,fl,2.0,113903.0,gray,gray,american international finance,5125,4400,Wed Feb 25 2015 01:05:00 GMT-0800 (PST)
360028,2008,Chevrolet,Tahoe,LT,SUV,automatic,1gnfc13088r194892,ca,1.9,115411.0,gray,black,meridian remarketing,14050,13500,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
360029,2008,Chrysler,300,LX,Sedan,automatic,2c3ka43r78h186820,ca,3.8,108758.0,white,gray,redline remarketing,6500,8400,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
360030,2008,Chevrolet,Tahoe,LT,SUV,automatic,1gnfc13j98j194066,nv,2.7,136001.0,black,black,financial services remarketing (repos),12350,12500,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
360031,2008,Ford,Altima,Base,Sedan,automatic,2g1wu583589239676,mo,3.7,80815.0,silver,black,tdaf remarketing,7300,9000,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
360032,2008,Chevrolet,TrailBlazer,Fleet,SUV,automatic,1gnds13s782107116,la,2.6,102621.0,gray,gray,national auto acceptance,5950,4300,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
360033,2008,Chevrolet,TrailBlazer,Fleet,SUV,automatic,1gnds13s882104273,la,1.9,127574.0,purple,gray,systems & services technologies,3675,3200,Wed Feb 25 2015 03:00:00 GMT-0800 (PST)
360034,2008,Chevrolet,Malibu,LS,Sedan,automatic,1g1zg57b88f187187,in,3.4,134811.0,silver,gray,park fcu,4500,3700,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
360035,2008,Chrysler,Sebring,Touring,Convertible,automatic,1c3lc55rx8n642558,fl,2.1,114610.0,blue,gray,santander consumer,3825,3000,Thu Feb 26 2015 01:35:00 GMT-0800 (PST)
360036,2008,Chrysler,PT Cruiser,Base,Wagon,automatic,3a8fy48b88t200860,ca,4.3,51348.0,silver,gray,lease remarketing services inc,4600,5600,Wed Feb 25 2015 04:00:00 GMT-0800 (PST)
360037,2008,Chrysler,Aspen,Limited,SUV,automatic,1a8hw58238f151274,co,3.6,100957.0,gold,gray,justus motors company inc,10200,12800,Wed Feb 25 2015 03:45:00 GMT-0800 (PST)
360038,2008,Chrysler,300,Touring,Sedan,automatic,2c3ka53gx8h141942,ca,2.6,148688.0,gray,black,redline remarketing,5550,5200,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
360039,2008,Dodge,Avenger,SE,Sedan,automatic,1b3lc46k48n278663,va,2.4,113425.0,white,gray,mcmb financial,4050,4200,Thu Feb 26 2015 01:20:00 GMT-0800 (PST)
360040,2008,Chrysler,Town and Country,LX,Minivan,automatic,2a8hr44h08r781323,il,3.5,123144.0,black,gray,nationwide acceptance,4925,4100,Thu Mar 05 2015 06:00:00 GMT-0800 (PST)
360041,2008,Dodge,Avenger,SE,Sedan,automatic,1b3lc46j68n143417,ca,2.8,122832.0,silver,gray,billion dodge chrysler jeep,3825,4600,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
360042,2008,Chrysler,Town and Country,Touring,Minivan,automatic,2a8hr54p58r635156,ca,3.0,92676.0,blue,gray,tradewinds remarketing,7725,6900,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
360043,2008,Chrysler,Town and Country,LX,Minivan,automatic,2a8hr44h48r828787,tx,3.2,71988.0,silver,gray,santander consumer,6650,8000,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
360044,2008,Chrysler,300,Limited,Sedan,automatic,2c3kk33g88h118113,mi,4.5,85741.0,silver,black,premier toyota of amherst,9575,10100,Thu Mar 05 2015 01:20:00 GMT-0800 (PST)
360045,2008,Dodge,Avenger,SE,Sedan,automatic,1b3lc46j58n198280,ca,3.0,102637.0,black,beige,dt credit corporation,4425,2000,Tue Feb 24 2015 05:00:00 GMT-0800 (PST)
360046,2008,Dodge,Avenger,SXT,Sedan,automatic,1b3lc56r48n603671,ca,2.8,175947.0,gray,gray,billion dodge chrysler jeep,2850,3300,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
360047,2008,Dodge,Avenger,SXT,Sedan,automatic,1b3lc56r88n685369,va,1.9,88643.0,blue,gray,"suntrust bank,public",5350,4500,Wed Feb 25 2015 16:00:00 GMT-0800 (PST)
360048,2008,Dodge,Charger,Base,Sedan,automatic,2b3ka43g28h283810,mi,4.1,88592.0,blue,black,fifth third bank,7775,9100,Thu Feb 26 2015 01:30:00 GMT-0800 (PST)
360049,2008,Dodge,Charger,Base,Sedan,automatic,2b3la43r68h313428,tx,3.5,113846.0,black,gray,westfall auto sales,6450,6600,Wed Feb 25 2015 02:20:00 GMT-0800 (PST)
360050,2008,Dodge,Caliber,SXT,Wagon,automatic,1b3hb48b28d623359,wa,1.9,81858.0,orange,gray,toyota financial services,5300,5200,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
360051,2008,Dodge,Caliber,SXT,Wagon,automatic,1b3hb48b68d599809,nj,1.9,74724.0,silver,black,santander consumer,5775,2800,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
360052,2008,Dodge,Grand Caravan,SXT,Minivan,automatic,2d8hn54p38r705631,ca,4.0,83663.0,silver,gray,newport acceptance corp,7100,7600,Wed Feb 25 2015 04:05:00 GMT-0800 (PST)
360053,2008,Dodge,Magnum,Base,Wagon,automatic,2d4fv47t28h185939,nv,1.6,1.0,black,black,quality acceptance,6400,1700,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
360054,2008,Dodge,Caliber,SE,Wagon,automatic,1b3hb28b08d629682,wi,1.0,131468.0,black,beige,remarketing of america,3225,1750,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
360055,2008,Dodge,Grand Caravan,SXT,Minivan,automatic,2d8hn54p28r805171,ma,2.0,90086.0,blue,black,o hara motors inc,6800,5000,Tue Feb 24 2015 02:00:00 GMT-0800 (PST)
360056,2008,Dodge,Ram Pickup 1500,ST,Quad Cab,automatic,1d7ha18n08s515303,tn,3.6,46359.0,gray,gray,hendersonville auto brokers,14450,15700,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
360057,2008,Ford,F-350 Super Duty,Lariat,Crew Cab,automatic,1ftww31r78ea97266,ca,2.8,147689.0,white,tan,rancho ford,17500,15000,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
360058,2008,Ford,Edge,Limited,SUV,automatic,2fmdk39c28ba61897,ga,3.9,121442.0,white,tan,mcdonald auto sales & leasing,8500,9800,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
