num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
367999,2005,Volkswagen,New Beetle,GLS 1.8T,Convertible,automatic,3vwcd31y65m307228,fl,3.2,89965.0,blue,black,automatch usa,3875,3900,Wed Feb 25 2015 08:45:00 GMT-0800 (PST)
368000,2005,Toyota,Prius,Base,Hatchback,automatic,jtdkb20u757055710,az,1.9,119372.0,blue,beige,chapman corporate wholesale,4075,4800,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
368001,2005,Toyota,Highlander,V6,SUV,automatic,jtedp21a250074362,fl,3.1,103963.0,beige,beige,david j leahy jr,7175,8500,Thu Feb 26 2015 08:00:00 GMT-0800 (PST)
368002,2005,Volkswagen,Jetta,2.5,Sedan,automatic,3vwsf71k35m601310,nc,3.0,80937.0,gray,gray,remarketing by ge/nextgear capital,4450,4500,Tue Mar 03 2015 01:15:00 GMT-0800 (PST)
368003,2004,Acura,MDX,Touring,SUV,automatic,2hnyd18814h519688,mn,2.5,167246.0,silver,gray,onemain rem/automotive restyling concepts inc,4450,4650,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
368004,2005,Volvo,XC90,2.5T,SUV,automatic,yv1cz592851189481,ut,2.2,150435.0,silver,gray,salt lake valley chrysler dodge jeep ram,3675,4200,Wed Mar 04 2015 03:30:00 GMT-0800 (PST)
368005,2005,Volkswagen,Jetta,GLI 1.8T,Sedan,automatic,3vwse69m45m068905,fl,1.9,128388.0,black,gray,remarketing of america,3025,1100,Thu Feb 26 2015 07:30:00 GMT-0800 (PST)
368006,2004,Audi,A4,1.8T quattro,Sedan,automatic,waulc68e44a203171,pa,2.8,114579.0,silver,gray,adcock brothers inc,3275,4100,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
368007,2005,Volvo,S60,2.5T,Sedan,automatic,yv1rs592x52484560,pa,2.2,155146.0,red,beige,r hollenshead auto sales inc,1850,2500,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
368008,2004,BMW,3 Series,325Ci,Coupe,automatic,wbabd33454pl00754,ca,2.8,108225.0,gray,gray,clear view systems,4575,5100,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
368009,2004,BMW,3 Series,325Ci,Convertible,automatic,wbabw334x4pl28897,fl,3.4,115780.0,silver,gray,lexus of pembroke pines,4725,5600,Fri Feb 27 2015 01:30:00 GMT-0800 (PST)
368010,2004,BMW,3 Series,325Ci,Coupe,automatic,wbabd33494pl00398,ca,3.0,120987.0,white,beige,east bay bmw,4175,6100,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
368011,2004,Acura,TL,3.2,Sedan,automatic,19uua66234a054081,ga,2.8,98667.0,white,tan,cameron motor sports,6425,7800,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
368012,2004,Audi,A4,1.8T,Sedan,automatic,waujc68ex4a233573,ca,2.2,88775.0,silver,black,bob baker toyota of lemon grove,3300,4600,Wed Feb 25 2015 04:15:00 GMT-0800 (PST)
368013,2005,Volvo,XC90,V8,SUV,automatic,yv1cz852051178904,ca,2.5,159468.0,black,gray,palm springs ford-lincoln-mercury,3450,3700,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
368014,2004,Audi,TT,225hp quattro,Convertible,manual,truut28n041025927,pa,3.6,75384.0,blue,gray,r hollenshead auto sales inc,9300,12250,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
368015,2004,BMW,3 Series,325i,Sedan,automatic,wbaaz33464kp87618,ca,2.7,72993.0,black,black,hollywood auto center inc,4950,7000,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
368016,2004,Cadillac,DeVille,Base,Sedan,automatic,1g6kd54yx4u102045,mo,1.9,102648.0,white,gray,hendrick buick gmc cadillac,2375,2150,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
368017,2004,BMW,X3,3.0i,SUV,automatic,wbxpa93464wc33016,va,3.8,124076.0,black,beige,cowles ford inc,5550,5200,Thu Feb 26 2015 01:50:00 GMT-0800 (PST)
368018,2004,BMW,6 Series,645Ci,Convertible,automatic,wbaek73414b322905,az,2.6,81093.0,blue,beige,earnhardt,11850,13200,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
