num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
368999,2014,GMC,Terrain,SLT-2,SUV,automatic,2gkaltekxe6101640,tx,4.2,38582.0,silver,brown,avis corporation,21300,22200,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
369000,2014,Honda,Accord,LX,Sedan,automatic,1hgcr2f3xea259419,mi,5.0,6073.0,black,black,kevins marysville auto sales inc,18450,18600,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
369001,2015,GMC,Sierra 3500HD,Denali,Crew Cab,automatic,1gt424e8xff521878,wa,4.9,368.0,white,black,hinton chevrolet buick inc,54300,56500,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
369002,2015,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae2fh569410,tx,4.1,5531.0,black,gray,tdaf remarketing,14350,12800,Wed Feb 25 2015 02:15:00 GMT-0800 (PST)
369003,2015,Ford,Fusion,SE,Sedan,automatic,1fa6p0h71f5107311,ga,4.8,15130.0,black,black,ars/enterprise,17800,18200,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
369004,2015,Ford,Taurus,Limited,Sedan,automatic,1fahp2f84fg118159,ga,4.0,15845.0,silver,gray,ford motor credit company,22900,24600,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
369005,2015,Ford,Fusion,Titanium,Sedan,automatic,3fa6p0d92fr139883,tn,5.0,5180.0,—,brown,ford motor credit company,28300,28800,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
369006,2015,Ford,Taurus,Limited,Sedan,automatic,1fahp2f84fg114600,tx,4.2,6052.0,—,tan,ford-lincoln dealer program,23800,21600,Thu Mar 05 2015 02:30:00 GMT-0800 (PST)
369007,2015,Ford,Taurus,Limited,Sedan,automatic,1fahp2f84fg108960,sc,5.0,14318.0,black,tan,enterprise veh exchange/rental,23100,23100,Thu Feb 26 2015 01:30:00 GMT-0800 (PST)
369008,2015,Ford,Taurus,Limited,Sedan,automatic,1fahp2j88fg106779,tn,5.0,14780.0,—,black,ford motor credit company,28100,28300,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
369009,2015,Ford,Taurus,Limited,Sedan,automatic,1fahp2f87fg101162,tx,3.3,33170.0,black,beige,avis budget group,21800,22000,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
369010,2015,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae0fh595536,fl,4.8,2477.0,red,gray,hyundai of new port richey,14400,15400,Thu Feb 26 2015 01:50:00 GMT-0800 (PST)
369011,2014,Honda,Pilot,EX-L,SUV,automatic,5fnyf4h56eb028127,pa,5.0,4696.0,silver,black,merrick preowned,31100,30800,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
369012,2014,Hyundai,Accent,GLS,Sedan,automatic,kmhct4ae4eu712349,il,4.4,6576.0,gray,gray,hyundai motor america/lease,11950,12100,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
369013,2014,Honda,Civic,EX,Sedan,automatic,19xfb2f83ee231745,ca,4.6,6991.0,gray,beige,mckenna audi/mckenna bmw,16750,16000,Wed Feb 25 2015 04:30:00 GMT-0800 (PST)
369014,2014,Hyundai,Elantra,SE,Sedan,automatic,kmhdh4ae7eu034279,fl,4.2,3522.0,blue,gray,hyundai motor finance,14150,14800,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
369015,2014,Honda,Civic,LX,Sedan,automatic,19xfb2f50ee035574,ga,4.1,10169.0,gray,gray,"ahfc/honda lease trust/hvt, inc.",14700,15100,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
369016,2014,Honda,Civic,LX,Coupe,manual,2hgfg3a5xeh509051,az,4.4,4574.0,red,gray,meridian remarketing,14850,15000,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
369017,2014,Honda,CR-V,EX,SUV,automatic,5j6rm3h56el005734,nv,4.1,23603.0,white,gray,"ahfc/honda lease trust/hvt, inc.",20000,18900,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
369018,2014,Honda,Accord,Touring V-6,Sedan,automatic,1hgcr3f93ea022457,ca,4.2,647.0,silver,black,"ahfc/honda lease trust/hvt, inc.",25400,27600,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
369019,2014,Honda,Civic,LX,Sedan,automatic,19xfb2f52ee059049,nv,4.4,7002.0,silver,black,"ahfc/honda lease trust/hvt, inc.",15200,16100,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
369020,2014,Hyundai,Accent,GLS,Sedan,automatic,kmhct4ae7eu646802,il,4.1,12569.0,red,gray,hyundai motor america/lease,11750,11700,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
369021,2014,Hyundai,Accent,GLS,Sedan,automatic,kmhct4ae3eu590194,fl,4.1,32956.0,brown,tan,avis corporation,10850,11400,Fri Feb 27 2015 01:45:00 GMT-0800 (PST)
369022,2014,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae5eh540675,fl,1.9,8140.0,red,gray,hyundai motor finance,13950,11600,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
369023,2014,Hyundai,Accent,GLS,Sedan,automatic,kmhct4ae9eu608990,ca,4.2,36351.0,red,gray,avis rac/san leandro,11000,11300,Wed Mar 04 2015 05:00:00 GMT-0800 (PST)
369024,2014,Hyundai,Accent,GLS,Sedan,automatic,kmhct4ae4eu650659,ca,4.4,30153.0,gray,beige,avis rac/san leandro,11200,11900,Wed Mar 04 2015 05:00:00 GMT-0800 (PST)
369025,2014,Hyundai,Elantra,SE,Sedan,automatic,kmhdh4ae0eu175369,fl,4.7,13324.0,red,black,hyundai motor finance,13700,14200,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
369026,2014,Honda,Civic,LX,Coupe,automatic,2hgfg3b50eh520607,nv,4.7,9490.0,blue,beige,"ahfc/honda lease trust/hvt, inc.",15200,15900,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
