num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
370999,2011,Nissan,Versa,1.8 S,Hatchback,automatic,3n1bc1cpxbl500108,va,2.7,75226.0,silver,black,gm financial,6250,5000,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
371000,2011,Ram,3500,SLT,Crew Cab,automatic,3d73y3cl8bg626817,nv,3.5,15842.0,blue,gray,sti remarketing,30500,40700,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
371001,2011,Toyota,Camry,Base,Sedan,automatic,4t1bf3ek7bu689089,ga,2.9,89380.0,gold,tan,innovative auto llc,9100,8400,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
371002,2011,Nissan,Xterra,S,SUV,automatic,5n1an0nu1bc520545,nv,5.0,55492.0,white,gray,team ford lincoln,14700,15900,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
371003,2011,Toyota,Sienna,Base 7-Passenger,Minivan,automatic,5tdzk3dc5bs019148,co,2.6,57842.0,white,gray,"vpsi, inc",13300,14900,Tue Mar 03 2015 04:00:00 GMT-0800 (PST)
371004,2011,Toyota,RAV4,Base,SUV,automatic,2t3zf4dv2bw078331,ca,4.1,84505.0,blue,gray,wheels exchange llc,10850,12400,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
371005,2011,Toyota,Highlander Hybrid,Base,SUV,automatic,jtebc3ehxb2003667,ca,4.1,62171.0,black,gray,wheels exchange llc,22000,25000,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
371006,2011,Toyota,Corolla,LE,Sedan,automatic,jtdbu4ee9bj099150,fl,2.7,96671.0,gray,beige,treasure coast toyota of stuart,7575,7700,Thu Feb 26 2015 03:50:00 GMT-0800 (PST)
371007,2011,Toyota,Prius,Three,Hatchback,automatic,jtdkn3du6b1472760,oh,4.8,27406.0,gray,gray,toyota financial services,13850,14300,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
371008,2011,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv6bw173444,oh,2.9,26429.0,black,gray,toyota financial services,15400,14600,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
