num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
371999,2007,Mitsubishi,Outlander,LS,SUV,automatic,ja4ms31xx7z013184,va,2.7,133660.0,silver,tan,gm financial,3850,2600,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
372000,2007,Nissan,Altima,2.5 S,Sedan,automatic,1n4al21ex7c130769,va,3.5,104502.0,blue,gray,toyota of waldorf,5750,5300,Thu Feb 26 2015 01:35:00 GMT-0800 (PST)
372001,2007,Nissan,Titan,LE,Crew Cab,automatic,1n6ba07b67n204325,mn,2.5,103427.0,blue,gray,select lane,13800,12000,Thu Feb 26 2015 02:30:00 GMT-0800 (PST)
372002,2007,Pontiac,G6,Base,Sedan,automatic,1g2zg58b274113235,ab,3.4,136794.0,silver,gray,carco auto sales,3700,2500,Thu Feb 26 2015 03:30:00 GMT-0800 (PST)
372003,2007,Mercury,Montego,Premier,Sedan,automatic,1mehm42107g610484,oh,3.2,109486.0,gray,gray,wells fargo dealer services,4825,4000,Tue Mar 03 2015 04:00:00 GMT-0800 (PST)
372004,2007,Nissan,Altima,2.5 S,Sedan,automatic,1n4al21e77n431908,ga,2.0,145704.0,gray,black,"jpmorgan chase bank,n.a.",4625,5200,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
372005,2007,Nissan,Titan,SE,King Cab,automatic,1n6ba06a47n232455,fl,2.8,71930.0,silver,gray,capital one auto finance,9000,11400,Wed Mar 04 2015 01:10:00 GMT-0800 (PST)
372006,2007,Nissan,Altima,2.5 S,Sedan,automatic,1n4al21e77n473964,fl,1.9,103695.0,silver,black,bright star credit union,5825,4000,Fri Feb 27 2015 02:45:00 GMT-0800 (PST)
372007,2007,Mitsubishi,Endeavor,LS,SUV,automatic,4a4mm21sx7e067602,fl,2.7,136377.0,red,gray,capital one auto finance,3075,4400,Wed Mar 04 2015 01:10:00 GMT-0800 (PST)
372008,2007,Toyota,Avalon,Limited,Sedan,automatic,4t1bk36b37u235214,pa,2.7,86613.0,beige,beige,hann financial services,9500,10000,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
372009,2007,Pontiac,G6,GTP,Sedan,automatic,1g2zm587374136723,co,1.9,117643.0,gray,black,wells fargo dealer services,4675,3900,Wed Mar 04 2015 04:00:00 GMT-0800 (PST)
372010,2007,Saturn,ION,3,Sedan,manual,1g8ak55bx7z101133,ca,3.1,125374.0,silver,gray,lithia ford lincoln of fresno,2750,2500,Thu Feb 26 2015 05:00:00 GMT-0800 (PST)
372011,2007,Scion,tC,Base,Hatchback,automatic,jtkde167870172731,ca,2.9,112489.0,gray,black,lobel financial corp,5000,6000,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
372012,2007,Toyota,Camry,CE,Sedan,automatic,jtnbe46k973060180,oh,1.9,159550.0,gray,tan,tga auto credit,5700,4100,Tue Mar 03 2015 04:00:00 GMT-0800 (PST)
372013,2007,Scion,tC,Base,Hatchback,automatic,jtkde177570161801,ca,2.1,121938.0,gray,black,lobel financial corp,4825,5000,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
372014,2007,Suzuki,Forenza,Base,Sedan,automatic,kl5jd56z67k495403,nv,2.0,105834.0,white,—,reliable auto sales,1900,900,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
372015,2007,Pontiac,Grand Prix,GT,Sedan,automatic,2g2wr554671124396,ne,3.1,81584.0,blue,black,spangler automotive,5325,6900,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
372016,2007,Porsche,911,Turbo,Coupe,automatic,wp0ad29937s785683,ca,4.3,31422.0,silver,gray,porsche north scottsdale,64000,65250,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
372017,2007,Saturn,VUE,Base,SUV,automatic,5gzcz53427s839062,nc,4.2,119991.0,gray,gray,hendrick chevrolet,3900,5800,Mon Mar 02 2015 01:30:00 GMT-0800 (PST)
372018,2007,Pontiac,G6,GT,Coupe,automatic,1g2zh18n674278155,oh,3.5,112909.0,gray,black,"consolidated asset recovery systems, inc.",4075,4200,Tue Mar 03 2015 04:00:00 GMT-0800 (PST)
372019,2007,Saab,9-3,2.0T,Sedan,automatic,ys3fd49y471139883,va,2.1,126052.0,white,gray,gm financial,3250,900,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
372020,2007,Saturn,Outlook,XR,SUV,automatic,5gzer237x7j107415,va,3.4,106910.0,white,beige,prince frederick chrysler jeep dodge inc,7100,6900,Thu Feb 26 2015 01:35:00 GMT-0800 (PST)
372021,2007,Ford,Altima,Base,Sedan,automatic,jf1sg63627h700515,pa,2.0,143467.0,beige,beige,r hollenshead auto sales inc,4150,4000,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
372022,2007,Toyota,Camry,LE,Sedan,automatic,jtnbe46k573101310,nc,3.5,153559.0,white,gray,santander consumer,5800,5300,Mon Mar 02 2015 01:30:00 GMT-0800 (PST)
372023,2007,Toyota,Corolla,S,Sedan,automatic,1nxbr32e77z874269,ga,2.9,95897.0,gray,black,five star dodge,6400,5900,Fri Feb 27 2015 03:00:00 GMT-0800 (PST)
372024,2007,Ford,Altima,Base,Sedan,automatic,5tfst54157x001128,ga,2.0,80591.0,—,gray,trust capital automotive group llc,14050,13500,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
372025,2007,Toyota,FJ Cruiser,Base,SUV,automatic,jtebu11f470011921,ab,3.7,152084.0,purple,black,chris hallett auto,12600,12500,Thu Feb 26 2015 03:30:00 GMT-0800 (PST)
