num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
372999,2014,Ford,Escape,SE,SUV,automatic,1fmcu0gx2eub07146,tn,4.7,13151.0,—,gray,"ford motor credit company,llc",18250,18600,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
373000,2014,Ford,Escape,Titanium,SUV,automatic,1fmcu9j99eua95012,mo,4.6,37520.0,red,tan,ars/avis budget group,21900,22500,Tue Mar 03 2015 03:00:00 GMT-0800 (PST)
373001,2014,Ford,Expedition,Limited,SUV,automatic,1fmju2a52eef38803,ny,5.0,21784.0,black,black,ars/enterprise,37100,34500,Tue Mar 03 2015 01:50:00 GMT-0800 (PST)
373002,2014,Ford,Escape,SE,SUV,automatic,1fmcu0gx0eua04369,tn,4.5,18043.0,red,gray,"ford motor credit company,llc",17850,18400,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
373003,2014,Ford,Escape,S,SUV,automatic,1fmcu0f75eua98105,nj,3.7,25453.0,brown,gray,"ford motor credit company,llc",15350,14600,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
373004,2014,Ford,Escape,SE,SUV,automatic,1fmcu0gx9eua26645,nj,1.9,21740.0,gray,gray,"ford motor credit company,llc",17550,14000,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
373005,2014,Ford,Escape,Titanium,SUV,automatic,1fmcu0j90eub66223,tn,4.4,36569.0,—,black,ars/avis budget group,20100,20400,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
373006,2014,Ford,Explorer,Limited,SUV,automatic,1fm5k7f88ega08976,ca,4.6,27711.0,black,black,arrowhead auto group inc,28500,28750,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
373007,2014,Ford,Explorer,Limited,SUV,automatic,1fm5k8f8xegb28302,tn,3.6,30593.0,—,black,ars/avis budget group,29300,28200,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
373008,2014,Ford,Explorer,Limited,SUV,automatic,1fm5k8f85egb28319,mo,4.9,29111.0,white,gray,ars/avis budget group,29600,30700,Tue Mar 03 2015 03:00:00 GMT-0800 (PST)
373009,2014,Ford,Explorer,Limited,SUV,automatic,1fm5k8f83egc59636,nj,4.6,17857.0,black,black,ars/enterprise,31800,33500,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
373010,2014,Ford,Explorer,Limited,SUV,automatic,1fm5k8f8xega14851,tn,3.0,38208.0,—,black,ars/avis budget group,27900,17400,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
373011,2014,Ford,Explorer,Limited,SUV,automatic,1fm5k8f84egb75048,mo,4.1,41542.0,gray,black,ars/avis budget group,27300,26300,Tue Mar 03 2015 03:00:00 GMT-0800 (PST)
373012,2014,Ford,Explorer,Base,SUV,automatic,1fm5k7b88egb49908,md,4.8,19716.0,silver,gray,"ford motor credit company,llc",22100,22200,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
373013,2014,Ford,Explorer,Limited,SUV,automatic,1fm5k7f85egb73917,ga,4.8,18441.0,black,black,wiley auto solutions llc,29400,29600,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
373014,2014,Ford,Explorer,Limited,SUV,automatic,1fm5k8f88egb39153,tn,3.8,40045.0,black,beige,ars/avis budget group,27500,27600,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
373015,2014,Ford,Explorer,Limited,SUV,automatic,1fm5k8f85ega92485,mo,3.7,41306.0,gray,gray,ars/avis budget group,27300,27300,Tue Mar 03 2015 03:00:00 GMT-0800 (PST)
373016,2014,Ford,Explorer,Limited,SUV,automatic,1fm5k8f8xegc59360,mo,4.5,20228.0,black,gray,ars/enterprise,31300,31600,Tue Mar 03 2015 03:00:00 GMT-0800 (PST)
373017,2014,Ford,Expedition,EL Limited,SUV,automatic,1fmjk2a56eef56386,nj,4.5,16644.0,gray,black,ars/enterprise,39500,40000,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
373018,2014,Ford,Explorer,Limited,SUV,automatic,1fm5k8f85egb96653,mo,4.6,36263.0,white,tan,ars/avis budget group,28300,28600,Tue Mar 03 2015 03:00:00 GMT-0800 (PST)
373019,2014,Ford,F-150,XL,Regular Cab,automatic,1ftnf1cfxekd64044,nv,4.7,12138.0,white,gray,u-haul international,17850,18600,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
373020,2014,Ford,F-150,XL,Regular Cab,automatic,1ftnf1cf7ekd17960,nj,4.8,9562.0,white,gray,u-haul,17950,18700,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
373021,2014,Ford,F-150,XL,Regular Cab,automatic,1ftnf1cf8ekd18714,nj,3.6,5411.0,white,gray,u-haul,18200,17500,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
373022,2014,Ford,F-150,XLT,SuperCrew,automatic,1ftfw1cf9efb62485,nv,4.3,31812.0,white,gray,enterprise veh exchange/rental,23800,23750,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
373023,2014,Ford,F-150,Lariat,SuperCrew,automatic,1ftfw1et1eke99193,on,5.0,9383.0,white,black,"ford motor company of canada, limited",40100,40200,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
373024,2014,Ford,F-150,XL,Regular Cab,automatic,1ftnf1cf5ekd64047,nv,3.6,8419.0,white,gray,u-haul international,18100,18800,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
373025,2014,Ford,F-150,XL,Regular Cab,automatic,1ftnf1cfxekd17967,nj,3.6,6260.0,white,gray,u-haul,18150,18800,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
373026,2014,Ford,F-150,XL,Regular Cab,automatic,1ftnf1cf1ekd17968,nj,3.9,6832.0,white,gray,u-haul,18150,17900,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
373027,2014,Ford,F-150,XL,Regular Cab,automatic,1ftnf1cf3ekd47747,nv,4.9,10591.0,white,gray,u-haul international,17950,19000,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
373028,2014,Ford,F-150,XL,Regular Cab,automatic,1ftnf1cfxekd18715,nj,4.1,11032.0,white,gray,u-haul,17850,18400,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
373029,2014,Ford,F-150,XL,Regular Cab,automatic,1ftnf1cf0ekd16438,nc,4.4,9777.0,white,gray,u-haul international,17950,18000,Tue Mar 03 2015 01:15:00 GMT-0800 (PST)
373030,2014,Ford,Explorer,XLT,SUV,automatic,1fm5k7d84ega12400,tn,4.9,23685.0,red,black,"ford motor credit company,llc",27000,29100,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
373031,2014,Ford,F-150,XLT,SuperCrew,automatic,1ftew1cm6efa19410,tn,4.5,34482.0,—,gray,ars/avis budget group,23600,9700,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
373032,2014,Ford,F-150,XL,Regular Cab,automatic,1ftnf1cf0ekd16441,nc,4.7,11829.0,white,gray,u-haul international,17800,17900,Tue Mar 03 2015 01:15:00 GMT-0800 (PST)
373033,2014,Ford,F-150,STX,SuperCab,automatic,1ftex1cm2efc47952,nv,4.9,9745.0,silver,gray,o'neal sales,23400,25000,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
373034,2014,Ford,F-150,XL,Regular Cab,automatic,1ftnf1cf6ekd18713,nj,3.8,7100.0,white,gray,u-haul,18100,18600,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
373035,2014,Ford,F-150,XL,Regular Cab,automatic,1ftnf1cf1ekd18716,nj,4.0,6109.0,white,gray,u-haul,18150,18500,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
373036,2014,Ford,F-150,XLT,SuperCrew,automatic,1ftfw1etxefc35687,nj,4.9,15460.0,blue,gray,ars/enterprise,27400,29700,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
373037,2014,Ford,F-150,XLT,SuperCrew,automatic,1ftfw1ef9efc59988,tn,5.0,3126.0,white,gray,"ford motor credit company,llc",29200,33500,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
373038,2014,Ford,F-150,XLT,SuperCrew,automatic,1ftfw1et1efc81604,nj,4.5,3069.0,red,gray,"ford motor credit company,llc",28200,31800,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
373039,2014,Ford,Fiesta,SE,Hatchback,automatic,3fadp4ej2em118180,nv,4.0,38373.0,silver,beige,avis corporation,10050,10200,Fri Feb 27 2015 04:25:00 GMT-0800 (PST)
373040,2014,Ford,Fiesta,SE,Sedan,automatic,3fadp4bj1em121740,nv,3.7,48794.0,red,black,fox rent a car,9575,9700,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
373041,2014,Ford,F-150,XLT,SuperCab,automatic,1ftfx1et0ekd55731,oh,4.9,20865.0,red,gray,exceptional motorcar llc,23800,30000,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
373042,2014,Ford,F-250 Super Duty,Lariat,Crew Cab,automatic,1ft7w2bt4eea01968,tn,3.5,29785.0,—,brown,ford-lincoln dealer program,46200,47400,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
373043,2014,Ford,F-150,STX,SuperCab,automatic,1ftfx1ef4ekf51424,fl,5.0,2027.0,black,black,elder ford of tampa,25800,28100,Thu Feb 26 2015 01:50:00 GMT-0800 (PST)
373044,2014,Ford,Fiesta,SE,Hatchback,automatic,3fadp4ej6em196655,ca,2.0,18654.0,silver,black,enterprise vehicle exchange / tra / rental / tulsa,11000,10100,Tue Mar 03 2015 04:00:00 GMT-0800 (PST)
373045,2014,Ford,Fiesta,SE,Hatchback,automatic,3fadp4ej0em125600,tn,3.7,39927.0,white,beige,ars/avis budget group,9975,10100,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
