num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
373999,2013,Toyota,Sienna,LE 7-Passenger Mobility Auto Access,Minivan,automatic,5tdkk3dc1ds356548,ma,3.2,64873.0,white,gray,the hertz corporation,16550,16300,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
374000,2013,Volkswagen,GTI,Driver's Edition PZEV,Hatchback,automatic,wvwhd7aj4dw087489,pa,3.3,47097.0,white,black,bmw of sterling,14300,14500,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
374001,2013,Toyota,Yaris,L,Hatchback,automatic,jtdktud31dd560295,nv,3.8,50331.0,blue,beige,fox rent a car,9575,9700,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
374002,2013,Volkswagen,Beetle,2.0L TDI,Hatchback,automatic,3vwjl7at5dm685335,nv,3.8,19671.0,beige,tan,findlay north volkswagen,15350,16200,Thu Mar 05 2015 03:45:00 GMT-0800 (PST)
374003,2013,Toyota,Yaris,L,Hatchback,automatic,jtdktud33dd556944,nv,4.0,54948.0,blue,gray,fox rent a car,9425,9500,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
374004,2013,Toyota,Tacoma,Base,Access Cab,automatic,5tftx4cn0dx027168,nc,3.4,46103.0,silver,gray,suntrust bank,16600,17700,Tue Mar 03 2015 01:15:00 GMT-0800 (PST)
374005,2013,Volkswagen,Beetle Convertible,Turbo PZEV,Beetle Convertible,automatic,3vw7t7at0dm833529,nv,4.7,7906.0,silver,black,findlay acura,20000,20600,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
374006,2013,Volkswagen,Jetta,SE PZEV,Sedan,automatic,3vwdp7aj9dm434964,ne,3.9,38729.0,gray,black,nissan of omaha llc,11500,10900,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
374007,2013,Volkswagen,Jetta,SE PZEV,Sedan,automatic,3vwdp7aj4dm265579,ca,3.8,39549.0,red,black,avis corporation,11450,12000,Tue Mar 03 2015 04:45:00 GMT-0800 (PST)
374008,2013,Volvo,XC60,3.2,SUV,automatic,yv4952dlxd2403564,fl,4.7,22014.0,gray,gray,autobuy,23900,23600,Thu Feb 26 2015 01:10:00 GMT-0800 (PST)
374009,2013,Volkswagen,Jetta,SE PZEV,Sedan,automatic,3vwdp7aj4dm417800,ca,3.9,41211.0,red,black,avis corporation,11350,11700,Tue Mar 03 2015 04:45:00 GMT-0800 (PST)
374010,2013,Volkswagen,Jetta SportWagen,S PZEV,Wagon,automatic,3vwpp7aj6dm655354,nj,4.1,98784.0,gray,black,emkay inc,8725,9100,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
374011,2013,Volkswagen,Passat,Wolfsburg Edition PZEV,Sedan,automatic,1vwap7a32dc101494,ca,2.5,44115.0,burgundy,black,enterprise veh exchange/rental,11050,11300,Thu Feb 26 2015 03:30:00 GMT-0800 (PST)
374012,2012,Acura,TL,SH-AWD,Sedan,automatic,19uua9f22ca002618,ca,4.3,31777.0,gray,black,premium auto wholesale,22400,26250,Thu Mar 05 2015 04:00:00 GMT-0800 (PST)
374013,2012,Acura,MDX,Technology and Entertainment Packages,SUV,automatic,2hnyd2h44ch508718,ca,3.2,48548.0,white,tan,mountain motors inc,28100,25750,Thu Feb 26 2015 04:00:00 GMT-0800 (PST)
374014,2012,Acura,MDX,Base,SUV,automatic,2hnyd2h26ch509593,pa,4.1,17353.0,black,black,r hollenshead auto sales inc,28200,29000,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
374015,2013,Volkswagen,Passat,SE PZEV,Sedan,automatic,1vwbp7a35dc109254,ma,3.1,57691.0,black,black,the hertz corporation,11600,11600,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
374016,2013,Volkswagen,Jetta,SEL PZEV,Sedan,automatic,3vwlp7aj6dm394399,pa,4.7,17209.0,white,beige,adcock brothers inc,15800,16800,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
374017,2012,Acura,TSX,Base,Sedan,automatic,jh4cu2f43cc016699,ne,3.7,29613.0,gray,black,dm northwest inc,17200,18200,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
