num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
375999,2013,Lexus,GS 350,Base,Sedan,automatic,jthbe1bl7d5003220,fl,4.7,28699.0,black,black,lexus financial services,32900,32600,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
376000,2013,Lexus,ES 350,Base,Sedan,automatic,jthbk1gg5d2020104,fl,3.7,45680.0,black,beige,lexus financial services,25700,26900,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
376001,2013,Land Rover,LR2,HSE,SUV,automatic,salfr2bg6dh334099,pa,4.3,21341.0,—,tan,adcock brothers inc,28400,28750,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
376002,2013,Kia,Soul,Base,Wagon,manual,kndjt2a50d7490017,pa,3.8,36873.0,gray,black,piazza honda of pottstown,10250,9000,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
376003,2013,Kia,Soul,+,Wagon,automatic,kndjt2a60d7765877,md,4.8,43871.0,white,black,"all car leasing,inc",11700,11700,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
376004,2013,Lexus,GS 350,Base,Sedan,automatic,jthbe1bl8d5024223,fl,4.9,14629.0,—,tan,lexus financial services,33600,33900,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
376005,2013,Lexus,IS 250,Base,Sedan,automatic,jthbf5c23d5191566,fl,4.3,15577.0,white,black,lexus financial services,23700,25100,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
376006,2013,Lexus,IS 250,Base,Sedan,automatic,jthbf5c20d5190472,fl,4.4,10308.0,black,black,lexus financial services,24300,25000,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
376007,2013,Lexus,IS 250,Base,Sedan,automatic,jthbf5c29d5187120,fl,4.5,15085.0,black,beige,lexus financial services,23800,24500,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
376008,2013,Lexus,GS 350,Base,Sedan,automatic,jthbe1bl6d5019375,fl,4.5,42103.0,white,black,lexus financial services,31800,33800,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
376009,2013,Lexus,IS 250,Base,Sedan,automatic,jthbf5c2xd5189541,fl,3.7,40801.0,black,black,lexus financial services,21100,21400,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
